OBJECTID *,Survey Type,Leak Location,Leak Grade,Marked Flag,Leak Located,Probable Source,Gas In,Surface Type,CGI Test Gas,CGI Test LEL,CGI Test PPM,Detected By,Meter Number,Confirm Meter Number,House Number,Street,Street 2,Apt/Suite,City,Comments,Survey Year,Survey Contractor,Grade 1 Notification,PRESSURETY,CreationDa,Creator,EditDate,Editor,NOTIFICATION,REPORTNUMBER,NOTSTATUS,Work Location,X,Y
20188,3 Year,Underground,Grade 3,No,<Null>,Meter,<10' FRM Building,Unsurfaced,<Null>,<Null>,347,CGI,CB 14179,CB 14179,2821,29TH AVE N,<Null>,<Null>,BIRMINGHAM,Shut off/service cock,2020,Southern Cross,<Null>,<Null>,2/12/20 16:13,Jackie.Butts1,2/12/20 16:13,Jackie.Butts1,10578853,9200020188,<Null>,<Null>,-86.813353,33.55119
20484,3 Year,Underground,Grade 3,No,<Null>,Main,Curb,<Null>,1,20,<Null>,Flame Pack,0,0,3107,2ND AVE S,<Null>,<Null>,BIRMINGHAM,On 31st St between 2nd Aly & 2nd Ave; light box,2020,Southern Cross,<Null>,<Null>,2/12/20 18:36,Ebony.Todd1,2/12/20 18:40,Ebony.Todd1,10578859,9200020484,<Null>,<Null>,-86.787986,33.517654
20485,3 Year,Underground,Grade 2,No,<Null>,Main,10' - 20' FRM Building,Unsurfaced,20,<Null>,<Null>,CGI,<Null>,<Null>,2827,35TH AVE N,28th PL N,<Null>,BIRMINGHAM,"Around utility pole, near United Steelworkers building, gas odor",2020,Southern Cross,<Null>,<Null>,2/12/20 18:42,Jackie.Butts1,2/12/20 18:42,Jackie.Butts1,10578860,9200020485,<Null>,<Null>,-86.815981,33.557805
20487,3 Year,Underground,Grade 2,No,<Null>,Main,Curb,Concrete,<Null>,2,<Null>,CGI,<Null>,<Null>,2825,35TH AVE N,<Null>,<Null>,BIRMINGHAM,"Around stop sign, 2% LEL surface, 20+ from building, unable to make barhole in concrete ",2020,Southern Cross,<Null>,<Null>,2/12/20 18:53,Jackie.Butts1,2/12/20 18:53,Jackie.Butts1,10578862,9200020487,<Null>,<Null>,-86.815817,33.557841
20488,3 Year,Underground,Grade 3,No,<Null>,Main,Sanitary Manhole,Tar Mix,<Null>,<Null>,50,CGI,<Null>,<Null>,3410,28TH PL N,<Null>,<Null>,BIRMINGHAM,"Methane detected, City of Birmingham Sanitary Sewer",2020,Southern Cross,<Null>,<Null>,2/12/20 19:22,Jackie.Butts1,2/12/20 19:22,Jackie.Butts1,10578863,9200020488,<Null>,<Null>,-86.815767,33.557408
20494,3 Year,Underground,Grade 1,No,<Null>,Service,Foundation,Concrete,25,93,<Null>,CGI,<Null>,<Null>,2725,35th Ave. N,<Null>,<Null>,BIRMINGHAM,"Foundation, asphalt, less than 5 ft. from building, strong gas odor, barholes - foundation, asphalt",2020,Southern Cross,<Null>,<Null>,2/13/20 16:27,Jackie.Butts1,2/14/20 14:47,Jackie.Butts1,10578710,9200020494,<Null>,<Null>,-86.817458,33.55736
20502,3 Year,Underground,Grade 3,No,<Null>,Main,10' - 20' FRM Building,Concrete,<Null>,<Null>,200,CGI,<Null>,<Null>,2722,37TH AVE N,28th St. N,<Null>,BIRMINGHAM,"Gas detected in storm drain, gas odor, gas detected in air",2020,Southern Cross,<Null>,<Null>,2/13/20 19:32,Jackie.Butts1,2/13/20 19:34,Jackie.Butts1,10578872,9200020502,<Null>,<Null>,-86.817986,33.559506
20504,3 Year,Underground,Grade 2,No,<Null>,Main,Curb,Concrete,<Null>,4,<Null>,CGI,riser,<Null>,1300,REVEREND ABRAHAM WOODS JR BLVD,<Null>,<Null>,BIRMINGHAM,traveled near man hole ,2020,Southern Cross,<Null>,<Null>,2/13/20 20:11,leighton.landrum1,2/13/20 20:18,leighton.landrum1,10578873,9200020504,<Null>,<Null>,-86.820227,33.517029
20507,3 Year,Underground,Grade 3,No,<Null>,Main,Street,Tar Mix,<Null>,5,<Null>,CGI,<Null>,<Null>,2803,35TH AVE N,28th St. N,<Null>,BIRMINGHAM,At intersection of 35th Ave & 28th St,2020,Southern Cross,<Null>,<Null>,2/14/20 16:11,Jackie.Butts1,2/14/20 16:11,Jackie.Butts1,10578875,9200020507,<Null>,<Null>,-86.817132,33.557496
20509,3 Year,Underground,Grade 2,No,<Null>,Main,Street,Tar Mix,12,<Null>,<Null>,CGI,<Null>,<Null>,2729,38TH AVE N,28th St. N,<Null>,BIRMINGHAM,"Hole in street along gas pipeline, 15+ from residences; Intersection 38th Ave & 28th St",2020,Southern Cross,<Null>,<Null>,2/14/20 17:08,Jackie.Butts1,2/14/20 17:08,Jackie.Butts1,10578876,9200020509,<Null>,<Null>,-86.81843,33.560599
