,Time Stamp,CH4 (ppm),C2H6 (ppb),R,C2/C1,ch4Enhcmt,totDist,length,lrate,npeaks,Latitude,Longitude
0,06/19/2020 02:37:50.603,2.6137,7.085,0.951,0.007,0.584,330.5,23,20.2,4,33.6978263855,-86.6127853394
1,06/25/2020 01:16:45.926,3.72984,24.057,0.998,0.009,1.849,175.7,18,30.2,4,33.6909637451,-86.6266479492
2,06/19/2020 01:51:40.683,3.26671,13.996,0.938,0.002,1.247,212.1,20,28.9,4,33.690410614,-86.6292114258
3,06/20/2020 02:14:02.932,2.41458,18.032,0.95,0.01,0.416,221.2,20,12.6,3,33.6895523071,-86.6210327148
4,06/20/2020 01:51:39.444,2.8884,8.174,0.973,0.007,0.88,182.4,25,25.4,5,33.6844978333,-86.6179122925
5,06/19/2020 02:29:41.643,3.19447,17.968,0.991,0.007,1.158,264.0,29,72.6,1,33.684677124,-86.6179351807
6,06/25/2020 01:13:27.168,2.12683,11.51,0.848,0.012,0.249,227.4,14,4.5,2,33.6942176819,-86.6166305542
7,06/24/2020 23:41:24.838,3.44154,9.604,0.998,0.008,1.539,190.6,22,12.9,2,33.6829948425,-86.6209564209
8,06/25/2020 01:07:42.796,2.35925,5.775,0.93,0.007,0.482,255.1,17,13.9,2,33.7055854797,-86.6078643799
9,06/18/2020 01:18:14.604,2.32032,11.298,0.809,0.006,0.336,193.6,11,6.9,1,33.6775093079,-86.6310119629
10,06/19/2020 01:44:10.123,2.06986,14.195,0.835,0.007,0.057,119.7,7,0.6,1,33.6974105835,-86.6135559082
11,06/19/2020 02:38:03.915,2.05878,2.903,0.77,0.023,0.029,65.5,5,0.2,1,33.6985054016,-86.6110076904
12,06/20/2020 01:24:46.542,2.10881,15.207,0.806,0.006,0.067,120.3,7,1.0,1,33.6689414978,-86.6359481812
13,06/20/2020 02:02:46.376,2.11514,9.096,0.774,0.009,0.104,155.4,8,1.2,1,33.6934928894,-86.6173019409
14,06/20/2020 02:16:18.408,2.10019,12.167,0.753,0.007,0.075,93.9,5,0.6,1,33.6712226868,-86.6352157593
15,06/24/2020 23:27:28.640,1.99831,4.653,0.924,0.021,0.122,7.4,21,0.1,1,33.6399497986,-86.6143798828
16,06/25/2020 00:33:42.374,1.96071,9.872,0.834,0.013,0.087,67.3,9,0.1,1,33.673500061,-86.588684082
17,06/25/2020 00:53:31.545,3.6244,7.183,0.991,0.005,1.731,193.9,17,52.6,1,33.7130889893,-86.621963501
18,06/25/2020 01:08:09.420,2.20151,7.521,0.931,0.015,0.324,311.9,20,9.9,1,33.7045898438,-86.6041107178
19,06/25/2020 01:09:39.532,2.34553,13.277,0.914,0.01,0.444,246.2,17,4.2,1,33.6985664368,-86.6089859009
20,06/25/2020 01:14:13.350,2.22912,11.681,0.942,0.01,0.352,189.3,12,5.4,1,33.6903305054,-86.6214141846
21,06/25/2020 01:18:03.750,1.9334,7.754,0.765,0.011,0.05,43.0,5,0.1,1,33.6913452148,-86.6287002563
22,06/25/2020 01:27:50.707,1.92011,-1.277,0.721,0.009,0.044,79.1,5,0.3,1,33.688621521,-86.6217041016
23,06/25/2020 01:31:50.425,2.32998,0.83,0.896,0.007,0.446,207.0,11,9.3,1,33.6584472656,-86.6430358887
