Time Stamp,Inlet Number,P (mbars),T (degC),CH4 (ppm),H2O (ppm),C2H6 (ppb),R,C2/C1,Battery Charge (V),Power Input (mV),Current (mA),SOC (%),Latitude,Longitude,U (m/sec),V (m/sec),W (m/sec),T (degC),Dir (deg),Speed (m/sec),Compass (deg)
12/07/2020 15:15:13.472,0,240.019,-18.3335,1.55506,6294.04,5.77193,0,-1,11954,12312,518,75,33.5412406921,-86.8272018433,-00.07 ,-00.36 ,-00.33 ,10.3 ,260 ,00.49 ,177
12/07/2020 15:15:14.496,0,239.942,-15.3511,1.57398,6255.39,6.2814,0,-1,11992,12321,531,75,33.5412406921,-86.8272018433,00.27 ,-00.26 ,-00.11 ,10.3 ,316 ,00.40 ,177
12/07/2020 15:15:15.520,0,239.996,-12.3157,1.60058,6237.89,6.17802,0,-1,12020,12318,520,75,33.5412406921,-86.8272018433,00.43 ,-01.57 ,-00.26 ,09.5 ,285 ,01.65 ,177
12/07/2020 15:15:16.544,0,239.964,-12.6398,1.59507,6230.33,5.85025,0,-1,11963,12291,520,75,33.5412406921,-86.8272018433,00.89 ,-00.52 ,-00.09 ,09.5 ,330 ,01.04 ,176
12/07/2020 15:15:17.568,0,240.005,-27.6180,1.48958,6364,5.36984,0,-1,12022,12310,525,75,33.5412406921,-86.8272018433,00.34 ,-00.44 ,-00.07 ,10.2 ,308 ,00.56 ,177
12/07/2020 15:15:18.592,0,240.022,-19.8332,1.54575,6287.87,4.93818,0,-1,12002,12307,537,75,33.5412406921,-86.8272018433,00.18 ,-00.11 ,-00.07 ,10.9 ,329 ,00.22 ,177
12/07/2020 15:15:19.616,0,239.966,-25.5810,1.50182,6331.1,5.90138,0,-1,11964,12299,536,75,33.5412406921,-86.8272018433,-00.14 ,-00.58 ,-00.21 ,10.7 ,257 ,00.63 ,177
12/07/2020 15:15:20.640,0,240.016,-16.4571,1.56854,6255.05,6.14191,0,-1,12008,12314,523,75,33.5412406921,-86.8272018433,-00.36 ,00.35 ,-00.19 ,10.8 ,136 ,00.54 ,177
12/07/2020 15:15:21.664,0,240.031,-33.2951,1.45307,6402.75,5.48957,0,-1,12026,12310,541,75,33.5412406921,-86.8272018433,-00.43 ,00.31 ,-00.31 ,10.3 ,144 ,00.61 ,176
12/07/2020 15:15:22.688,0,240.043,99.0000,3.51009,6111.79,9.84519,0.962045,0.00208585,11978,12315,530,75,33.5412406921,-86.8272018433,00.37 ,00.53 ,-00.17 ,09.9 ,055 ,00.67 ,176
12/07/2020 15:15:23.712,0,240.02,99.0000,3.51544,6113.67,9.0433,0.966487,0.00187348,11980,12309,531,75,33.5412406921,-86.8272018433,00.28 ,00.71 ,-00.35 ,10.3 ,068 ,00.83 ,176
12/07/2020 15:15:24.736,0,240.035,99.0000,3.50865,6123.74,9.4015,0.975006,0.00186537,12023,12312,516,75,33.5412406921,-86.8272018433,00.25 ,00.75 ,-00.12 ,10.2 ,072 ,00.80 ,177
12/07/2020 15:15:25.760,0,240.054,99.0000,3.50465,6127.64,10.6237,0.970894,0.00201671,12002,12306,533,75,33.5412406921,-86.8272018433,00.34 ,00.88 ,-00.23 ,10.3 ,069 ,00.97 ,177
12/07/2020 15:15:26.784,0,240.006,-22.8055,1.52366,6307.42,5.49763,0.971642,0.00202877,11973,12295,538,75,33.5412406921,-86.8272018433,00.17 ,00.40 ,-00.28 ,10.4 ,067 ,00.52 ,177
12/07/2020 15:15:27.808,0,240.038,-14.6992,1.58141,6232.56,5.85978,0.972196,0.00202716,12020,12313,521,75,33.5412406921,-86.8272018433,00.08 ,00.67 ,-00.31 ,10.5 ,083 ,00.74 ,177
12/07/2020 15:15:28.832,0,240.008,-29.3304,1.47931,6385.17,5.622,0.972935,0.00202699,11968,12270,540,75,33.5412406921,-86.8272018433,00.26 ,01.14 ,00.06 ,10.4 ,077 ,01.17 ,177
12/07/2020 15:15:29.856,0,239.973,-31.9850,1.46365,6421.69,5.70092,0.973355,0.00202191,11968,12270,540,75,33.5412406921,-86.8272018433,-00.01 ,00.58 ,-00.27 ,10.3 ,091 ,00.63 ,177
12/07/2020 15:15:30.880,0,240.006,-17.2212,1.56514,6279.9,5.47966,0.97311,0.00203275,11992,12307,531,75,33.5412406921,-86.8272018433,00.09 ,00.31 ,-00.18 ,10.5 ,074 ,00.37 ,176
12/07/2020 15:15:31.904,0,239.947,-18.0997,1.55383,6286.9,5.84723,0.973317,0.00202981,12018,12315,537,75,33.5412406921,-86.8272018433,-00.57 ,00.45 ,-00.34 ,10.4 ,142 ,00.80 ,176
12/07/2020 15:15:32.928,0,239.9,-15.2208,1.57598,6266.52,5.41318,0.972577,0.00204112,11988,12310,546,75,33.5412406921,-86.8272018433,-00.60 ,00.15 ,-00.24 ,10.5 ,166 ,00.66 ,176
12/07/2020 15:15:33.952,0,239.997,-15.5589,1.57281,6279.57,5.95671,0.972442,0.00203622,11968,12321,528,75,33.5412406921,-86.8272018433,-00.90 ,-00.13 ,-00.45 ,10.6 ,188 ,01.01 ,176
12/07/2020 15:15:34.976,0,240.191,-28.0681,1.4807,6388.44,5.32287,0.972425,0.00204523,12018,12317,521,75,33.5412406921,-86.8272018433,-00.87 ,00.17 ,-00.21 ,11.3 ,169 ,00.91 ,177
12/07/2020 15:15:36.000,0,240.067,-19.0476,1.54661,6300.95,5.65009,0.972673,0.002047,11963,12310,536,75,33.5412406921,-86.8272018433,-00.77 ,00.37 ,-00.29 ,10.9 ,155 ,00.91 ,176
12/07/2020 15:15:37.024,0,239.952,-20.0670,1.54088,6320.01,6.02199,0.971869,0.002039,12003,12309,530,75,33.5412406921,-86.8272018433,-00.25 ,-00.08 ,-00.16 ,10.9 ,198 ,00.30 ,177
12/07/2020 15:15:38.048,0,239.962,-21.7663,1.52732,6337.66,5.72258,0.972069,0.00203821,12015,12323,542,75,33.5412406921,-86.8272018433,-00.65 ,00.70 ,-00.09 ,10.6 ,133 ,00.96 ,177
12/07/2020 15:15:39.072,0,240.001,-23.6175,1.5157,6367.47,6.23817,0.969315,0.00202423,12015,12323,542,75,33.5412406921,-86.8272018433,-00.97 ,00.51 ,-00.41 ,10.1 ,152 ,01.17 ,175
12/07/2020 15:15:40.096,0,239.919,-24.0856,1.51149,6370.98,5.87842,0.969119,0.00201968,11966,12296,519,75,33.5412406921,-86.8272018433,-00.81 ,00.61 ,-00.27 ,10.1 ,143 ,01.05 ,176
12/07/2020 15:15:41.120,0,239.909,-18.0496,1.55893,6326.98,5.42788,0.968428,0.00202673,11980,12319,521,75,33.5412406921,-86.8272018433,-00.78 ,00.74 ,-00.22 ,09.8 ,136 ,01.10 ,177
12/07/2020 15:15:42.144,0,239.955,-15.7272,1.57142,6309.15,6.18467,0.967194,0.00201993,12006,12310,510,75,33.5412406921,-86.8272018433,-00.83 ,00.42 ,-00.30 ,10.0 ,153 ,00.98 ,177
12/07/2020 15:15:43.168,0,239.98,-23.1127,1.51701,6371.2,5.8346,0.967174,0.00201725,11986,12316,516,75,33.5412406921,-86.8272018433,-01.34 ,00.86 ,-00.25 ,10.0 ,147 ,01.61 ,176
12/07/2020 15:15:44.192,0,239.983,-26.2450,1.50169,6419.28,5.64744,0.967248,0.00201769,12012,12308,539,75,33.5412406921,-86.8272018433,-00.80 ,00.09 ,00.16 ,09.8 ,173 ,00.82 ,176
12/07/2020 15:15:45.216,0,240.004,-28.4508,1.49298,6459.98,5.36505,0.96891,0.00203174,12007,12312,525,75,33.5412406921,-86.8272018433,-00.44 ,00.03 ,-00.32 ,10.0 ,176 ,00.55 ,177
12/07/2020 15:15:46.240,0,240.01,-28.8967,1.48701,6470.6,5.97995,0.968753,0.0020283,11983,12298,536,75,33.5412406921,-86.8272018433,-00.97 ,00.90 ,-00.23 ,09.6 ,137 ,01.34 ,176
12/07/2020 15:15:47.264,0,240.006,-16.1141,1.578,6355.64,6.39715,0.965781,0.0020192,11986,12325,520,75,33.5412406921,-86.8272018433,-00.98 ,-00.13 ,-00.21 ,09.8 ,187 ,01.01 ,176
12/07/2020 15:15:48.288,0,240.001,-16.8158,1.57693,6387.66,6.72576,0.959455,0.00199857,12026,12309,528,75,33.5412406921,-86.8272018433,-00.39 ,-00.06 ,-00.09 ,10.4 ,189 ,00.40 ,177
12/07/2020 15:15:49.312,0,240.004,-19.5990,1.55847,6441.79,6.37517,0.962966,0.00197325,12026,12309,528,75,33.5412406921,-86.8272018433,-00.59 ,-00.02 ,-00.30 ,10.4 ,182 ,00.66 ,176
12/07/2020 15:15:50.336,0,240.064,-16.6023,1.5806,6435.29,6.80098,0.956366,0.0019621,11978,12310,523,75,33.5412406921,-86.8272018433,-00.50 ,00.51 ,-00.20 ,10.1 ,135 ,00.74 ,177
