,min_read,overallLON,overallLAT,mnlogCH4,verified,numtimes,minDist,maxDist,mn_maxc2h6_ab,mn_maxch4_ab,geometry,recombine,em,threshold,First_Time
0,Trussville_1606822226.4,-86.8229118907404,33.56024362125771,-1.4441251057822502,True,4,0.0,0.6280707509507302,0.31999749999999955,0.23736625,POINT (-86.8229118907404 33.56024362125771),"['Trussville_1606822226.4', 'Trussville_1606830156.3', 'Trussville_1606908882.5', 'Trussville_1606993258.4']",0.07713960959311013,0.05,2020-12-01 04:30:26
1,Trussville_1606822296.8,-86.82344578465431,33.55922442011531,-0.411013717174273,True,2,0.0,0.0,15.05594,1.1019649999999999,POINT (-86.82344578465431 33.55922442011531),"['Trussville_1606822296.8', 'Trussville_1606830465.1']",0.3090515564814259,0.05,2020-12-01 04:31:36
2,Trussville_1606822390.5,-86.82771462042975,33.55555206008662,0.5584951602667196,False,1,13.553140658036444,13.553140658036444,2.4397674999999994,1.74804,POINT (-86.82771462042975 33.55555206008662),['Trussville_1606822390.5'],1.1367801803921962,0.05,2020-12-01 04:33:10
3,Trussville_1606822410.5,-86.82924713785063,33.55504596714376,0.2142661529465791,True,6,0.0,17.17676992874809,2.1630311111111116,1.4317911111111112,POINT (-86.82924713785063 33.55504596714376),"['Trussville_1606822410.5', 'Trussville_1606822465.3', 'Trussville_1606836540.4', 'Trussville_1606836547.6', 'Trussville_1606837048.7', 'Trussville_1606924418.1', 'Trussville_1606925089.9', 'Trussville_1606925112.5', 'Trussville_1607001746.5']",0.7158815840266418,0.05,2020-12-01 04:33:30
4,Trussville_1606822431.5,-86.83044868017929,33.554735422762235,0.6106904155599964,False,1,15.130548737916325,15.130548737916325,2.210252500000001,1.8417025000000002,POINT (-86.83044868017929 33.55473542276223),['Trussville_1606822431.5'],1.219351845040472,0.05,2020-12-01 04:33:51
5,Trussville_1606822551.4,-86.82200562163807,33.55742700982548,-0.5734960328960289,True,3,0.0,17.884783841927494,2.360259666666667,0.7510183333333332,POINT (-86.82200562163807 33.55742700982548),"['Trussville_1606822551.4', 'Trussville_1606828850.4', 'Trussville_1606994454.3']",0.24844659029938088,0.05,2020-12-01 04:35:51
6,Trussville_1606822594.8,-86.82061004639999,33.5575828552,0.523532547762341,False,1,0.0,0.0,3.26244,1.68798,POINT (-86.82061004639999 33.5575828552),['Trussville_1606822594.8'],1.0846211678518232,0.05,2020-12-01 04:36:34
7,Trussville_1606822616.3,-86.82058488867399,33.55825278641666,-0.5494349477479491,True,2,0.2798602029920549,26.56799417382463,3.6158275,0.9648787500000001,POINT (-86.82058488867399 33.55825278641666),"['Trussville_1606822616.3', 'Trussville_1606993870.2']",0.25660855060821697,0.05,2020-12-01 04:36:56
8,Trussville_1606822634.8,-86.81992360426091,33.559610732561566,-0.5962130182052986,True,2,0.0,3.586040610533775,-1.9565250000000007,0.9236474999999998,POINT (-86.81992360426091 33.55961073256157),"['Trussville_1606822634.8', 'Trussville_1606834314.4']",0.24097897516750427,0.05,2020-12-01 04:37:14
9,Trussville_1606822732.1,-86.8169433910533,33.552094222016265,0.1724267774333532,True,7,2.4306343026487944,16.682522641810436,43.7904325,4.008058888888888,POINT (-86.8169433910533 33.55209422201627),"['Trussville_1606822732.1', 'Trussville_1606823790.5', 'Trussville_1606823861.2', 'Trussville_1606824247.1', 'Trussville_1606828419.8', 'Trussville_1606995300.6', 'Trussville_1606998302.6', 'Trussville_1606998561.9', 'Trussville_1606999788.5']",0.6767536831281877,0.05,2020-12-01 04:38:52
10,Trussville_1606822747.4,-86.81606694163467,33.5512732050369,-0.518129368086436,True,2,0.8031245178427966,10.729780348219943,1.783175000000001,0.9307549999999999,POINT (-86.81606694163467 33.5512732050369),"['Trussville_1606822747.4', 'Trussville_1606823100.1']",0.2676306810483521,0.05,2020-12-01 04:39:07
11,Trussville_1606823528.9,-86.82564408178807,33.550485757672554,-0.4300391886245749,True,2,0.14012742148789314,14.04855569528388,3.421511249999999,0.9895487499999999,POINT (-86.82564408178807 33.55048575767255),"['Trussville_1606823528.9', 'Trussville_1606924596.6']",0.301252601763266,0.05,2020-12-01 04:52:08
12,Trussville_1606823588.4,-86.82122271456953,33.55192199016839,-0.87364934362671,True,3,0.0,21.716872624244466,5.268186666666668,0.6480741666666668,POINT (-86.82122271456953 33.55192199016839),"['Trussville_1606823588.4', 'Trussville_1606829933.8', 'Trussville_1606993365.8']",0.1660018961477633,0.05,2020-12-01 04:53:08
13,Trussville_1606823607.9,-86.81961617666079,33.55178843042512,0.005714143480904506,True,7,0.0,24.682307613866385,6.497698616666667,1.2805763333333333,POINT (-86.81961617666079 33.55178843042512),"['Trussville_1606823607.9', 'Trussville_1606824179.3', 'Trussville_1606824188.5', 'Trussville_1606825083.2', 'Trussville_1606829556.6', 'Trussville_1606829564.8', 'Trussville_1606829585.3', 'Trussville_1606909711.1', 'Trussville_1606909729.5', 'Trussville_1606909850.4', 'Trussville_1606909862.6', 'Trussville_1606994156.2', 'Trussville_1606994313.2', 'Trussville_1606999109.2', 'Trussville_1606999236.4']",0.5409593322398104,0.05,2020-12-01 04:53:27
14,Trussville_1606823607.9,-86.81961617666079,33.55178843042512,0.005714143480904506,True,9,0.0,24.682307613866385,6.497698616666667,1.2805763333333333,POINT (-86.81961617666079 33.55178843042512),"['Trussville_1606823607.9', 'Trussville_1606824179.3', 'Trussville_1606824188.5', 'Trussville_1606825083.2', 'Trussville_1606829556.6', 'Trussville_1606829564.8', 'Trussville_1606829585.3', 'Trussville_1606909711.1', 'Trussville_1606909729.5', 'Trussville_1606909850.4', 'Trussville_1606909862.6', 'Trussville_1606994156.2', 'Trussville_1606994313.2', 'Trussville_1606999109.2', 'Trussville_1606999236.4']",0.5409593322398104,0.05,2020-12-01 04:53:27
15,Trussville_1606823607.9,-86.81961617666079,33.55178843042512,0.005714143480904506,True,6,0.0,24.682307613866385,6.497698616666667,1.2805763333333333,POINT (-86.81961617666079 33.55178843042512),"['Trussville_1606823607.9', 'Trussville_1606824179.3', 'Trussville_1606824188.5', 'Trussville_1606825083.2', 'Trussville_1606829556.6', 'Trussville_1606829564.8', 'Trussville_1606829585.3', 'Trussville_1606909711.1', 'Trussville_1606909729.5', 'Trussville_1606909850.4', 'Trussville_1606909862.6', 'Trussville_1606994156.2', 'Trussville_1606994313.2', 'Trussville_1606999109.2', 'Trussville_1606999236.4']",0.5409593322398104,0.05,2020-12-01 04:53:27
