,LeakName,Longitude,Latitude,Verified,TimesSeen,maxDist,mn_maxc2h6_ab,mn_maxch4_ab,threshold,First_Time,geometry,win,POLYGON,LEAKNUM,PolyLK
0,Trussville_1606822226.4,-86.82291189074041,33.56024362125771,True,4,0.6280707509507302,0.31999749999999955,0.23736625,0.05,2020-12-01 04:30:26,POINT (-86.82291189074041 33.56024362125771),True,P3,1,P31
1,Trussville_1606822296.8,-86.82344578465431,33.55922442011531,True,2,0.0,15.05594,1.101965,0.05,2020-12-01 04:31:36,POINT (-86.82344578465431 33.55922442011531),True,P3,2,P32
2,Trussville_1606822390.5,-86.82771462042975,33.55555206008662,False,1,13.553140658036444,2.4397674999999994,1.74804,0.05,2020-12-01 04:33:10,POINT (-86.82771462042975 33.55555206008662),True,P3,3,P33
3,Trussville_1606822410.5,-86.82924713785063,33.55504596714376,True,6,17.17676992874809,2.163031111111112,1.4317911111111112,0.05,2020-12-01 04:33:30,POINT (-86.82924713785063 33.55504596714376),True,P3,4,P34
4,Trussville_1606822431.5,-86.83044868017929,33.554735422762235,False,1,15.130548737916325,2.210252500000001,1.8417025,0.05,2020-12-01 04:33:51,POINT (-86.83044868017929 33.55473542276223),True,P3,5,P35
5,Trussville_1606822551.4,-86.82200562163807,33.55742700982548,True,3,17.884783841927494,2.360259666666667,0.7510183333333332,0.05,2020-12-01 04:35:51,POINT (-86.82200562163807 33.55742700982548),True,P3,6,P36
6,Trussville_1606822594.8,-86.82061004639999,33.5575828552,False,1,0.0,3.2624400000000002,1.68798,0.05,2020-12-01 04:36:34,POINT (-86.82061004639999 33.5575828552),True,P3,7,P37
7,Trussville_1606822616.3,-86.82058488867399,33.55825278641666,True,2,26.56799417382463,3.6158275,0.96487875,0.05,2020-12-01 04:36:56,POINT (-86.82058488867399 33.55825278641666),True,P3,8,P38
8,Trussville_1606822634.8,-86.81992360426091,33.559610732561566,True,2,3.586040610533775,-1.9565250000000007,0.9236474999999998,0.05,2020-12-01 04:37:14,POINT (-86.81992360426091 33.55961073256157),True,P3,9,P39
9,Trussville_1606822732.1,-86.8169433910533,33.552094222016265,True,7,16.682522641810436,43.7904325,4.008058888888888,0.05,2020-12-01 04:38:52,POINT (-86.8169433910533 33.55209422201627),True,P3,10,P310
10,Trussville_1606822747.4,-86.81606694163467,33.5512732050369,True,2,10.729780348219943,1.7831750000000008,0.930755,0.05,2020-12-01 04:39:07,POINT (-86.81606694163467 33.5512732050369),True,P3,11,P311
11,Trussville_1606823528.9,-86.82564408178807,33.550485757672554,True,2,14.04855569528388,3.4215112499999987,0.98954875,0.05,2020-12-01 04:52:08,POINT (-86.82564408178807 33.55048575767255),True,P3,12,P312
12,Trussville_1606823588.4,-86.82122271456953,33.55192199016839,True,3,21.716872624244466,5.268186666666668,0.6480741666666668,0.05,2020-12-01 04:53:08,POINT (-86.82122271456953 33.55192199016839),True,P3,13,P313
13,Trussville_1606823607.9,-86.8196161766608,33.55178843042512,True,9,24.682307613866385,6.497698616666668,1.280576333333333,0.05,2020-12-01 04:53:27,POINT (-86.8196161766608 33.55178843042512),True,P3,14,P314
14,Trussville_1606823631.4,-86.81854130492981,33.552694532214325,False,1,12.610650796407688,1.4751000000000007,1.6528099999999997,0.05,2020-12-01 04:53:51,POINT (-86.81854130492981 33.55269453221432),True,P3,15,P315
15,Trussville_1606823669.4,-86.81775476935967,33.55277669580434,False,1,10.463482086678304,2.1067,1.7230900000000002,0.05,2020-12-01 04:54:29,POINT (-86.81775476935967 33.55277669580434),True,P3,16,P316
16,Trussville_1606823925.7,-86.82046600413376,33.551031731777066,False,1,18.783292589411488,19.7750025,1.92538875,0.05,2020-12-01 04:58:45,POINT (-86.82046600413376 33.55103173177707),True,P3,17,P317
17,Trussville_1606823994.7,-86.82685089110001,33.5491714478,False,1,0.0,0.3336024999999996,0.1853324999999999,0.05,2020-12-01 04:59:54,POINT (-86.82685089110001 33.5491714478),True,P3,18,P318
18,Trussville_1606824004.1,-86.82778057567083,33.5483439109969,True,5,19.70678773841339,2.9100304375,0.5320553125000002,0.05,2020-12-01 05:00:04,POINT (-86.82778057567083 33.5483439109969),True,P3,19,P319
19,Trussville_1606824179.3,-86.8187869284718,33.54969626479668,True,7,17.883277856612374,18.554777555555557,0.9948494444444442,0.05,2020-12-01 05:02:59,POINT (-86.81878692847179 33.54969626479668),True,P3,20,P320
20,Trussville_1606824200.8,-86.81815063902913,33.55169481004444,False,1,18.64601792702504,3.45735,1.7531649999999996,0.05,2020-12-01 05:03:20,POINT (-86.81815063902913 33.55169481004444),True,P3,21,P321
21,Trussville_1606824424.8,-86.82054785841326,33.549938811899985,False,1,12.220211389576974,1.1483125000000003,1.72908125,0.05,2020-12-01 05:07:04,POINT (-86.82054785841326 33.54993881189998),True,P3,22,P322
