,min_read,overallLON,overallLAT,mnlogCH4,verified,numtimes,minDist,maxDist,mn_maxc2h6_ab,mn_maxch4_ab,geometry,recombine,em,threshold,First_Time
0,Spire_1606822043.8,-86.82347869870001,33.564609527600005,0.2359018174128724,False,1,0.0,0.0,1.297902500000001,1.26605,POINT (-86.82347869870001 33.56460952760001),['Spire_1606822043.8'],0.7369944163351596,0.06,2020-12-01 04:27:23
1,Spire_1606822226.4,-86.82291078360106,33.560200912287904,-1.3836919874642801,True,3,0.0,0.08775268564605199,0.21986749999999947,0.25088499999999997,POINT (-86.82291078360106 33.5602009122879),"['Spire_1606822226.4', 'Spire_1606908882.5', 'Spire_1606993258.4']",0.08366354103886411,0.06,2020-12-01 04:30:26
2,Spire_1606822298.1,-86.82344574460697,33.55922445755086,-0.41013366443017274,True,2,0.0,0.0,14.258765000000006,1.10182625,POINT (-86.82344574460697 33.55922445755086),"['Spire_1606822298.1', 'Spire_1606830461.4']",0.3094171552028896,0.06,2020-12-01 04:31:38
3,Spire_1606822390.5,-86.8282397373031,33.556078906819074,0.5496081011712631,True,3,0.0,13.553140658036444,1.78932875,1.732709166666667,POINT (-86.82823973730309 33.55607890681907),"['Spire_1606822390.5', 'Spire_1606836107.6', 'Spire_1606836122.1', 'Spire_1606836178.4', 'Spire_1606836428.7', 'Spire_1606836428.7', 'Spire_1606836455.3', 'Spire_1606836455.3']",1.1232889080683288,0.06,2020-12-01 04:33:10
4,Spire_1606822410.5,-86.82917144015983,33.55517634239706,0.26162227269262084,True,5,0.0,17.17676992874809,1.5074722727272727,1.485481136363636,POINT (-86.82917144015983 33.55517634239706),"['Spire_1606822410.5', 'Spire_1606822465.3', 'Spire_1606836420.3', 'Spire_1606836500.4', 'Spire_1606836515.8', 'Spire_1606836536.3', 'Spire_1606836548.8', 'Spire_1606924418.1', 'Spire_1606925088.9', 'Spire_1606925107.3', 'Spire_1607001746.5']",0.7629049192225168,0.06,2020-12-01 04:33:30
5,Spire_1606822410.5,-86.82917144015983,33.55517634239706,0.26162227269262084,True,6,0.0,17.17676992874809,1.5074722727272727,1.485481136363636,POINT (-86.82917144015983 33.55517634239706),"['Spire_1606822410.5', 'Spire_1606822465.3', 'Spire_1606836420.3', 'Spire_1606836500.4', 'Spire_1606836515.8', 'Spire_1606836536.3', 'Spire_1606836548.8', 'Spire_1606924418.1', 'Spire_1606925088.9', 'Spire_1606925107.3', 'Spire_1607001746.5']",0.7629049192225168,0.06,2020-12-01 04:33:30
6,Spire_1606822431.5,-86.83018884390492,33.55481207956493,0.5814370976194494,True,3,11.243648731180915,15.130548737916325,2.015065000000001,1.7895050000000001,POINT (-86.83018884390492 33.55481207956493),"['Spire_1606822431.5', 'Spire_1606837048.7', 'Spire_1607001746.5']",1.1723617102750945,0.06,2020-12-01 04:33:51
7,Spire_1606822551.4,-86.82198196992,33.557242385478006,-0.558687301341379,True,3,0.0,5.509147162034364,2.1583509999999997,0.77455,POINT (-86.82198196992 33.55724238547801),"['Spire_1606822551.4', 'Spire_1606829372.9', 'Spire_1606994455.3']",0.2534387251694845,0.06,2020-12-01 04:35:51
8,Spire_1606822616.3,-86.8205620265462,33.558256797158705,0.5499838349660656,False,1,26.56799417382463,26.56799417382463,5.1650550000000015,1.733225,POINT (-86.8205620265462 33.55825679715871),['Spire_1606822616.3'],1.1238560472099033,0.06,2020-12-01 04:36:56
9,Spire_1606822634.8,-86.81997414591697,33.55961496007944,-0.1827696571759366,False,1,3.586040610533775,3.586040610533775,-1.3872375000000012,0.8329599999999999,POINT (-86.81997414591697 33.55961496007944),['Spire_1606822634.8'],0.41994899155347937,0.06,2020-12-01 04:37:14
10,Spire_1606822733.1,-86.81694457554363,33.5520948238903,0.17229577120009745,True,7,2.4306343026487944,14.447667197199964,43.79117888888889,4.007999999999999,POINT (-86.81694457554363 33.5520948238903),"['Spire_1606822733.1', 'Spire_1606823790.5', 'Spire_1606823861.2', 'Spire_1606824247.1', 'Spire_1606828419.8', 'Spire_1606995307.2', 'Spire_1606998302.6', 'Spire_1606998561.9', 'Spire_1606999789.5']",0.6766345883688644,0.06,2020-12-01 04:38:53
11,Spire_1606822748.4,-86.81606061459712,33.55126241968821,-0.17829042598039058,True,3,0.0,17.433264613901457,1.030925625,1.0903693749999999,POINT (-86.81606061459712 33.55126241968821),"['Spire_1606822748.4', 'Spire_1606823100.1', 'Spire_1606824368.3', 'Spire_1606824373.4']",0.4224836277174403,0.06,2020-12-01 04:39:08
12,Spire_1606823269.4,-86.8301239014,33.5470733643,-0.20013528326529045,False,1,0.0,0.0,-0.026425000000000143,0.8186199999999997,POINT (-86.8301239014 33.5470733643),['Spire_1606823269.4'],0.4102653376763874,0.06,2020-12-01 04:47:49
13,Spire_1606823296.1,-86.82884250350676,33.54746993897752,0.528175912201896,True,2,3.8777418572021127,7.24036973304167,1.879643750000001,1.6967725,POINT (-86.82884250350676 33.54746993897752),"['Spire_1606823296.1', 'Spire_1606824470.9']",1.0914081136645057,0.06,2020-12-01 04:48:16
14,Spire_1606823588.4,-86.82120140357192,33.551900785765234,-0.5057911836627138,True,2,0.0,21.716872624244466,7.630387499999999,0.8721725,POINT (-86.82120140357192 33.55190078576523),"['Spire_1606823588.4', 'Spire_1606829933.8']",0.27210368902953297,0.06,2020-12-01 04:53:08
