,LeakName,Longitude,Latitude,Verified,TimesSeen,maxDist,mn_maxc2h6_ab,mn_maxch4_ab,threshold,First_Time,geometry,win,POLYGON,LEAKNUM,PolyLK
0,Spire_1606822043.8,-86.82347869870001,33.564609527600005,False,1,0.0,1.297902500000001,1.26605,0.06,2020-12-01 04:27:23,POINT (-86.82347869870001 33.56460952760001),True,P3,1,P31
1,Spire_1606822226.4,-86.82291078360106,33.56020091228791,True,3,0.08775268564605199,0.21986749999999947,0.250885,0.06,2020-12-01 04:30:26,POINT (-86.82291078360106 33.56020091228791),True,P3,2,P32
2,Spire_1606822298.1,-86.82344574460697,33.55922445755086,True,2,0.0,14.258765000000004,1.10182625,0.06,2020-12-01 04:31:38,POINT (-86.82344574460697 33.55922445755086),True,P3,3,P33
3,Spire_1606822390.5,-86.82823973730308,33.556078906819074,True,3,13.553140658036444,1.78932875,1.732709166666667,0.06,2020-12-01 04:33:10,POINT (-86.82823973730308 33.55607890681907),True,P3,4,P34
4,Spire_1606822410.5,-86.82917144015984,33.55517634239706,True,6,17.17676992874809,1.507472272727273,1.485481136363636,0.06,2020-12-01 04:33:30,POINT (-86.82917144015984 33.55517634239706),True,P3,5,P35
5,Spire_1606822431.5,-86.83018884390492,33.55481207956493,True,3,15.130548737916325,2.0150650000000008,1.789505,0.06,2020-12-01 04:33:51,POINT (-86.83018884390492 33.55481207956493),True,P3,6,P36
6,Spire_1606822551.4,-86.82198196991999,33.55724238547801,True,3,5.509147162034364,2.158351,0.77455,0.06,2020-12-01 04:35:51,POINT (-86.82198196991999 33.55724238547801),True,P3,7,P37
7,Spire_1606822616.3,-86.82056202654621,33.558256797158705,False,1,26.56799417382463,5.1650550000000015,1.733225,0.06,2020-12-01 04:36:56,POINT (-86.82056202654621 33.55825679715871),True,P3,8,P38
8,Spire_1606822634.8,-86.81997414591697,33.55961496007944,False,1,3.586040610533775,-1.3872375000000012,0.8329599999999999,0.06,2020-12-01 04:37:14,POINT (-86.81997414591697 33.55961496007944),True,P3,9,P39
9,Spire_1606822733.1,-86.81694457554363,33.5520948238903,True,7,14.447667197199964,43.79117888888889,4.007999999999999,0.06,2020-12-01 04:38:53,POINT (-86.81694457554363 33.5520948238903),True,P3,10,P310
