,LeakName,Longitude,Latitude,Verified,TimesSeen,maxDist,mn_maxc2h6_ab,mn_maxch4_ab,threshold,First_Time,geometry,win,POLYGON,LEAKNUM,PolyLK
0,Spire_1606822226.4,-86.82291204679737,33.56024362813925,True,4,0.6280707509507302,0.1694157500000002,0.2336622500000001,0.05,2020-12-01 04:30:26,POINT (-86.82291204679737 33.56024362813925),True,P3,1,P31
1,Spire_1606822296.8,-86.82344581398033,33.55922439270185,True,2,0.0,14.525589500000002,1.0978500000000002,0.05,2020-12-01 04:31:36,POINT (-86.82344581398033 33.55922439270185),True,P3,2,P32
2,Spire_1606822376.1,-86.82601245917172,33.55518746984637,True,9,27.76721774449735,7.60991535,1.1378622857142855,0.05,2020-12-01 04:32:56,POINT (-86.82601245917172 33.55518746984637),True,P3,3,P33
3,Spire_1606822395.7,-86.82781916227994,33.555516419368765,False,1,11.408837309482234,2.4067099999999995,1.6819419999999996,0.05,2020-12-01 04:33:15,POINT (-86.82781916227994 33.55551641936876),True,P3,4,P34
4,Spire_1606822410.5,-86.82920117090818,33.555032846024204,True,6,17.17676992874809,1.8264904,1.5747297000000002,0.05,2020-12-01 04:33:30,POINT (-86.82920117090818 33.5550328460242),True,P3,5,P35
5,Spire_1606822431.5,-86.83044023279358,33.554737087518866,False,1,15.130548737916325,1.973326,1.7722019999999998,0.05,2020-12-01 04:33:51,POINT (-86.83044023279358 33.55473708751887),True,P3,6,P36
6,Spire_1606822620.4,-86.82062135217876,33.55834183603479,True,2,25.75268182466704,1.9597650000000002,0.9355584999999998,0.05,2020-12-01 04:37:00,POINT (-86.82062135217876 33.55834183603479),True,P3,7,P37
7,Spire_1606822732.1,-86.81694444509769,33.55209537509055,True,7,16.682522641810436,43.67051655555557,4.0013141111111095,0.05,2020-12-01 04:38:52,POINT (-86.81694444509769 33.55209537509055),True,P3,8,P38
8,Spire_1606822747.4,-86.81604468292875,33.55128133897388,True,2,7.635892715518246,1.523995999999999,0.7605725000000003,0.05,2020-12-01 04:39:07,POINT (-86.81604468292875 33.55128133897388),True,P3,9,P39
9,Spire_1606823528.9,-86.82563756135248,33.550469668103915,True,2,14.04855569528388,3.1753925,0.971714,0.05,2020-12-01 04:52:08,POINT (-86.82563756135248 33.55046966810391),True,P3,10,P310
