Time Stamp,Inlet Number,P (mbars),T (degC),CH4 (ppm),H2O (ppm),C2H6 (ppb),R,C2/C1,Battery Charge (V),Power Input (mV),Current (mA),SOC (%),Latitude,Longitude,U (m/sec),V (m/sec),W (m/sec),T (degC),Dir (deg),Speed (m/sec),Compass (deg)
12/02/2020 14:05:44.516,0,239.982,99.0000,3.71287,4319.04,12.8347,0,-1,12131,11997,-1160,93,33.5527420044,-86.8186874390,-00.17 ,01.46 ,-00.30 ,11.4 ,097 ,01.50 ,200
12/02/2020 14:05:45.540,0,239.983,99.0000,3.71859,4326.8,13.0286,0,-1,12131,11997,-1160,93,33.5527420044,-86.8186874390,00.11 ,02.01 ,-00.16 ,11.6 ,087 ,02.02 ,201
12/02/2020 14:05:46.564,0,239.971,99.0000,3.71844,4333.19,11.8267,0,-1,12147,12507,-1508,93,33.5527420044,-86.8186874390,00.15 ,01.95 ,-00.17 ,11.6 ,086 ,01.96 ,200
12/02/2020 14:05:47.588,0,240.04,99.0000,3.72168,4334.19,11.7317,0,-1,11972,12324,-1433,93,33.5527420044,-86.8186874390,-00.27 ,01.74 ,-00.18 ,12.2 ,099 ,01.77 ,201
12/02/2020 14:05:48.612,0,239.979,99.0000,3.72153,4342.02,11.7878,0,-1,11972,12324,-1433,93,33.5527420044,-86.8186874390,-00.02 ,01.50 ,-00.08 ,11.7 ,091 ,01.51 ,200
12/02/2020 14:05:49.636,0,239.987,99.0000,3.72106,4345.6,12.8,0,-1,12123,12508,-1492,93,33.5527420044,-86.8186874390,00.24 ,01.73 ,00.08 ,12.2 ,082 ,01.75 ,200
12/02/2020 14:05:50.660,0,239.955,99.0000,3.72068,4359.93,14.1665,0,-1,12165,11958,-1168,93,33.5527420044,-86.8186874390,00.63 ,01.72 ,00.56 ,12.3 ,070 ,01.91 ,201
12/02/2020 14:05:51.684,0,240.018,99.0000,3.71863,4366.09,12.5429,0,-1,11989,12334,-1439,93,33.5527420044,-86.8186874390,-00.01 ,01.80 ,00.35 ,12.5 ,090 ,01.83 ,201
12/02/2020 14:05:52.708,0,240.01,99.0000,3.71625,4375.15,13.7269,0,-1,12113,12509,-1489,93,33.5527420044,-86.8186874390,-00.19 ,02.63 ,00.11 ,13.3 ,094 ,02.64 ,201
12/02/2020 14:05:53.732,0,240.08,99.0000,3.71753,4384.97,12.2869,-0.2436,-1,11973,12332,-1392,93,33.5527420044,-86.8186874390,-00.42 ,02.66 ,00.22 ,12.1 ,099 ,02.71 ,201
12/02/2020 14:05:54.961,0,240.009,99.0000,3.72424,4393.61,13.7735,0.0220761,-1,12135,12508,-1445,93,33.5527420044,-86.8186874390,-00.69 ,02.38 ,00.36 ,11.5 ,106 ,02.51 ,201
12/02/2020 14:05:55.985,0,240.04,99.0000,3.71768,4410.36,12.1447,0.0541855,-1,12121,12514,-1474,93,33.5527420044,-86.8186874390,-01.77 ,01.96 ,-00.47 ,10.4 ,132 ,02.68 ,200
12/02/2020 14:05:57.009,0,240.035,99.0000,3.7193,4412.97,12.9633,0.0556665,-1,12012,12333,-1393,93,33.5527420044,-86.8186874390,-01.61 ,01.61 ,-00.48 ,10.5 ,135 ,02.32 ,200
12/02/2020 14:05:58.033,0,240.049,99.0000,3.71428,4420.92,13.0984,-0.00314017,-1,12012,12333,-1393,93,33.5527420044,-86.8186874390,-01.81 ,01.48 ,-00.66 ,10.1 ,141 ,02.42 ,200
12/02/2020 14:05:59.057,0,239.957,99.0000,3.71479,4429.86,13.0722,-0.0382181,-1,12154,12512,-1462,93,33.5527420044,-86.8186874390,-01.74 ,01.38 ,-00.48 ,10.4 ,142 ,02.27 ,200
12/02/2020 14:06:00.081,0,239.899,99.0000,3.71868,4441.39,12.5383,-0.0393051,-1,12117,11989,-1507,93,33.5527458191,-86.8186874390,-01.64 ,01.63 ,-00.82 ,10.3 ,135 ,02.45 ,201
12/02/2020 14:06:01.105,0,240.07,99.0000,3.71646,4455.65,13.0334,-0.053951,-1,11978,12519,-1311,93,33.5527458191,-86.8186874390,-01.51 ,01.71 ,-00.68 ,10.5 ,132 ,02.38 ,200
12/02/2020 14:06:02.129,0,239.92,99.0000,3.71173,4460.85,13.6034,-0.176582,-1,12150,12017,-1471,93,33.5527458191,-86.8186874390,-01.33 ,01.43 ,-00.50 ,10.5 ,133 ,02.01 ,200
12/02/2020 14:06:03.153,0,239.937,99.0000,3.71019,4477.15,13.1203,-0.200189,-1,11950,12506,-1412,93,33.5527458191,-86.8186874390,-01.08 ,01.42 ,-00.88 ,10.4 ,127 ,01.99 ,200
12/02/2020 14:06:04.177,0,239.949,99.0000,3.71175,4489.56,13.2263,-0.229704,-1,12133,11973,-1218,93,33.5527458191,-86.8186874390,-01.18 ,01.46 ,-00.64 ,10.4 ,129 ,01.98 ,200
12/02/2020 14:06:05.201,0,240.036,99.0000,3.70976,4502.35,12.207,-0.118148,-1,12161,12007,-1414,93,33.5527458191,-86.8186874390,-01.32 ,01.44 ,-00.60 ,10.3 ,133 ,02.04 ,201
12/02/2020 14:06:06.225,0,239.966,99.0000,3.70169,4513.2,12.9237,-0.109445,-1,12129,12001,-1458,93,33.5527458191,-86.8186874390,-01.36 ,01.40 ,-00.53 ,10.4 ,134 ,02.02 ,200
12/02/2020 14:06:07.249,0,239.993,99.0000,3.69058,4525.17,12.8273,-0.0720742,-1,11963,12507,-1296,93,33.5527458191,-86.8186874390,-01.29 ,01.02 ,-00.29 ,10.8 ,142 ,01.67 ,200
12/02/2020 14:06:08.273,0,240.007,99.0000,3.68642,4527.98,12.9228,-0.0731867,-1,11963,12507,-1296,93,33.5527458191,-86.8186874390,-01.02 ,01.59 ,-00.18 ,10.9 ,123 ,01.90 ,200
12/02/2020 14:06:09.297,0,240.07,99.0000,3.68316,4536.58,12.8678,-0.0653774,-1,12132,11963,-1445,93,33.5527458191,-86.8186874390,-00.98 ,01.69 ,-00.23 ,10.6 ,120 ,01.96 ,200
12/02/2020 14:06:10.321,0,239.985,99.0000,3.68035,4536.71,13.1968,-0.113932,-1,11949,12509,-1438,93,33.5527458191,-86.8186874390,-00.87 ,01.85 ,-00.23 ,10.6 ,115 ,02.06 ,200
12/02/2020 14:06:11.345,0,239.93,99.0000,3.67578,4536.85,12.4724,-0.0386331,-1,12120,11950,-1479,93,33.5527458191,-86.8186874390,-01.12 ,01.58 ,-00.17 ,10.7 ,125 ,01.95 ,200
