OP_NUM,OP_EPOCHSTART,OB_EPOCH,OB_DATETIME,OB_CH4,OB_LON,OB_LAT,OB_CH4_BASELINE,OB_CH4_THRESHOLD,OP_PEAK_DIST_M,OP_PEAK_CH4,OB_TCH4,OB_C2H6,OB_C2C1,OB_R,OB_C2H6_BASELINE,OB_PERIOD5MIN,ODOMETER,OB_U_AVG,OB_V_AVG,OB_W_AVG,OB_R_AVG,OB_THETA_AVG,OP_DISTANCE,Frequency,minElevated,OB_CH4_AB,OB_C2H6_AB
Spire_1606908381.2,1606908381.2,1606908381.2,20201202112621,3.91644,-86.8227767944,33.5653991699,3.7080775000000004,3.893481375,0.0,0.0,3.91644,6.690239999999998,0.0012272,0.8018489999999999,6.0592700000000015,8563612,10.897651322385254,0.791262,1.4085559091533213,11.226020042594538,0.3846666666666669,11.314042414006805,0.0,1,1,0.20836249999999978,0.6309699999999969
Spire_1606908883.5,1606908883.5,1606908883.5,20201202113443,3.8948,-86.8228759766,33.5602722168,3.6585125,3.841438125,0.0,0.0,3.8948,4.82134,0.00918342,0.8626520000000001,4.26713,8563629,27.7300300448,0.8315370000000001,14.20654674723126,20.482670533836078,1.339333333333333,24.927209283811607,0.857815338572248,2,1,0.23628749999999998,0.5542100000000003
Spire_1606908883.5,1606908883.5,1606908884.5,20201202113444,3.87514,-86.8228530884,33.5603942871,3.655385,3.83815425,13.738281045198406,3.0190559510875774,3.87514,5.54725,0.00897454,0.886177,4.2553725,8563629,26.87221470622775,0.818852,13.882172434224207,20.70260659662764,1.333333333333333,24.9261435322086,0.857815338572248,2,1,0.21975500000000014,1.2918775
Spire_1606908919.3,1606908919.3,1606908919.3,20201202113519,3.8032,-86.8238296509,33.5631752014,3.5999,3.779895,0.0,0.0,3.8032,2.30248,0.0008267319999999999,0.816241,3.63977,8563630,15.947165785537045,0.808682,12.19722938458042,7.9949880831781455,0.8233333333333331,14.583971993604234,1.2506302648842862,2,1,0.20330000000000004,-1.3372899999999999
Spire_1606908919.3,1606908919.3,1606908920.4,20201202113520,3.804780000000001,-86.8238449097,33.5632400513,3.599445,3.77941725,7.348273318042498,1.5088577017602582,3.804780000000001,4.32276,0.000816697,0.810805,3.575135,8563630,14.696535520652759,0.810724,11.78444023819583,7.88106878546631,0.8059999999999998,14.176892357948566,1.2506302648842862,2,1,0.20533500000000116,0.7476249999999998
Spire_1606909114.2,1606909114.2,1606909114.2,20201202113834,3.77923,-86.8210678101,33.560997009299996,3.595045,3.77479725,0.0,0.0,3.77923,4.7094,0.000978861,0.747467,3.8671525,8563637,5.1775633680144315,0.731124,-9.174775510806251,5.2106568335822825,0.4346666666666668,10.551182412935901,9.380014782253884,6,1,0.18418500000000027,0.8422474999999996
Spire_1606909114.2,1606909114.2,1606909115.2,20201202113835,3.7774,-86.82105255129999,33.560981750500005,3.59486,3.774603,2.208571369240524,0.4031526177411661,3.7774,5.25217,0.00100745,0.751726,3.85529,8563637,5.125292236603451,0.740985,-9.399889207385517,5.096345100706123,0.4306666666666667,10.692551168762954,9.380014782253884,6,1,0.18253999999999992,1.3968799999999995
Spire_1606909114.2,1606909114.2,1606909116.3,20201202113836,3.775630000000001,-86.82104492190003,33.560955047600004,3.5942199999999995,3.7739309999999997,5.2607930904179625,0.9568561601799668,3.775630000000001,5.39815,0.00103715,0.75748,3.8372349999999997,8563637,6.823522926441791,0.747467,-9.44857845530992,4.792569149419001,0.4316666666666667,10.59454358989143,9.380014782253884,6,1,0.1814100000000014,1.5609150000000005
Spire_1606909114.2,1606909114.2,1606909117.3,20201202113837,3.7741,-86.8210601807,33.5609207153,3.5939000000000005,3.7735950000000007,9.331774995902066,1.6904470995481993,3.7741,5.68266,0.00107295,0.764969,3.8282075,8563637,9.865975361413783,0.751726,-9.551472349176027,4.451573286748523,0.4346666666666667,10.537890147670323,9.380014782253884,6,1,0.18019999999999925,1.8544525000000003
Spire_1606909114.2,1606909114.2,1606909118.3,20201202113838,3.77877,-86.8210906982,33.560874939,3.59486,3.774603,15.154572881691651,2.7613178587237615,3.77877,5.0801,0.00108729,0.713709,3.81918,8563637,12.810383731760462,0.75748,-9.432049111347412,4.055147992515357,0.4333333333333334,10.266828900886136,9.380014782253884,6,1,0.18391000000000002,1.26092
Spire_1606909114.2,1606909114.2,1606909119.3,20201202113839,3.7795,-86.821144104,33.5608291626,3.595415,3.77518575,22.25364969574589,4.068151414038937,3.7795,5.48378,0.00111306,0.733913,3.795415,8563637,14.505307018857335,0.764969,-9.187998915298751,3.726043323450196,0.4430000000000001,9.914772963399557,9.380014782253884,6,1,0.18408500000000005,1.6883650000000001
Spire_1606909128.5,1606909128.5,1606909128.5,20201202113848,3.78518,-86.8218002319,33.560298919699996,3.60418,3.784389,0.0,0.0,3.78518,3.1295900000000003,0.00107523,0.8784780000000001,3.85529,8563637,20.69745871687084,0.910278,-5.077571263736536,-3.197299914107872,0.5116666666666669,6.000371378429607,0.0,1,1,0.18100000000000005,-0.7256999999999998
Spire_1606909403.5,1606909403.5,1606909403.5,20201202114323,3.83974,-86.823600769,33.557788848899996,3.64259,3.8247195,0.0,0.0,3.83974,5.23707,0.000895515,0.828883,3.44141,8563646,4.750832481901962,0.8749549999999999,2.0499518037357727,-3.6361821843847055,0.3926666666666668,4.174221277756641,1.1906976472241793,5,1,0.19714999999999971,1.7956600000000003
Spire_1606909403.5,1606909403.5,1606909404.5,20201202114324,3.86194,-86.8235778809,33.557773590100005,3.64259,3.8247195,2.7160307826136667,0.5957613521663077,3.86194,5.52535,0.000937097,0.8365969999999999,3.44141,8563646,4.122218397174366,0.8668959999999999,2.0000902271953707,-3.6476097064299684,0.3960000000000001,4.159978063327324,1.1906976472241793,5,1,0.21934999999999993,2.0839400000000006
Spire_1606909403.5,1606909403.5,1606909405.5,20201202114325,3.8657,-86.82356262209998,33.5577697754,3.64259,3.8247195,4.192196877586232,0.9251087696156364,3.8657,5.77102,0.000946899,0.848232,3.44141,8563646,3.5601348372926336,0.828883,1.9375781106469931,-3.5925751760466484,0.3726666666666668,4.081764977360281,1.1906976472241793,5,1,0.2231099999999997,2.32961
Spire_1606909403.5,1606909403.5,1606909406.6,20201202114326,3.85681,-86.82353973389999,33.5577697754,3.64259,3.8247195,6.313062015143019,1.3794404993830505,3.85681,5.458069999999998,0.000985553,0.8494229999999999,3.4595800000000003,8563646,3.5601348346777826,0.8365969999999999,1.7846583000558245,-3.3644239269051837,0.3813333333333334,3.8084581667507194,1.1906976472241793,5,1,0.21421999999999963,1.998489999999998
Spire_1606909403.5,1606909403.5,1606909407.6,20201202114327,3.8452,-86.8235244751,33.557773590100005,3.64259,3.8247195,7.789228107593044,1.6785265113743502,3.8452,5.24941,0.00101425,0.8583790000000001,3.46349,8563646,4.742403251390955,0.848232,1.6468206371165732,-2.9809514319173163,0.3783333333333335,3.40559681264282,1.1906976472241793,5,1,0.20260999999999996,1.78592
Spire_1606909648.6,1606909648.6,1606909648.6,20201202114728,4.02156,-86.82153320309997,33.5561943054,3.59995,3.779947500000001,0.0,0.0,4.02156,3.23328,-1.0,0.565125,3.4017,8563654,16.05217803430257,0.630961,-9.885786270452238,-7.044775573971503,0.5196666666666668,12.13909523287001,20.748048613617,6,1,0.4216099999999998,-0.1684199999999998
Spire_1606909648.6,1606909648.6,1606909649.7,20201202114729,4.07826,-86.8215026855,33.5561218262,3.59995,3.779947500000001,8.541047560447675,4.085268458637727,4.07826,4.13266,-1.0,0.55986,3.3960800000000004,8563654,18.518559405906,0.6343989999999999,-10.104827018851012,-7.248036638943077,0.5206666666666668,12.43549613808644,20.748048613617,6,1,0.47831,0.7365799999999991
Spire_1606909648.6,1606909648.6,1606909650.7,20201202114730,3.93631,-86.82146453860001,33.5560379028,3.6004824999999996,3.780506625,18.51995538831052,7.436460127199334,3.93631,6.50297,-1.0,0.573499,3.400295,8563654,20.75332737521173,0.565125,-10.392464466046489,-7.374815202096388,0.5340000000000003,12.743281247116494,20.748048613617,6,1,0.3358275000000006,3.1026750000000005
Spire_1606909648.6,1606909648.6,1606909651.7,20201202114731,3.87962,-86.8214263916,33.5559463501,3.602535,3.78266175,29.296389675469733,10.422448421656842,3.87962,6.8483800000000015,-1.0,0.575222,3.4220050000000004,8563654,22.589540449843067,0.55986,-10.644581705778565,-7.461159755140216,0.5416666666666669,12.999077835858962,20.748048613617,6,1,0.277085,3.426375000000001
Spire_1606909648.6,1606909648.6,1606909652.7,20201202114732,3.85807,-86.8213806152,33.555847168,3.602535,3.78266175,41.11256038699457,13.441893604426346,3.85807,5.60659,-1.0,0.5726359999999999,3.39889,8563654,24.028734081272233,0.573499,-10.879110090504927,-7.543318233994558,0.5533333333333335,13.238454832065596,20.748048613617,6,1,0.25553500000000007,2.2076999999999996
Spire_1606909648.6,1606909648.6,1606909653.8,20201202114733,3.78376,-86.8213348389,33.5557441711,3.602535,3.78266175,53.325590590393375,15.655200003037296,3.78376,5.8467,-1.0,0.587751,3.39889,8563654,36.80022664791957,0.575222,-11.113930923665727,-7.630418773017514,0.5666666666666668,13.481199917946155,20.748048613617,6,1,0.18122499999999997,2.44781
Spire_1606909658.9,1606909658.9,1606909658.9,20201202114738,3.81696,-86.82111358639999,33.5552062988,3.61794,3.7988370000000002,0.0,0.0,3.81696,4.9417,-1.0,0.6293489999999999,3.4444525,8563655,40.46999590957786,0.594777,-12.267977477153973,-8.146981214458638,0.6716666666666669,14.726729925163259,0.0,1,1,0.19901999999999997,1.4972474999999998
Spire_1606909665.6,1606909665.6,1606909665.6,20201202114745,3.80411,-86.8208084106,33.5544891357,3.6227525000000003,3.803890125,0.0,0.0,3.80411,5.2759800000000014,-1.0,0.6878920000000001,3.4260975000000005,8563655,14.220974818008724,0.667392,-11.77606023223029,-7.8671442517059695,0.7070000000000002,14.162187446516375,0.0,1,1,0.18135749999999984,1.849882500000001
Spire_1606909710.1,1606909710.1,1606909710.1,20201202114830,3.64766,-86.8197631836,33.552021026599995,3.211425,3.37199625,0.0,0.0,3.64766,4.09504,0.000754962,0.86597,3.5953100000000004,8563657,22.75891721436477,0.8322719999999999,-8.618150640321932,-6.737355924367446,0.5653333333333339,10.939126350439988,8.141231972132985,5,1,0.43623499999999993,0.49972999999999956
Spire_1606909710.1,1606909710.1,1606909712.1,20201202114832,3.65917,-86.8196792603,33.551815033000004,1.9835349999999998,2.08271175,24.18969651375729,40.533102117829685,3.65917,4.23522,0.00084409,0.8766649999999999,3.5953100000000004,8563657,25.22344380377145,0.86597,-9.1666582733454,-6.988457305565937,0.5976666666666673,11.526758408677154,8.141231972132985,5,1,1.6756350000000002,0.6399099999999995
Spire_1606909710.1,1606909710.1,1606909713.1,20201202114833,3.650630000000001,-86.81963348389999,33.5517082214,1.9990875,2.099041875,36.80142609264992,61.36190951587798,3.650630000000001,2.0456,0.000921712,0.8661780000000001,3.5953100000000004,8563657,24.591749472471214,0.8931030000000001,-9.507848732894496,-7.268204772363664,0.6156666666666674,11.967706051729937,8.141231972132985,5,1,1.651542500000001,-1.5497100000000006
Spire_1606909710.1,1606909710.1,1606909714.2,20201202114834,3.64566,-86.81959533690002,33.5516052246,1.9990875,2.099041875,48.78730265298755,81.09752424852451,3.64566,3.63047,0.000925369,0.866925,3.5953100000000004,8563657,23.788444162355994,0.8766649999999999,-9.967718602608226,-7.487195617110349,0.619333333333334,12.466495592172587,8.141231972132985,5,1,1.6465725,0.035159999999999414
Spire_1606909710.1,1606909710.1,1606909718.3,20201202114838,3.63295,-86.8194503784,33.5512504578,3.2156775,3.376461375,90.46001145653076,98.486399632751,3.63295,2.5886400000000003,0.0008831239999999998,0.8325959999999999,3.6462125,8563657,17.082211831638464,0.8904489999999999,-11.026447640266538,-8.288039039180909,0.6873333333333339,13.793989222792884,8.141231972132985,5,1,0.41727250000000016,-1.0575724999999996
Spire_1606909730.6,1606909730.6,1606909730.6,20201202114850,3.6291,-86.8191146851,33.5504570007,2.4074525,2.527825125,0.0,0.0,3.6291,1.85631,0.000815634,0.853075,3.5831600000000003,8563657,5.125395181275136,0.8435600000000001,-9.091636640732153,-7.1137738468443095,0.6166666666666673,11.54398696946378,0.0,1,1,1.2216475,-1.7268500000000004
Spire_1606909751.8,1606909751.8,1606909751.8,20201202114911,3.8099,-86.8188400269,33.5497741699,3.6280699999999997,3.8094735,0.0,0.0,3.8099,2.80618,0.0007294010000000001,0.768393,3.6829050000000003,8563658,10.776514756760305,0.785198,-5.343554795999211,-4.3877726251898395,0.4250000000000006,6.914197456553545,9.977001886035028,8,1,0.18183000000000016,-0.8767250000000004
Spire_1606909751.8,1606909751.8,1606909752.1,20201202114912,3.830880000000001,-86.81881713870001,33.5497245789,3.6280699999999997,3.8094735,5.9081343473707175,1.1982287269902574,3.830880000000001,4.56179,0.00075104,0.698104,3.6829050000000003,8563658,12.611752811116721,0.787686,-5.252848917951602,-4.320475842913089,0.4226666666666673,6.801392009289045,9.977001886035028,8,1,0.20281000000000127,0.8788849999999999
Spire_1606909751.8,1606909751.8,1606909753.1,20201202114913,3.86643,-86.81879425049999,33.5496673584,3.6281800000000004,3.809589,12.614993627329746,2.7961379504404977,3.86643,5.475,0.000782284,0.686484,3.68937,8563658,14.44773161316014,0.768393,-5.304911639223623,-4.308688071716369,0.4290000000000006,6.834243220673463,9.977001886035028,8,1,0.2382499999999994,1.7856299999999998
Spire_1606909751.8,1606909751.8,1606909754.1,20201202114914,4.17647,-86.81876373290001,33.5496025085,3.6281800000000004,3.809589,20.360721731732298,7.043043212803375,4.17647,7.40648,-1.0,0.654424,3.68937,8563658,16.284175050557927,0.698104,-5.379703140597496,-4.321482313701936,0.4526666666666673,6.900464858876768,9.977001886035028,8,1,0.5482899999999997,3.7171100000000004
Spire_1606909751.8,1606909751.8,1606909755.1,20201202114915,4.34835,-86.8187332153,33.5495300293,3.6281800000000004,3.809589,28.90184073802142,13.194100887562607,4.34835,6.69682,-1.0,0.648688,3.68937,8563658,18.287834012104426,0.686484,-5.458532637709664,-4.363197597879322,0.4703333333333341,6.988066387426603,9.977001886035028,8,1,0.7201699999999995,3.00745
Spire_1606909751.8,1606909751.8,1606909756.2,20201202114916,4.38724,-86.8187026978,33.549446106,3.62829,3.809704500000001,38.652809024346475,20.59459826846901,4.38724,9.3443,-1.0,0.6594140000000001,3.695835,8563658,20.120570223896717,0.654424,-5.581574570997347,-4.417714364985593,0.5063333333333341,7.118298596027302,9.977001886035028,8,1,0.7589500000000005,5.648465
Spire_1606909751.8,1606909751.8,1606909757.2,20201202114917,4.29194,-86.8186645508,33.5493583679,3.6281800000000004,3.809589,49.02957196175536,27.482278435803533,4.29194,10.5829,-1.0,0.660375,3.68937,8563658,20.753516642795333,0.648688,-5.879601652344395,-4.561229892956526,0.5176666666666674,7.44140670348363,9.977001886035028,8,1,0.6637599999999999,6.89353
Spire_1606909751.8,1606909751.8,1606909760.2,20201202114920,3.8801,-86.8185501099,33.5490837097,3.62829,3.809704500000001,81.35915493571106,35.623190724475315,3.8801,4.92773,-1.0,0.568569,3.7160474999999997,8563658,20.35523267555317,0.601824,-6.881043410637026,-5.3060148875004645,0.5566666666666673,8.689220471679134,9.977001886035028,8,1,0.2518100000000003,1.2116825000000007
Spire_1606909829.9,1606909829.9,1606909829.9,20201202115029,3.80754,-86.8185577393,33.5493011475,3.6206150000000004,3.80164575,0.0,0.0,3.80754,5.4897300000000016,0.00110918,0.8209420000000001,4.2088800000000015,8563660,30.495040005530253,0.837931,11.844026557423401,6.0971065978153876,0.8896666666666672,13.321248963895044,19.718523130367906,6,1,0.18692499999999956,1.28085
Spire_1606909829.9,1606909829.9,1606909830.9,20201202115030,3.93432,-86.81859588620001,33.5493927002,3.6206150000000004,3.80164575,10.776520440715947,3.380648344854793,3.93432,4.8334199999999985,0.00110086,0.772046,4.2088800000000015,8563660,21.5530426918091,0.832774,12.332280168339812,6.4259600320714965,0.9086666666666672,13.906045321521418,19.718523130367906,6,1,0.3137049999999997,0.624539999999997
Spire_1606909829.9,1606909829.9,1606909833.3,20201202115033,4.00462,-86.81867218020002,33.5495758057,3.6210825,3.8021366250000006,32.32957421935897,11.647052708481086,4.00462,7.33495,0.00121236,0.7296189999999999,4.2392175000000005,8563660,21.152802599847764,0.772046,13.336175286039634,7.2319072151620265,0.9426666666666672,15.170829022459085,19.718523130367906,6,1,0.3835375000000001,3.0957324999999996
Spire_1606909829.9,1606909829.9,1606909835.5,20201202115035,3.91056,-86.81874084469999,33.5497360229,3.6210825,3.8021366250000006,51.24719668849843,17.123278766791394,3.91056,7.13439,0.00106262,0.715406,4.2346575,8563660,15.247512854538607,0.7296189999999999,13.843426744095266,7.915463169125331,0.9560000000000004,15.946630402718675,19.718523130367906,6,1,0.28947749999999983,2.8997325
Spire_1606909829.9,1606909829.9,1606909836.7,20201202115036,3.87305,-86.81876373290001,33.5497932434,3.6210825,3.8021366250000006,57.95405543611888,18.813189198282448,3.87305,4.1430099999999985,0.000966966,0.713396,4.2346575,8563660,12.61176214891788,0.724943,13.828626243738789,8.240070764892799,0.9426666666666672,16.097505086176007,19.718523130367906,6,1,0.2519675000000001,-0.09164750000000144
Spire_1606909829.9,1606909829.9,1606909837.9,20201202115037,3.82147,-86.8187866211,33.5498428345,3.61846,3.799383,63.862199555992056,20.0126015360579,3.82147,7.02995,0.00101117,0.719305,4.23183,8563660,10.776516875162349,0.715406,13.84223055631298,8.420446549852908,0.9413333333333338,16.202199445539932,19.718523130367906,6,1,0.20301000000000036,2.79812
Spire_1606909850.4,1606909850.4,1606909850.4,20201202115050,3.62837,-86.81898498540001,33.5502319336,3.20437,3.3645885,0.0,0.0,3.62837,4.42366,-1.0,0.586242,4.131709999999999,8563661,1.2725258596280566,0.577866,10.482075684182506,5.917320649419064,0.7390000000000003,12.036967820716784,15.183785085123652,6,1,0.42399999999999993,0.2919500000000008
Spire_1606909850.4,1606909850.4,1606909851.4,20201202115051,3.63408,-86.81898498540001,33.5502433777,1.9875525,2.086930125,1.2725258596280566,2.095248822338736,3.63408,4.6672400000000005,-1.0,0.582121,4.0968300000000015,8563661,4.4712337157704996,0.578719,10.654800328245807,5.890925032652025,0.7480000000000003,12.174882659603467,15.183785085123652,6,1,1.6465275,0.570409999999999
Spire_1606909850.4,1606909850.4,1606909852.4,20201202115052,3.63317,-86.8190002441,33.5502700806,1.99054,2.0900670000000003,4.56126001035085,7.497422200340518,3.63317,4.74906,-1.0,0.576515,4.09389,8563661,8.541108206537551,0.586242,10.834594386359123,5.8769918887401795,0.7666666666666669,12.325886141663105,15.183785085123652,6,1,1.6426299999999998,0.65517
Spire_1606909850.4,1606909850.4,1606909853.4,20201202115053,3.63411,-86.81901550290002,33.5503158569,1.99054,2.0900670000000003,9.844112238484948,16.180159636934878,3.63411,4.73975,-1.0,0.5447069999999999,4.05941,8563661,11.985892673115965,0.582121,11.024036442089903,5.966857841736803,0.7783333333333335,12.535261145266269,15.183785085123652,6,1,1.6435700000000002,0.6803400000000002
Spire_1606909850.4,1606909850.4,1606909854.5,20201202115054,3.61968,-86.81903839110001,33.550373077399996,1.97859,2.0775195,16.55096648286323,27.18671106884163,3.61968,4.63357,-1.0,0.542127,4.05941,8563661,14.626449097508127,0.576515,11.203875231848778,6.07079282659097,0.8026666666666669,12.742893931686904,15.183785085123652,6,1,1.6410899999999997,0.57416
