Time Stamp,Inlet Number,P (mbars),T (degC),CH4 (ppm),H2O (ppm),C2H6 (ppb),R,C2/C1,Battery Charge (V),Power Input (mV),Current (mA),SOC (%),Latitude,Longitude,U (m/sec),V (m/sec),W (m/sec),T (degC),Dir (deg),Speed (m/sec),Compass (deg)
12/01/2020 14:41:19.481,0,240.068,-14.6188,1.60547,4938.38,5.50481,0,-1,12423,12790,60,93,33.5560951233,-86.8195800781,02.87 ,00.49 ,00.09 ,07.4 ,010 ,02.92 ,204
12/01/2020 14:41:20.505,0,239.983,-30.5342,1.49258,5061.6,4.46603,0,-1,12413,12677,48,93,33.5560951233,-86.8195800781,02.80 ,01.48 ,-00.06 ,07.3 ,028 ,03.17 ,204
12/01/2020 14:41:21.529,0,240.039,-14.9750,1.60305,4937.06,5.53727,0,-1,12436,12740,57,93,33.5560951233,-86.8195800781,03.48 ,01.26 ,00.02 ,06.9 ,020 ,03.70 ,204
12/01/2020 14:41:22.553,0,239.962,-16.0905,1.5944,4945.74,5.02655,0,-1,12415,12756,59,93,33.5560951233,-86.8195800781,02.93 ,01.92 ,00.02 ,07.1 ,033 ,03.50 ,203
12/01/2020 14:41:23.577,0,239.989,-14.4114,1.60807,4931.18,5.17997,0,-1,12419,12670,59,93,33.5560951233,-86.8195800781,02.98 ,01.47 ,-00.05 ,06.8 ,026 ,03.32 ,204
12/01/2020 14:41:24.601,0,240.037,-13.7862,1.613,4925.04,5.11711,0,-1,12434,12784,60,93,33.5560951233,-86.8195800781,02.72 ,00.85 ,00.43 ,07.4 ,017 ,02.88 ,204
12/01/2020 14:41:25.625,0,239.946,-14.2000,1.60969,4921.96,4.74348,0,-1,12412,12731,52,93,33.5560951233,-86.8195800781,03.53 ,01.99 ,-00.11 ,06.5 ,029 ,04.06 ,203
12/01/2020 14:41:26.649,0,239.985,-14.3075,1.60926,4917.69,5.33019,0,-1,12424,12693,56,93,33.5560951233,-86.8195800781,03.12 ,01.36 ,-00.27 ,06.9 ,024 ,03.41 ,204
12/01/2020 14:41:27.673,0,239.967,-16.8985,1.58934,4930.9,5.06304,0,-1,12432,12777,62,93,33.5560951233,-86.8195800781,02.63 ,01.18 ,-00.35 ,07.4 ,024 ,02.90 ,204
12/01/2020 14:41:28.697,0,239.921,-15.3652,1.60027,4912.08,5.29521,0.694412,-1,12407,12683,54,93,33.5560951233,-86.8195800781,02.32 ,01.02 ,00.25 ,07.4 ,024 ,02.54 ,204
