,LeakName,Longitude,Latitude,Verified,TimesSeen,maxDist,mn_maxc2h6_ab,mn_maxch4_ab,threshold,First_Time,geometry,win,POLYGON,LEAKNUM,PolyLK
0,Spire_1606822228.4,-86.82329362633955,33.559501450949874,True,4,0.7995491028219561,6.463592500000002,0.5257320833333332,0.05,2020-12-01 04:30:28,POINT (-86.82329362633955 33.55950145094987),True,P3,1,P31
1,Spire_1606822392.6,-86.8281579657061,33.55595127514617,True,3,14.364255716049815,1.8678425,1.4770790000000005,0.05,2020-12-01 04:33:12,POINT (-86.8281579657061 33.55595127514617),True,P3,2,P32
2,Spire_1606822412.1,-86.8290874111047,33.55501275714662,True,7,13.62315785418916,1.5201591666666665,1.294317,0.05,2020-12-01 04:33:32,POINT (-86.82908741110469 33.55501275714662),True,P3,3,P33
3,Spire_1606822433.6,-86.8301641902191,33.554816434611865,True,3,17.13406576151666,2.1503400000000004,1.7714474999999998,0.05,2020-12-01 04:33:53,POINT (-86.83016419021909 33.55481643461187),True,P3,4,P34
4,Spire_1606822621.5,-86.82058960959009,33.55852956429316,True,2,29.474565588875432,3.3947900000000013,0.9459175,0.05,2020-12-01 04:37:01,POINT (-86.82058960959009 33.55852956429316),True,P3,5,P35
5,Spire_1606822734.1,-86.81693630468834,33.552103289218664,True,7,17.03584504604477,43.86884833333333,4.008407777777778,0.05,2020-12-01 04:38:54,POINT (-86.81693630468834 33.55210328921866),True,P3,6,P36
6,Spire_1606822749.5,-86.81623328585684,33.551199304085735,True,3,13.554497406351812,2.7076799999999994,0.9075908333333332,0.05,2020-12-01 04:39:09,POINT (-86.81623328585684 33.55119930408573),True,P3,7,P37
7,Spire_1606823590.5,-86.82108198782349,33.55196567836071,True,3,11.271048986738439,5.041111666666668,0.6481858333333331,0.05,2020-12-01 04:53:10,POINT (-86.82108198782349 33.55196567836071),True,P3,8,P38
8,Spire_1606823609.9,-86.81984922052631,33.55197874558485,True,7,22.589676563404552,10.782276519230768,1.4732065384615385,0.05,2020-12-01 04:53:29,POINT (-86.81984922052631 33.55197874558485),True,P3,9,P39
9,Spire_1606823632.5,-86.81836027811266,33.55294735607795,True,2,25.708372658695094,3.0021325,1.5172945833333331,0.05,2020-12-01 04:53:52,POINT (-86.81836027811266 33.55294735607795),True,P3,10,P310
10,Spire_1606823927.8,-86.81918395763533,33.55058511761209,True,7,11.581272079335193,2.1067149999999994,0.6610375000000006,0.05,2020-12-01 04:58:47,POINT (-86.81918395763533 33.55058511761209),True,P3,11,P311
11,Spire_1606823996.8,-86.82702636719999,33.549118041999996,False,1,0.0,1.853002500000004,0.1855550000000004,0.05,2020-12-01 04:59:56,POINT (-86.82702636719999 33.549118042),True,P3,12,P312
12,Spire_1606824006.6,-86.82784557711956,33.54841922260829,True,5,15.235628929942047,3.0227665714285714,0.5863885714285715,0.05,2020-12-01 05:00:06,POINT (-86.82784557711956 33.54841922260829),True,P3,13,P313
13,Spire_1606824181.3,-86.81889569427204,33.54998983202114,True,7,14.047467312830314,20.00667139285715,1.0021799999999996,0.05,2020-12-01 05:03:01,POINT (-86.81889569427204 33.54998983202114),True,P3,14,P314
14,Spire_1606824190.5,-86.81888612698704,33.551478855906964,False,1,15.027479615511885,2.40691,1.7481299999999995,0.05,2020-12-01 05:03:10,POINT (-86.81888612698704 33.55147885590696),True,P3,15,P315
15,Spire_1606824202.8,-86.8181029678063,33.551707625702186,False,1,20.92714740595911,3.6047949999999993,1.7584099999999998,0.05,2020-12-01 05:03:22,POINT (-86.8181029678063 33.55170762570219),True,P3,16,P316
16,Spire_1606824426.9,-86.82038883544945,33.54998395755014,False,1,3.1000026045334668,2.3443875,1.7493,0.05,2020-12-01 05:07:06,POINT (-86.82038883544945 33.54998395755014),True,P3,17,P317
17,Spire_1606824702.8,-86.82655103157337,33.54821511421841,True,2,14.715077117145247,4.821087499999999,0.7944156250000005,0.05,2020-12-01 05:11:42,POINT (-86.82655103157337 33.54821511421841),True,P3,18,P318
18,Spire_1606824973.5,-86.82839148916166,33.549830211484675,True,3,10.906366887587463,2.73970625,0.6176118750000003,0.05,2020-12-01 05:16:13,POINT (-86.82839148916166 33.54983021148468),True,P3,19,P319
19,Spire_1606825214.4,-86.81579668853514,33.5544437914529,True,3,22.191838313535165,3.778978333333333,1.2457858333333334,0.05,2020-12-01 05:20:14,POINT (-86.81579668853514 33.5544437914529),True,P3,20,P320
20,Spire_1606826170.6,-86.82172705419313,33.55510404582109,False,1,22.26869894494585,2.6099299999999994,1.696665,0.05,2020-12-01 05:36:10,POINT (-86.82172705419313 33.55510404582109),True,P3,21,P321
