,LeakName,Longitude,Latitude,Verified,TimesSeen,maxDist,mn_maxc2h6_ab,mn_maxch4_ab,threshold,First_Time,geometry,win,POLYGON,LEAKNUM,PolyLK
0,Spire_1606822229.5,-86.82316662917894,33.55959214932405,False,1,1.6966900275330858,16.127737500000002,0.2381674999999999,0.05,2020-12-01 04:30:29,POINT (-86.82316662917894 33.55959214932405),True,P3,1,P3L1
1,Spire_1606822360.8,-86.82600831661692,33.555581809005524,True,8,24.669174254733036,7.020767944444443,1.1346225,0.05,2020-12-01 04:32:40,POINT (-86.82600831661692 33.55558180900552),True,P3,2,P3L2
2,Spire_1606822379.3,-86.82714607677342,33.55570824886036,False,1,6.583829231595362,0.993885,1.7170324999999995,0.05,2020-12-01 04:32:59,POINT (-86.82714607677342 33.55570824886036),True,P3,3,P3L3
3,Spire_1606822393.6,-86.82811130328098,33.555860654441084,True,2,14.364255716049815,1.8873443750000003,1.5231543750000005,0.05,2020-12-01 04:33:13,POINT (-86.82811130328098 33.55586065444108),True,P3,4,P3L4
4,Spire_1606822413.1,-86.82919242132525,33.55501404938521,True,5,16.118726543712256,2.653488333333333,1.488106666666667,0.05,2020-12-01 04:33:33,POINT (-86.82919242132525 33.55501404938521),True,P3,5,P3L5
5,Spire_1606822434.6,-86.83017121308792,33.554812352028605,True,3,17.807704146406017,2.1503400000000004,1.761575,0.05,2020-12-01 04:33:54,POINT (-86.83017121308792 33.55481235202861),True,P3,6,P3L6
6,Spire_1606822622.5,-86.82055205619909,33.55865854461938,True,2,30.835495825648163,3.8223775000000013,0.94591,0.05,2020-12-01 04:37:02,POINT (-86.82055205619909 33.55865854461938),True,P3,7,P3L7
7,Spire_1606822735.1,-86.81693342723928,33.55210678761505,True,7,17.03584504604477,44.010777222222224,4.00840888888889,0.05,2020-12-01 04:38:55,POINT (-86.81693342723928 33.55210678761505),True,P3,8,P3L8
8,Spire_1606822750.5,-86.8162993461128,33.55117147194617,True,3,11.270487346900909,2.7286550000000003,0.9075908333333332,0.05,2020-12-01 04:39:10,POINT (-86.8162993461128 33.55117147194617),True,P3,9,P3L9
9,Spire_1606823591.5,-86.82100613433144,33.552014876081444,True,2,23.351840535541115,8.5082675,0.8714987499999998,0.05,2020-12-01 04:53:11,POINT (-86.82100613433144 33.55201487608144),True,P3,10,P3L10
10,Spire_1606823611.1,-86.81977680725448,33.55228491226172,True,6,22.589676563404552,10.242702225,1.3899062499999997,0.05,2020-12-01 04:53:31,POINT (-86.81977680725448 33.55228491226172),True,P3,11,P3L11
11,Spire_1606823634.5,-86.81816080665588,33.55276106539692,False,1,12.610652818370232,1.628918333333333,1.6939633333333328,0.05,2020-12-01 04:53:54,POINT (-86.81816080665588 33.55276106539692),True,P3,12,P3L12
12,Spire_1606823928.8,-86.82078618355696,33.55097306377419,False,1,14.886355313987035,26.48521250000001,1.0511974999999998,0.05,2020-12-01 04:58:48,POINT (-86.82078618355696 33.55097306377419),True,P3,13,P3L13
13,Spire_1606824174.2,-86.82008064484867,33.551134078163244,False,1,2.2831695181722327,15.59697,2.82648,0.05,2020-12-01 05:02:54,POINT (-86.82008064484867 33.55113407816324),True,P3,14,P3L14
14,Spire_1606824191.6,-86.81877168535925,33.5515127097084,False,1,14.220270923483145,2.40691,1.7481299999999995,0.05,2020-12-01 05:03:11,POINT (-86.81877168535925 33.5515127097084),True,P3,15,P3L15
15,Spire_1606824203.8,-86.81808344583004,33.551713014854066,False,1,20.92714740595911,3.6047949999999993,1.7584099999999998,0.05,2020-12-01 05:03:23,POINT (-86.81808344583004 33.55171301485407),True,P3,16,P3L16
16,Spire_1606824427.9,-86.82040029524288,33.549980163600004,False,1,0.8081239434539067,2.8145300000000018,1.7164649999999997,0.05,2020-12-01 05:07:07,POINT (-86.82040029524288 33.5499801636),True,P3,17,P3L17
17,Spire_1606824703.9,-86.82641898217442,33.548305128129,True,2,14.082472866545446,4.821087499999999,0.45016812500000014,0.05,2020-12-01 05:11:43,POINT (-86.82641898217442 33.548305128129),True,P3,18,P3L18
18,Spire_1606824974.5,-86.82834815841034,33.54981818479625,True,2,15.999421420401024,2.1879874999999998,0.3107537500000004,0.05,2020-12-01 05:16:14,POINT (-86.82834815841034 33.54981818479625),True,P3,19,P3L19
