OP_NUM,OP_EPOCHSTART,OB_EPOCH,OB_DATETIME,OB_CH4,OB_LON,OB_LAT,OB_CH4_BASELINE,OB_CH4_THRESHOLD,OP_PEAK_DIST_M,OP_PEAK_CH4,OB_TCH4,OB_C2H6,OB_C2C1,OB_R,OB_C2H6_BASELINE,OB_PERIOD5MIN,ODOMETER,OB_U_AVG,OB_V_AVG,OB_W_AVG,OB_R_AVG,OB_THETA_AVG,OP_DISTANCE,Frequency,minElevated,OB_CH4_AB,OB_C2H6_AB
Spire_1606908885.5,1606908885.5,1606908885.5,20201202113445,3.8948,-86.82284545899998,33.5605125427,3.6585125,3.841438125,0.0,0.0,3.8948,6.8345699999999985,0.00941414,0.8626520000000001,4.2087650000000005,8563629,27.156399064564162,0.8626520000000001,13.714742547601436,20.92422774556481,1.325333333333333,25.01834266883507,0.43812986197666604,2,2,0.23628749999999998,2.625804999999998
Spire_1606908885.5,1606908885.5,1606908886.6,20201202113446,3.87514,-86.82286071780001,33.5606384277,3.655385,3.83815425,14.068996778663635,3.0917323870952296,3.87514,6.33769,0.00912692,0.886177,4.16948,8563629,27.59452892654083,0.886177,13.639276222054212,21.016138215896824,1.3276666666666663,25.05409989145833,0.43812986197666604,2,2,0.21975500000000014,2.16821
Spire_1606908921.4,1606908921.4,1606908921.4,20201202113521,3.8032,-86.8238601685,33.563304901100004,3.599845,3.77983725,0.0,0.0,3.8032,4.32505,0.0008035280000000001,0.816241,3.575135,8563630,14.157512179870553,0.816241,11.37341278036134,7.737167876332278,0.7783333333333332,13.755663743310786,0.565518772433526,2,2,0.20335499999999973,0.7499150000000001
Spire_1606908921.4,1606908921.4,1606908922.4,20201202113522,3.804780000000001,-86.82386779790001,33.5633659363,3.599445,3.77941725,6.8235209036442726,1.4011076647497984,3.804780000000001,4.97586,0.0008165,0.810805,3.5651625,8563630,13.591993407437027,0.810805,10.868668941575935,7.570787658702849,0.7523333333333333,13.245557381052134,0.565518772433526,2,2,0.20533500000000116,1.4106975
Spire_1606909116.3,1606909116.3,1606909116.3,20201202113836,3.77923,-86.82104492190003,33.560955047600004,3.5942199999999995,3.7739309999999997,0.0,0.0,3.77923,5.39815,0.00103715,0.747467,3.8372349999999997,8563637,6.823522926441791,0.747467,-9.44857845530992,4.792569149419001,0.4316666666666667,10.59454358989143,10.87493872859074,6,2,0.18501000000000056,1.5609150000000005
Spire_1606909116.3,1606909116.3,1606909117.3,20201202113837,3.7774,-86.8210601807,33.5609207153,3.5939000000000005,3.7735950000000007,4.070981905484103,0.7470251796563313,3.7774,5.68266,0.00107295,0.751726,3.8282075,8563637,9.865975361413783,0.751726,-9.551472349176027,4.451573286748523,0.4346666666666667,10.537890147670323,10.87493872859074,6,2,0.18349999999999955,1.8544525000000003
Spire_1606909116.3,1606909116.3,1606909118.3,20201202113838,3.775630000000001,-86.8210906982,33.560874939,3.59358,3.773259,9.893779791273689,1.8070655347643267,3.775630000000001,5.0801,0.00108729,0.75748,3.81918,8563637,12.810383731760462,0.75748,-9.432049111347412,4.055147992515357,0.4333333333333334,10.266828900886136,10.87493872859074,6,2,0.1820500000000007,1.26092
Spire_1606909116.3,1606909116.3,1606909119.3,20201202113839,3.7741,-86.821144104,33.5608291626,3.5934200000000005,3.773091,16.992856605327926,3.0897267335276415,3.7741,5.48378,0.00111306,0.764969,3.795415,8563637,14.505307018857335,0.764969,-9.187998915298751,3.726043323450196,0.4430000000000001,9.914772963399557,10.87493872859074,6,2,0.18067999999999929,1.6883650000000001
Spire_1606909116.3,1606909116.3,1606909120.4,20201202113840,3.77877,-86.8211975098,33.5607795715,3.5942199999999995,3.7739309999999997,24.401975007620443,4.457079534670724,3.77877,5.36814,0.00111063,0.713709,3.77165,8563637,16.096607830392742,0.713709,-8.914234864182053,3.261798720216931,0.4570000000000001,9.492255480390718,10.87493872859074,6,2,0.18455000000000066,1.5964900000000002
Spire_1606909116.3,1606909116.3,1606909121.4,20201202113841,3.7795,-86.8212661743,33.5607261658,3.595045,3.77479725,33.105124449072626,6.062418964893791,3.7795,5.15003,0.00112471,0.733913,3.7478849999999997,8563637,17.69846165503253,0.733913,-8.510447561576742,2.703164623536352,0.4673333333333334,8.929435406580078,10.87493872859074,6,2,0.18445500000000026,1.4021450000000004
Spire_1606909405.5,1606909405.5,1606909405.5,20201202114325,3.83974,-86.82356262209998,33.5577697754,3.64599,3.8282895,0.0,0.0,3.83974,5.77102,0.000946899,0.828883,3.44141,8563646,3.5601348372926336,0.828883,1.9375781106469931,-3.5925751760466484,0.3726666666666668,4.081764977360281,4.68430217462989,5,2,0.1937500000000001,2.32961
Spire_1606909405.5,1606909405.5,1606909406.6,20201202114326,3.86194,-86.82353973389999,33.5577697754,3.64599,3.8282895,2.1208651375567875,0.4580008264553879,3.86194,5.458069999999998,0.000985553,0.8365969999999999,3.4595800000000003,8563646,3.5601348346777826,0.8365969999999999,1.7846583000558245,-3.3644239269051837,0.3813333333333334,3.8084581667507194,4.68430217462989,5,2,0.2159500000000003,1.998489999999998
Spire_1606909405.5,1606909405.5,1606909407.6,20201202114327,3.8657,-86.8235244751,33.557773590100005,3.64599,3.8282895,3.597031230006812,0.7823292786275824,3.8657,5.24941,0.00101425,0.848232,3.46349,8563646,4.742403251390955,0.848232,1.6468206371165732,-2.9809514319173163,0.3783333333333335,3.40559681264282,4.68430217462989,5,2,0.21971000000000007,1.78592
Spire_1606909405.5,1606909405.5,1606909408.6,20201202114328,3.85681,-86.8234939575,33.557788848899996,3.64515,3.8274074999999996,6.8948122492422055,1.480337609158945,3.85681,5.19744,0.00102667,0.8494229999999999,3.47304,8563646,6.823499909520551,0.8494229999999999,1.6119386428534594,-2.402065287530016,0.3926666666666668,2.892795159336538,4.68430217462989,5,2,0.21165999999999974,1.7244000000000002
Spire_1606909405.5,1606909405.5,1606909409.6,20201202114329,3.8452,-86.8234634399,33.557807922399995,3.64515,3.8274074999999996,10.429593507998117,2.187470599973065,3.8452,5.03221,0.00104338,0.8583790000000001,3.48631,8563646,8.244437009307672,0.8583790000000001,1.3527896608043926,-1.7309490679054498,0.4013333333333336,2.196866983242729,4.68430217462989,5,2,0.20005000000000006,1.5459
Spire_1606909650.7,1606909650.7,1606909650.7,20201202114730,4.02156,-86.82146453860001,33.5560379028,3.6034725,3.783646125,0.0,0.0,4.02156,6.50297,-1.0,0.565125,3.400295,8563655,20.75332737521173,0.565125,-10.392464466046489,-7.374815202096388,0.5340000000000003,12.743281247116494,16.046899272707844,5,2,0.41808749999999995,3.1026750000000005
Spire_1606909650.7,1606909650.7,1606909651.7,20201202114731,4.07826,-86.8214263916,33.5559463501,3.605225,3.78548625,10.776434287159201,5.0976305930263575,4.07826,6.8483800000000015,-1.0,0.55986,3.4220050000000004,8563655,22.589540449843067,0.55986,-10.644581705778565,-7.461159755140216,0.5416666666666669,12.999077835858962,16.046899272707844,5,2,0.4730350000000003,3.426375000000001
Spire_1606909650.7,1606909650.7,1606909652.7,20201202114732,3.93631,-86.8213806152,33.555847168,3.605225,3.78548625,22.59260499868405,9.009787473051556,3.93631,5.60659,-1.0,0.573499,3.39889,8563655,24.028734081272233,0.573499,-10.879110090504927,-7.543318233994558,0.5533333333333335,13.238454832065596,16.046899272707844,5,2,0.3310850000000003,2.2076999999999996
Spire_1606909650.7,1606909650.7,1606909653.8,20201202114733,3.87962,-86.8213348389,33.5557441711,3.608260000000001,3.7886730000000006,34.805635202082854,12.32391534904585,3.87962,5.8467,-1.0,0.575222,3.39889,8563655,36.80022664791957,0.575222,-11.113930923665727,-7.630418773017514,0.5666666666666668,13.481199917946155,16.046899272707844,5,2,0.27135999999999916,2.44781
Spire_1606909650.7,1606909650.7,1606909654.8,20201202114734,3.85807,-86.82125091549999,33.5555343628,3.6111,3.7916550000000004,59.397262268996705,18.397309485761554,3.85807,6.25044,-1.0,0.5726359999999999,3.4220050000000004,8563655,24.59162706691385,0.5726359999999999,-11.30508518241782,-7.704126721415178,0.5776666666666669,13.680589151105531,16.046899272707844,5,2,0.24697000000000013,2.828435
Spire_1606909753.1,1606909753.1,1606909753.1,20201202114913,3.8099,-86.81879425049999,33.5496673584,3.626935,3.80828175,0.0,0.0,3.8099,5.475,0.000782284,0.768393,3.68937,8563658,14.44773161316014,0.768393,-5.304911639223623,-4.308688071716369,0.4290000000000006,6.834243220673463,8.540483486798317,8,2,0.18296499999999982,1.7856299999999998
Spire_1606909753.1,1606909753.1,1606909754.1,20201202114914,3.830880000000001,-86.81876373290001,33.5496025085,3.626935,3.80828175,7.74572810440255,1.5797025182523856,3.830880000000001,7.40648,-1.0,0.698104,3.68937,8563658,16.284175050557927,0.698104,-5.379703140597496,-4.321482313701936,0.4526666666666673,6.900464858876768,8.540483486798317,8,2,0.20394500000000093,3.7171100000000004
Spire_1606909753.1,1606909753.1,1606909755.1,20201202114915,3.86643,-86.8187332153,33.5495300293,3.626935,3.80828175,16.286847110691667,3.625257814663605,3.86643,6.69682,-1.0,0.686484,3.68937,8563658,18.287834012104426,0.686484,-5.458532637709664,-4.363197597879322,0.4703333333333341,6.988066387426603,8.540483486798317,8,2,0.2394949999999998,3.00745
Spire_1606909753.1,1606909753.1,1606909756.2,20201202114916,4.17647,-86.8187026978,33.549446106,3.6274475,3.808819875,26.03781539701673,8.978758800642506,4.17647,9.3443,-1.0,0.654424,3.695835,8563658,20.120570223896717,0.654424,-5.581574570997347,-4.417714364985593,0.5063333333333341,7.118298596027302,8.540483486798317,8,2,0.5490225,5.648465
Spire_1606909753.1,1606909753.1,1606909757.2,20201202114917,4.34835,-86.8186645508,33.5493583679,3.626935,3.80828175,36.41457833442561,16.46471123513334,4.34835,10.5829,-1.0,0.648688,3.68937,8563658,20.753516642795333,0.648688,-5.879601652344395,-4.561229892956526,0.5176666666666674,7.44140670348363,8.540483486798317,8,2,0.7214149999999999,6.89353
Spire_1606909753.1,1606909753.1,1606909758.2,20201202114918,4.38724,-86.8186264038,33.5492706299,3.6274475,3.808819875,46.79133203981497,24.34889087483539,4.38724,11.0887,-1.0,0.6594140000000001,3.695835,8563658,21.553049110967684,0.6594140000000001,-6.190690726342452,-4.806450845682409,0.528333333333334,7.837513725741321,8.540483486798317,8,2,0.7597925000000001,7.392864999999999
Spire_1606909753.1,1606909753.1,1606909759.2,20201202114919,4.29194,-86.8185882568,33.5491752625,3.6274475,3.808819875,57.96942641103887,31.77665074880589,4.29194,9.90605,-1.0,0.660375,3.695835,8563658,21.954203137442732,0.660375,-6.593654400467926,-5.098095658693459,0.548333333333334,8.334678020055671,8.540483486798317,8,2,0.6644925000000002,6.210215
Spire_1606909753.1,1606909753.1,1606909762.3,20201202114922,3.8801,-86.8184890747,33.5489387512,3.6281800000000004,3.809589,85.82818569225545,38.79482938692997,3.8801,6.48798,-1.0,0.568569,3.730265,8563658,13.413719650644415,0.568569,-7.198763919473157,-5.405464706705786,0.537333333333334,9.002291411843453,8.540483486798317,8,2,0.2519199999999997,2.757715
Spire_1606909831.9,1606909831.9,1606909831.9,20201202115031,3.80754,-86.8186340332,33.5494842529,3.6206150000000004,3.80164575,0.0,0.0,3.80754,6.13954,0.00112933,0.8209420000000001,4.2372950000000005,8563661,21.55305377864303,0.8209420000000001,12.842881968741064,6.763945583653791,0.941333333333334,14.51518436402528,11.57406326794517,6,2,0.18692499999999956,1.9022449999999997
Spire_1606909831.9,1606909831.9,1606909833.3,20201202115033,3.93432,-86.81867218020002,33.5495758057,3.6210825,3.8021366250000006,10.776531527552727,3.3756137943617883,3.93432,7.33495,0.00121236,0.772046,4.2392175000000005,8563661,21.152802599847764,0.772046,13.336175286039634,7.2319072151620265,0.9426666666666672,15.170829022459085,11.57406326794517,6,2,0.31323750000000006,3.0957324999999996
Spire_1606909831.9,1606909831.9,1606909835.5,20201202115035,4.00462,-86.81874084469999,33.5497360229,3.6210825,3.8021366250000006,29.69415399669219,10.631231422119356,4.00462,7.13439,0.00106262,0.7296189999999999,4.2346575,8563661,15.247512854538607,0.7296189999999999,13.843426744095266,7.915463169125331,0.9560000000000004,15.946630402718675,11.57406326794517,6,2,0.3835375000000001,2.8997325
Spire_1606909831.9,1606909831.9,1606909837.9,20201202115037,3.91056,-86.8187866211,33.5498428345,3.6206150000000004,3.80164575,42.30591614561007,14.28794879838735,3.91056,7.02995,0.00101117,0.715406,4.23183,8563661,10.776516875162349,0.715406,13.84223055631298,8.420446549852908,0.9413333333333338,16.202199445539932,11.57406326794517,6,2,0.28994499999999945,2.79812
Spire_1606909831.9,1606909831.9,1606909838.1,20201202115038,3.87305,-86.8188018799,33.5498847961,3.6206150000000004,3.80164575,47.18139452845281,15.518690183960256,3.87305,5.25562,0.00100323,0.713396,4.23183,8563661,9.978990510697859,0.713396,13.750762782988055,8.464009056086049,0.9313333333333336,16.146916932204608,11.57406326794517,6,2,0.25243499999999974,1.02379
Spire_1606909831.9,1606909831.9,1606909839.1,20201202115039,3.82147,-86.8188247681,33.5499267578,3.6206150000000004,3.80164575,52.306799241466166,16.548153347592553,3.82147,5.76086,0.00101418,0.719305,4.25266,8563661,10.376755599701195,0.719305,13.704942576620574,8.45882144796251,0.9123333333333338,16.105188956264314,11.57406326794517,6,2,0.20085499999999978,1.5082000000000004
Spire_1606909853.4,1606909853.4,1606909853.4,20201202115053,3.63408,-86.81901550290002,33.5503158569,1.99054,2.0900670000000003,0.0,0.0,3.63408,4.73975,-1.0,0.582121,4.05941,8563661,11.985892673115965,0.582121,11.024036442089903,5.966857841736803,0.7783333333333335,12.535261145266269,8.134650628912665,5,2,1.64354,0.6803400000000002
Spire_1606909853.4,1606909853.4,1606909854.5,20201202115054,3.63317,-86.81903839110001,33.550373077399996,1.99054,2.0900670000000003,6.706854244378281,11.016879987443092,3.63317,4.63357,-1.0,0.576515,4.05941,8563661,14.626449097508127,0.576515,11.203875231848778,6.07079282659097,0.8026666666666669,12.742893931686904,8.134650628912665,5,2,1.6426299999999998,0.57416
Spire_1606909853.4,1606909853.4,1606909855.5,20201202115055,3.63411,-86.8190612793,33.5504417419,1.99054,2.0900670000000003,14.631137191449886,24.04099371076156,3.63411,3.56049,-1.0,0.5447069999999999,4.05941,8563661,16.45631094475171,0.5447069999999999,11.390065427335248,6.173168295854222,0.8063333333333335,12.955369436952289,8.134650628912665,5,2,1.6435700000000002,-0.4989199999999996
Spire_1606909853.4,1606909853.4,1606909856.5,20201202115056,3.61968,-86.81909179690003,33.5505142212,1.97859,2.0775195,23.172256808264127,38.05773970271925,3.61968,5.34059,-1.0,0.542127,4.02896,8563661,18.518701028600816,0.542127,11.524542802170489,6.289660582910545,0.8013333333333335,13.129162846399549,8.134650628912665,5,2,1.6410899999999997,1.31163
Spire_1606909853.4,1606909853.4,1606909857.5,20201202115057,3.61696,-86.8191299438,33.5505981445,1.97819,2.0770995,33.15123430425631,54.41098865382635,3.61696,4.09781,-1.0,0.527896,4.01559,8563661,20.12054330202863,0.527896,11.513277785021137,6.433352622303598,0.785,13.188767619378307,8.134650628912665,5,2,1.6387700000000003,0.08221999999999952
Spire_1606909865.7,1606909865.7,1606909865.7,20201202115105,3.61724,-86.8194046021,33.55128479,1.96426,2.062473,0.0,0.0,3.61724,4.60787,0.00101502,0.815841,3.56049,8563662,20.927057014748613,0.815841,11.234229517264056,5.8689993474543725,0.805666666666667,12.674899060228718,21.149661634379278,10,2,1.65298,1.04738
Spire_1606909865.7,1606909865.7,1606909866.7,20201202115106,3.61338,-86.8194503784,33.5514030457,1.9625,2.060625,13.81674656392552,22.80979056745337,3.61338,4.59403,0.00109687,0.846468,3.51738,8563662,13.81674656392552,0.846468,11.40758431299578,5.934350236094457,0.8160000000000004,12.858829362844105,21.149661634379278,10,2,1.65088,1.0766499999999999
Spire_1606909865.7,1606909865.7,1606909867.8,20201202115107,3.60987,-86.8194503784,33.5514030457,1.94607,2.0433735,13.81674656392552,22.80979056745337,3.60987,4.43617,0.00102,0.8854,3.4662,8563662,7.745696235228423,0.8854,11.44877446171088,6.045478318159318,0.8093333333333337,12.946900971678808,21.149661634379278,10,2,1.6638,0.9699699999999996
Spire_1606909865.7,1606909865.7,1606909868.8,20201202115108,3.61433,-86.819480896,33.551467895500004,1.9441375,2.041344375,21.562442799153942,35.746594326810104,3.61433,4.9408400000000015,0.00101433,0.883484,3.4186349999999996,8563662,15.887049097942825,0.883484,11.557536085778755,6.235920916587317,0.8256666666666671,13.132530222771594,21.149661634379278,10,2,1.6701924999999997,1.5222050000000018
Spire_1606909865.7,1606909865.7,1606909869.8,20201202115109,3.61057,-86.81951141360001,33.551536560100004,1.9441375,2.041344375,29.704513896751532,49.3148062211574,3.61057,4.28485,0.000976079,0.8891680000000001,3.4186349999999996,8563662,17.08220571261884,0.8891680000000001,11.529385110427187,6.374835253097747,0.8276666666666672,13.174416325920394,21.149661634379278,10,2,1.6664325,0.866215
Spire_1606909865.7,1606909865.7,1606909870.8,20201202115110,3.60898,-86.8195419312,33.551612854,1.9583925,2.056312125,38.64696293859196,64.07510082900619,3.60898,4.35513,0.000950492,0.8908379999999999,3.5045850000000005,8563662,27.858657607182163,0.8908379999999999,11.70059778944952,6.584525284756428,0.8380000000000005,13.426092575878796,21.149661634379278,10,2,1.6505874999999999,0.8505449999999994
Spire_1606909865.7,1606909865.7,1606909871.9,20201202115111,3.62155,-86.8196105957,33.5517730713,1.9542849999999998,2.05199925,57.56454541749939,95.61572398070179,3.62155,4.24845,0.000920807,0.894265,3.49179,8563662,28.8953578696077,0.894265,11.955265706707618,6.63663797325057,0.8360000000000005,13.673819572671373,21.149661634379278,10,2,1.6672650000000002,0.7566600000000001
Spire_1606909865.7,1606909865.7,1606909872.9,20201202115112,3.64877,-86.81964874270002,33.5518569946,1.9583925,2.056312125,67.54350795075965,112.48393772026793,3.64877,4.36179,0.000907787,0.893066,3.5045850000000005,8563662,19.71856780022393,0.893066,12.025557754838145,6.849605507055613,0.8476666666666672,13.839477407663715,21.149661634379278,10,2,1.6903774999999999,0.8572049999999996
Spire_1606909865.7,1606909865.7,1606909873.9,20201202115113,3.65894,-86.8196792603,33.551940918,1.9583925,2.056312125,77.29446667832731,129.0659062070363,3.65894,5.5030199999999985,0.000930514,0.869024,3.5045850000000005,8563662,19.317564132954182,0.869024,12.158706663783365,7.087943775119673,0.8470000000000006,14.07384434670171,21.149661634379278,10,2,1.7005474999999999,1.998434999999998
Spire_1606909865.7,1606909865.7,1606909874.9,20201202115114,3.67068,-86.81971740719999,33.552021026599995,1.9583925,2.056312125,86.87793307321917,145.4755559216797,3.67068,6.50546,0.00098672,0.8191579999999999,3.5045850000000005,8563662,9.583466394891856,0.8191579999999999,12.346703270344243,7.350099601795543,0.8476666666666672,14.368891599641366,21.149661634379278,10,2,1.7122875,3.0008749999999997
Spire_1606909880.1,1606909880.1,1606909880.1,20201202115120,3.71388,-86.81980896,33.5522422791,1.9441375,2.041344375,0.0,0.0,3.71388,4.84862,0.000757222,0.706074,3.4186349999999996,8563662,1.4557374526731508,0.706074,13.170670640622234,7.745914865869473,0.8783333333333342,15.279586454909253,20.120489902405378,14,2,1.7697425,1.4299850000000007
Spire_1606909880.1,1606909880.1,1606909881.1,20201202115121,3.67424,-86.81980896,33.5522422791,1.9441375,2.041344375,0.0,0.0,3.67424,4.6191900000000015,0.000762175,0.709697,3.4186349999999996,8563662,0.0,0.709697,13.111161229869053,7.622772210165228,0.8680000000000005,15.166054363732467,20.120489902405378,14,2,1.7301025,1.2005550000000018
Spire_1606909880.1,1606909880.1,1606909882.1,20201202115122,3.64646,-86.81980896,33.5522422791,1.9441375,2.041344375,0.0,0.0,3.64646,4.256869999999998,0.00074977,0.701062,3.4186349999999996,8563662,0.0,0.701062,12.89808338243173,7.474276746902848,0.8643333333333342,14.90722535649925,20.120489902405378,14,2,1.7023224999999997,0.8382349999999987
Spire_1606909880.1,1606909880.1,1606909883.1,20201202115123,3.63404,-86.81980896,33.5522422791,1.9441375,2.041344375,0.0,0.0,3.63404,4.01559,-1.0,0.684664,3.4186349999999996,8563662,0.0,0.684664,12.738312147959109,7.415420701251464,0.8440000000000006,14.739506794848712,20.120489902405378,14,2,1.6899025,0.5969550000000008
Spire_1606909880.1,1606909880.1,1606909884.2,20201202115124,3.6244,-86.81980896,33.5522422791,1.94607,2.0433735,0.0,0.0,3.6244,4.21521,-1.0,0.674674,3.4662,8563662,0.8483394539209899,0.674674,12.632389175757055,7.269314641371776,0.8236666666666673,14.5746420759841,20.120489902405378,14,2,1.67833,0.7490099999999997
Spire_1606909880.1,1606909880.1,1606909885.2,20201202115125,3.62569,-86.81980896,33.5522499084,1.9583925,2.056312125,0.8483394539209899,1.414434250673832,3.62569,4.3517,-1.0,0.669482,3.4186349999999996,8563662,3.0522274213359246,0.669482,12.312038087982588,7.1175526498717225,0.8000000000000006,14.221316310511837,20.120489902405378,14,2,1.6672975,0.9330650000000005
Spire_1606909880.1,1606909880.1,1606909886.2,20201202115126,3.62848,-86.8198165894,33.5522689819,1.9625,2.060625,3.0839525796467018,5.138921005870354,3.62848,3.4662,-1.0,0.665455,3.4662,8563662,5.282854268338793,0.665455,12.00029607969134,6.978400536038537,0.7933333333333342,13.881829131697247,20.120489902405378,14,2,1.6659800000000002,0.0
Spire_1606909880.1,1606909880.1,1606909887.2,20201202115127,3.63202,-86.8198242188,33.5522956848,1.9625,2.060625,6.136190767329878,10.234693704971168,3.63202,3.84996,-1.0,0.643065,3.4662,8563662,8.142058770458442,0.643065,11.680917443972433,6.755467078513452,0.7870000000000007,13.493708451785169,20.120489902405378,14,2,1.66952,0.38375999999999966
Spire_1606909880.1,1606909880.1,1606909888.2,20201202115128,3.62735,-86.8198471069,33.5523376465,1.96426,2.062473,11.26156715231872,18.758655917082265,3.62735,4.4689,-1.0,0.651593,3.4662,8563662,10.776480248225136,0.651593,11.488155838537756,6.5758356824483535,0.7930000000000007,13.237044212855455,20.120489902405378,14,2,1.66309,1.0026999999999995
Spire_1606909880.1,1606909880.1,1606909890.3,20201202115130,3.63994,-86.8198852539,33.5524406433,1.96382,2.062011,23.247434875071498,38.84840852454265,3.63994,4.18018,-1.0,0.628378,3.4186349999999996,8563662,13.65374353303792,0.628378,11.224703484630863,6.52651194636209,0.7570000000000007,12.984195258231884,20.120489902405378,14,2,1.6761200000000003,0.7615450000000004
Spire_1606909880.1,1606909880.1,1606909891.3,20201202115131,3.64518,-86.81991577149998,33.5525016785,1.96382,2.062011,30.599867434149385,51.21049453207385,3.64518,4.4439,-1.0,0.602859,3.4186349999999996,8563662,15.491377245054471,0.602859,11.107501329913894,6.47406031786424,0.7486666666666673,12.856517521995736,20.120489902405378,14,2,1.68136,1.0252650000000005
Spire_1606909880.1,1606909880.1,1606909894.4,20201202115134,3.63906,-86.8200073242,33.5527267456,1.9676799999999999,2.066064,57.025124542405685,95.37714075767124,3.63906,5.1647300000000005,-1.0,0.590071,3.5045850000000005,8563662,18.91754951537001,0.590071,11.469313330908475,6.630327329918712,0.8076666666666673,13.247882426426568,20.120489902405378,14,2,1.6713800000000003,1.660145
Spire_1606909880.1,1606909880.1,1606909895.4,20201202115135,3.64439,-86.8200454712,33.5528068542,1.9676799999999999,2.066064,66.60858249622629,111.4458205434218,3.64439,4.25972,-1.0,0.538283,3.5045850000000005,8563662,19.718545133625867,0.538283,11.622871163550046,6.702169481554673,0.8310000000000006,13.416788358022421,20.120489902405378,14,2,1.6767100000000001,0.7551349999999992
Spire_1606909880.1,1606909880.1,1606909896.4,20201202115136,3.65427,-86.82007598879999,33.5528945923,1.9676799999999999,2.066064,76.76622150386719,128.57759291731884,3.65427,4.56404,-1.0,0.537667,3.5045850000000005,8563662,20.120489902405378,0.537667,11.719179369470801,6.707235586164017,0.8270000000000005,13.50282097571226,20.120489902405378,14,2,1.68659,1.0594549999999998
Spire_1606909903.6,1606909903.6,1606909903.6,20201202115143,3.65605,-86.82021331790001,33.5532341003,1.96882,2.067261,0.0,0.0,3.65605,4.82466,-1.0,0.666308,3.51738,8563663,1.696701146434105,0.666308,9.6750182758874,5.280994784465227,0.7023333333333339,11.022471798662226,19.455980445700266,8,2,1.68723,1.3072799999999996
Spire_1606909903.6,1606909903.6,1606909904.6,20201202115144,3.65729,-86.82021331790001,33.553237915,1.96882,2.067261,0.4241752860159607,0.7162072451793692,3.65729,4.5291,-1.0,0.660841,3.51738,8563663,1.8381057136916803,0.660841,9.582838123622508,5.083985488924059,0.7010000000000005,10.847935054891476,19.455980445700266,8,2,1.6884700000000001,1.0117199999999995
Spire_1606909903.6,1606909903.6,1606909907.7,20201202115147,3.65956,-86.8202590942,33.553329467800005,1.96882,2.067261,11.452805215570589,19.36275301227456,3.65956,5.02786,0.000702148,0.845935,3.51738,8563663,13.653711275990903,0.845935,9.956194777998503,5.178289430112546,0.7353333333333337,11.222321323124731,19.455980445700266,8,2,1.69074,1.5104800000000003
Spire_1606909903.6,1606909903.6,1606909908.7,20201202115148,3.66083,-86.8202896118,33.5533943176,1.96882,2.067261,19.198478427003533,32.468509542751214,3.66083,4.95099,0.000750111,0.871916,3.51738,8563663,16.68250681623499,0.871916,10.328014625249963,5.3836268300203125,0.7566666666666672,11.646944833057795,19.455980445700266,8,2,1.6920099999999998,1.4336099999999998
Spire_1606909903.6,1606909903.6,1606909909.8,20201202115149,3.65975,-86.8203201294,33.5534706116,1.97819,2.0770995,28.14091878631609,47.505759553356846,3.65975,5.22697,0.000805697,0.888149,3.84996,8563663,18.91754146268431,0.888149,10.97605387087293,5.557892649325667,0.7890000000000005,12.303004888145535,19.455980445700266,8,2,1.68156,1.3770099999999998
Spire_1606909903.6,1606909903.6,1606909910.8,20201202115150,3.67278,-86.8203582764,33.553554534899995,1.97859,2.0775195,38.11985671257394,64.41197639864363,3.67278,4.74625,0.0008031360000000001,0.8881760000000001,4.01559,8563663,19.957881752714613,0.8881760000000001,11.481607297692435,5.717467361086932,0.8223333333333339,12.82640788231524,19.455980445700266,8,2,1.6941899999999999,0.7306599999999994
