Time Stamp,Inlet Number,P (mbars),T (degC),CH4 (ppm),H2O (ppm),C2H6 (ppb),R,C2/C1,Battery Charge (V),Power Input (mV),Current (mA),SOC (%),Latitude,Longitude,U (m/sec),V (m/sec),W (m/sec),T (degC),Dir (deg),Speed (m/sec),Compass (deg)
12/03/2020 10:57:36.374,0,240.104,99.0000,3.84784,6246.55,16.9864,0,-1,12022,13715,687,73,33.5623855591,-86.8238143921,00.10 ,-01.41 ,-00.20 ,09.4 ,274 ,01.42 ,179
12/03/2020 10:57:37.398,0,239.83,99.0000,3.84883,6235.73,16.5955,0,-1,12022,13715,687,73,33.5623855591,-86.8238143921,00.12 ,-01.05 ,-00.07 ,09.5 ,277 ,01.06 ,179
12/03/2020 10:57:38.422,0,239.995,99.0000,3.8463,6210.48,16.7368,0,-1,11977,13778,642,73,33.5623855591,-86.8238143921,-00.02 ,-00.86 ,-00.24 ,09.5 ,269 ,00.90 ,179
12/03/2020 10:57:39.446,0,240.056,99.0000,3.85116,6187.76,16.8254,0,-1,11994,13751,658,73,33.5623855591,-86.8238143921,00.06 ,-00.19 ,-00.31 ,09.9 ,287 ,00.37 ,179
12/03/2020 10:57:40.470,0,239.936,99.0000,3.84652,6173.08,16.9188,0,-1,11962,13812,679,73,33.5623855591,-86.8238143921,00.38 ,-00.44 ,-00.25 ,09.5 ,310 ,00.64 ,179
12/03/2020 10:57:41.494,0,239.874,99.0000,3.84776,6158.23,16.2174,0,-1,12031,13796,691,73,33.5623855591,-86.8238143921,00.68 ,-01.18 ,-00.27 ,09.4 ,300 ,01.39 ,179
12/03/2020 10:57:42.518,0,240.097,99.0000,3.85068,6136.08,16.8126,0,-1,12031,13796,691,73,33.5623855591,-86.8238143921,00.06 ,-01.31 ,-00.19 ,09.4 ,273 ,01.32 ,179
12/03/2020 10:57:43.542,0,240.001,99.0000,3.84651,6128.46,16.7407,0,-1,11961,13805,660,73,33.5623855591,-86.8238143921,00.12 ,-00.41 ,-00.35 ,09.4 ,286 ,00.55 ,180
12/03/2020 10:57:44.566,0,239.95,99.0000,3.84705,6118.81,16.9864,0,-1,12023,13802,683,73,33.5623855591,-86.8238143921,01.76 ,-00.10 ,00.15 ,09.3 ,357 ,01.77 ,179
12/03/2020 10:57:45.590,0,240.049,99.0000,3.85086,6113.92,15.9424,-0.359287,-1,11987,13795,692,73,33.5623855591,-86.8238143921,00.94 ,-00.50 ,-00.22 ,09.3 ,332 ,01.09 ,179
12/03/2020 10:57:46.819,0,240.064,99.0000,3.84591,6106.28,16.8983,-0.40192,-1,12013,13780,669,73,33.5623855591,-86.8238143921,00.22 ,-02.06 ,-00.23 ,09.3 ,276 ,02.09 ,179
12/03/2020 10:57:47.843,0,239.852,99.0000,3.84507,6106.36,16.5042,-0.284266,-1,11966,13787,654,73,33.5623855591,-86.8238143921,01.68 ,-01.61 ,-00.21 ,09.6 ,316 ,02.34 ,179
12/03/2020 10:57:48.867,0,239.923,99.0000,3.84828,6109.45,15.8353,-0.260289,-1,12025,13810,673,73,33.5623855591,-86.8238143921,01.71 ,00.25 ,00.20 ,09.4 ,008 ,01.74 ,179
12/03/2020 10:57:49.891,0,240.003,99.0000,3.84866,6105.32,15.9877,-0.279031,-1,11959,13794,658,73,33.5623855591,-86.8238143921,01.47 ,-01.32 ,-00.19 ,09.3 ,318 ,01.99 ,179
12/03/2020 10:57:50.915,0,239.998,99.0000,3.84977,6121.04,16.1059,-0.330301,-1,12015,13802,684,73,33.5623855591,-86.8238143921,00.56 ,-01.52 ,-00.24 ,09.4 ,290 ,01.63 ,179
12/03/2020 10:57:51.939,0,239.94,99.0000,3.8485,6119.18,15.8528,-0.32524,-1,12015,13802,684,73,33.5623855591,-86.8238143921,00.73 ,-01.69 ,-00.31 ,09.3 ,293 ,01.86 ,179
12/03/2020 10:57:52.963,0,240.142,99.0000,3.85163,6120.91,16.4132,-0.313968,-1,11990,13770,693,73,33.5623855591,-86.8238143921,01.04 ,-02.20 ,-00.39 ,09.3 ,295 ,02.46 ,179
12/03/2020 10:57:53.987,0,239.894,99.0000,3.84772,6132.52,16.0293,-0.283784,-1,11979,13791,677,73,33.5623855591,-86.8238143921,01.09 ,-02.17 ,-00.39 ,09.3 ,297 ,02.46 ,179
12/03/2020 10:57:55.011,0,240.185,99.0000,3.85209,6137.44,15.4134,-0.436594,-1,11961,13745,679,73,33.5623855591,-86.8238143921,01.31 ,-01.59 ,-00.23 ,09.5 ,310 ,02.07 ,180
12/03/2020 10:57:56.035,0,239.914,99.0000,3.85391,6139.97,16.0561,-0.455737,-1,12029,13768,702,73,33.5623855591,-86.8238143921,00.89 ,-01.43 ,-00.34 ,09.3 ,302 ,01.72 ,179
12/03/2020 10:57:57.059,0,240.018,99.0000,3.85343,6153.02,15.4454,-0.547125,-1,11964,13768,684,73,33.5623855591,-86.8238143921,00.48 ,-01.70 ,-00.14 ,09.4 ,286 ,01.78 ,179
12/03/2020 10:57:58.083,0,239.964,99.0000,3.85699,6152.15,16.0897,-0.509638,-1,12019,13737,699,73,33.5623855591,-86.8238143921,00.83 ,-01.95 ,-00.20 ,09.5 ,293 ,02.13 ,180
12/03/2020 10:57:59.107,0,239.999,99.0000,3.87001,6155.65,16.0664,-0.379775,-1,11990,13774,690,73,33.5623855591,-86.8238143921,01.16 ,-01.71 ,-00.17 ,09.7 ,304 ,02.08 ,180
12/03/2020 10:58:00.131,0,240.085,99.0000,3.87734,6153.3,15.476,-0.494023,-1,11993,13769,681,73,33.5623855591,-86.8238143921,00.56 ,-01.70 ,-00.27 ,09.6 ,288 ,01.81 ,179
12/03/2020 10:58:01.155,0,239.902,99.0000,3.88312,6141.93,16.0556,-0.433806,-1,12022,13726,696,73,33.5623855591,-86.8238143921,00.62 ,-01.87 ,-00.23 ,09.3 ,288 ,01.99 ,179
12/03/2020 10:58:02.179,0,240.024,99.0000,3.89119,6137.84,15.613,-0.489563,-1,12022,13726,696,73,33.5623855591,-86.8238143921,00.89 ,-01.16 ,-00.25 ,09.1 ,307 ,01.49 ,179
12/03/2020 10:58:03.203,0,239.981,99.0000,3.89882,6129.79,15.6368,-0.522866,-1,12037,13685,697,73,33.5623855591,-86.8238143921,00.46 ,-00.54 ,-00.31 ,09.2 ,311 ,00.77 ,179
12/03/2020 10:58:04.227,0,240.007,99.0000,3.89926,6120.15,15.9705,-0.500827,-1,11970,13752,677,73,33.5623855591,-86.8238143921,-00.20 ,-00.85 ,-00.48 ,09.1 ,256 ,01.00 ,179
12/03/2020 10:58:05.251,0,240.081,99.0000,3.89929,6113.72,15.6189,-0.536334,-1,12028,13691,696,73,33.5623855591,-86.8238143921,00.10 ,-01.13 ,-00.21 ,09.4 ,275 ,01.16 ,179
12/03/2020 10:58:06.275,0,240.129,99.0000,3.89397,6101.58,15.6391,-0.562846,-1,11986,13733,685,73,33.5623855591,-86.8238143921,00.19 ,-00.84 ,00.06 ,09.9 ,283 ,00.86 ,180
12/03/2020 10:58:07.299,0,239.983,99.0000,3.88365,6093.99,16.1074,-0.546127,-1,12003,13750,686,73,33.5623855591,-86.8238143921,00.01 ,-01.49 ,-00.27 ,09.0 ,271 ,01.52 ,179
12/03/2020 10:58:08.323,0,240.102,99.0000,3.88381,6082.66,15.4806,-0.560379,-1,12011,13779,685,73,33.5623855591,-86.8238143921,-00.01 ,-01.31 ,-00.03 ,08.9 ,269 ,01.31 ,179
12/03/2020 10:58:09.347,0,239.896,99.0000,3.87205,6077.14,15.9141,-0.548182,-1,11978,12500,668,73,33.5623855591,-86.8238143921,-00.13 ,-01.50 ,00.17 ,09.3 ,265 ,01.52 ,180
12/03/2020 10:58:10.371,0,239.964,99.0000,3.86808,6073.06,15.4055,-0.533674,-1,11967,13762,683,73,33.5623855591,-86.8238143921,-00.09 ,-01.66 ,-00.10 ,09.2 ,267 ,01.67 ,179
12/03/2020 10:58:11.395,0,240.14,99.0000,3.87083,6066.21,15.1942,-0.506027,-1,11967,13762,683,73,33.5623855591,-86.8238143921,-00.42 ,-01.43 ,-00.14 ,09.0 ,254 ,01.49 ,177
12/03/2020 10:58:12.419,0,239.818,99.0000,3.86772,6058.31,14.9616,-0.473189,-1,12036,13785,688,73,33.5623893738,-86.8238143921,00.15 ,-01.57 ,00.15 ,09.2 ,275 ,01.58 ,172
12/03/2020 10:58:13.443,0,240.049,99.0000,3.87528,6060.26,15.4152,-0.462538,-1,11972,13832,689,73,33.5623931885,-86.8238220215,-00.43 ,-01.51 ,00.19 ,09.2 ,254 ,01.59 ,167
12/03/2020 10:58:14.467,0,239.932,99.0000,3.8695,6056.81,15.2988,-0.424436,-1,12036,13767,704,73,33.5624008179,-86.8238296509,00.42 ,-01.53 ,-00.13 ,09.1 ,286 ,01.59 ,166
12/03/2020 10:58:15.491,0,240,99.0000,3.87115,6060.01,15.3598,-0.379881,-1,11981,13875,669,73,33.5624046326,-86.8238449097,00.76 ,-02.10 ,-00.03 ,09.4 ,290 ,02.24 ,165
12/03/2020 10:58:16.515,0,239.946,99.0000,3.86872,6059.59,14.7198,-0.342211,-1,12014,13730,685,73,33.5624046326,-86.8238449097,01.84 ,-02.24 ,-00.20 ,09.1 ,309 ,02.91 ,165
12/03/2020 10:58:17.539,0,240.085,99.0000,3.87005,6068.18,14.9358,-0.257306,-1,12007,13855,674,73,33.5624046326,-86.8238525391,03.38 ,-01.22 ,00.56 ,09.2 ,340 ,03.64 ,162
12/03/2020 10:58:18.563,0,239.92,99.0000,3.86396,6070.71,16.0998,-0.189636,-1,12029,13899,693,73,33.5624046326,-86.8238449097,05.04 ,-01.23 ,00.61 ,09.3 ,346 ,05.23 ,161
12/03/2020 10:58:19.587,0,239.842,99.0000,3.86432,6081.01,15.0421,-0.152048,-1,11968,13864,659,73,33.5624084473,-86.8238220215,05.48 ,00.93 ,00.57 ,09.1 ,010 ,05.59 ,161
12/03/2020 10:58:20.611,0,239.943,99.0000,3.85762,6091.74,15.1721,-0.0850011,-1,11968,13864,659,73,33.5624160767,-86.8237915039,02.67 ,00.57 ,00.32 ,09.2 ,012 ,02.75 ,158
12/03/2020 10:58:21.635,0,240.134,99.0000,3.85903,6094.68,14.0206,0.0541485,-1,12037,13833,679,73,33.5624275208,-86.8237533569,01.89 ,-00.46 ,00.01 ,09.2 ,346 ,01.95 ,161
12/03/2020 10:58:22.659,0,240.104,99.0000,3.8526,6095,15.3689,0.100214,-1,11970,13605,667,73,33.5624351501,-86.8237228394,01.65 ,-00.33 ,00.05 ,09.2 ,349 ,01.68 ,162
12/03/2020 10:58:23.683,0,239.868,99.0000,3.84525,6087.7,15.2065,0.218746,-1,12018,13691,679,73,33.5624427795,-86.8236999512,01.78 ,-00.40 ,00.23 ,09.3 ,347 ,01.84 ,162
12/03/2020 10:58:24.707,0,240.004,99.0000,3.8505,6074.09,14.3085,0.36326,-1,12022,13659,675,73,33.5624465942,-86.8236846924,00.86 ,-00.48 ,-00.01 ,09.4 ,331 ,00.98 ,163
12/03/2020 10:58:25.731,0,240.012,99.0000,3.84405,6055.99,13.9732,0.458202,-1,11961,13718,678,73,33.5624542236,-86.8236770630,01.23 ,00.04 ,00.15 ,09.5 ,002 ,01.24 ,163
12/03/2020 10:58:26.755,0,240.04,99.0000,3.84789,6037.02,13.5409,0.569448,-1,11968,13737,662,73,33.5624580383,-86.8236618042,02.50 ,-00.10 ,00.50 ,09.3 ,358 ,02.55 ,162
12/03/2020 10:58:27.779,0,240.117,99.0000,3.85318,6015.83,13.9034,0.611444,-1,12016,13755,673,73,33.5624618530,-86.8236465454,03.26 ,00.08 ,00.50 ,09.2 ,001 ,03.30 ,168
12/03/2020 10:58:28.803,0,240.108,99.0000,3.86235,5984.9,13.6869,0.655453,-1,11993,13761,658,73,33.5624771118,-86.8236312866,04.68 ,-00.43 ,00.64 ,09.2 ,355 ,04.75 ,179
12/03/2020 10:58:29.827,0,239.811,99.0000,3.86949,5966.88,13.6246,0.63391,-1,11997,13747,673,73,33.5625000000,-86.8236083984,03.95 ,00.24 ,00.44 ,09.2 ,003 ,03.98 ,193
12/03/2020 10:58:30.851,0,240.085,99.0000,3.87815,5952.09,13.2845,0.543172,-1,11997,13747,673,73,33.5625381470,-86.8236007690,04.05 ,00.43 ,00.35 ,09.1 ,006 ,04.09 ,195
12/03/2020 10:58:31.875,0,240.128,99.0000,3.87001,5937.88,13.8609,0.512838,-1,11992,13743,672,73,33.5625801086,-86.8236083984,02.74 ,00.37 ,00.41 ,09.3 ,008 ,02.79 ,198
12/03/2020 10:58:32.899,0,240,99.0000,3.85422,5923.03,13.4774,0.519527,-1,11978,13726,674,73,33.5626220703,-86.8236236572,02.45 ,00.13 ,00.39 ,09.2 ,003 ,02.48 ,199
12/03/2020 10:58:33.923,0,239.902,99.0000,3.84765,5919.78,12.6937,0.543546,-1,12040,13718,671,73,33.5626564026,-86.8236389160,01.30 ,00.35 ,00.25 ,09.3 ,015 ,01.37 ,212
12/03/2020 10:58:34.947,0,239.85,99.0000,3.84671,5910.05,12.8058,0.544773,-1,12031,13689,678,73,33.5626869202,-86.8236541748,01.02 ,-00.04 ,-00.06 ,09.3 ,358 ,01.02 ,196
12/03/2020 10:58:35.971,0,239.928,99.0000,3.84147,5904.72,11.9314,0.589439,-1,11969,13788,677,73,33.5627212524,-86.8236694336,02.66 ,-00.60 ,00.29 ,09.2 ,347 ,02.74 ,197
12/03/2020 10:58:36.995,0,239.873,99.0000,3.82609,5898.3,12.6943,0.623016,-1,12021,13783,696,73,33.5627212524,-86.8236694336,03.77 ,00.44 ,00.62 ,09.3 ,007 ,03.85 ,193
12/03/2020 10:58:38.019,0,240.166,99.0000,3.82314,5885.58,12.7015,0.628122,-1,12000,13783,693,73,33.5627365112,-86.8236770630,05.14 ,00.65 ,00.75 ,09.1 ,007 ,05.24 ,195
12/03/2020 10:58:39.043,0,239.934,99.0000,3.81996,5888.12,12.0737,0.6666,-1,12005,13742,704,73,33.5627632141,-86.8236923218,05.49 ,01.19 ,00.79 ,09.0 ,012 ,05.67 ,191
12/03/2020 10:58:40.067,0,240.057,99.0000,3.81505,5879,12.2523,0.689635,-1,12018,13772,686,73,33.5628013611,-86.8237152100,04.98 ,-00.03 ,00.62 ,09.3 ,360 ,05.02 ,193
12/03/2020 10:58:41.091,0,240.015,99.0000,3.81187,5882.24,11.9571,0.719613,0.0470261,12018,13772,686,73,33.5629119873,-86.8237609863,06.20 ,-01.14 ,00.49 ,08.9 ,350 ,06.32 ,191
12/03/2020 10:58:42.115,0,239.899,99.0000,3.80243,5882.93,11.959,0.737575,0.0449378,12036,13711,683,73,33.5629768372,-86.8237762451,05.99 ,00.03 ,00.87 ,09.1 ,000 ,06.05 ,188
12/03/2020 10:58:43.139,0,240.113,99.0000,3.79956,5883.2,11.2558,0.769649,0.045566,11971,13713,685,73,33.5630416870,-86.8237991333,05.63 ,-01.29 ,00.51 ,09.0 ,347 ,05.80 ,186
12/03/2020 10:58:44.163,0,239.845,99.0000,3.79836,5883.95,11.2993,0.78539,0.0452244,12035,13767,700,73,33.5631065369,-86.8238220215,05.32 ,-01.35 ,00.82 ,09.1 ,346 ,05.55 ,189
12/03/2020 10:58:45.187,0,240.06,99.0000,3.79471,5878.77,12.3451,0.77248,0.0414264,11984,13754,678,73,33.5631752014,-86.8238372803,04.89 ,-00.52 ,00.76 ,09.0 ,354 ,04.98 ,187
12/03/2020 10:58:46.211,0,239.913,99.0000,3.79374,5884.16,10.3164,0.792533,0.0431072,12034,13734,692,73,33.5632400513,-86.8238449097,05.59 ,-01.11 ,00.90 ,09.0 ,349 ,05.77 ,187
12/03/2020 10:58:47.235,0,240.005,99.0000,3.79181,5873.93,11.1814,0.802279,0.0429519,12009,13750,674,73,33.5633010864,-86.8238601685,05.41 ,00.39 ,00.65 ,08.9 ,004 ,05.46 ,184
12/03/2020 10:58:48.259,0,239.987,99.0000,3.81192,5871.5,10.8591,0.79704,0.0438659,11990,13750,674,73,33.5633621216,-86.8238601685,05.34 ,-01.40 ,00.65 ,09.0 ,345 ,05.56 ,185
12/03/2020 10:58:49.283,0,240.197,99.0000,3.84163,5865.24,11.3539,0.76926,0.0407139,12031,13749,685,73,33.5634307861,-86.8238677979,05.32 ,-01.67 ,00.74 ,09.0 ,343 ,05.62 ,184
12/03/2020 10:58:50.307,0,239.974,99.0000,3.83345,5850.94,11.112,0.738521,0.0393603,11976,13749,684,73,33.5634956360,-86.8238677979,03.94 ,-01.64 ,00.53 ,09.1 ,337 ,04.30 ,182
12/03/2020 10:58:51.331,0,239.938,99.0000,3.83852,5845.41,10.8471,0.699999,-1,12026,13743,692,73,33.5635566711,-86.8238754272,03.57 ,-01.45 ,00.56 ,09.1 ,338 ,03.89 ,185
12/03/2020 10:58:52.355,0,239.972,99.0000,3.82376,5837.63,11.1329,0.687035,-1,11967,13736,690,73,33.5636215210,-86.8238754272,04.69 ,-01.43 ,00.77 ,09.2 ,343 ,04.96 ,188
12/03/2020 10:58:53.379,0,240.081,99.0000,3.81397,5821.42,11.1788,0.698565,-1,12028,13740,678,73,33.5636863708,-86.8238677979,04.75 ,-01.31 ,00.53 ,09.0 ,345 ,04.96 ,169
12/03/2020 10:58:54.403,0,239.952,99.0000,3.80127,5817.14,10.8065,0.740226,0.0341595,11985,13749,682,73,33.5637550354,-86.8238601685,04.82 ,-01.38 ,00.58 ,09.1 ,344 ,05.05 ,171
12/03/2020 10:58:55.427,0,240.125,99.0000,3.7879,5807.05,11.2791,0.743711,0.0317295,12017,13749,691,73,33.5638275146,-86.8238372803,06.31 ,-01.50 ,00.75 ,09.3 ,347 ,06.53 ,169
12/03/2020 10:58:56.451,0,240.067,99.0000,3.78488,5795.65,10.392,0.769663,0.0314501,11985,13762,680,73,33.5638999939,-86.8238143921,07.08 ,-01.93 ,00.74 ,09.2 ,345 ,07.38 ,169
12/03/2020 10:58:57.475,0,240.004,99.0000,3.78412,5784.98,10.4731,0.780843,0.0310712,11997,13742,684,73,33.5639801025,-86.8237838745,07.35 ,-01.76 ,01.25 ,09.3 ,347 ,07.66 ,174
