,LeakName,Longitude,Latitude,Verified,TimesSeen,maxDist,mn_maxc2h6_ab,mn_maxch4_ab,threshold,First_Time,geometry,win,POLYGON,LEAKNUM,PolyLK
0,Spire_filter_1606822020.2,-86.82379216526523,33.563383684244805,True,3,5.034050082529843,0.6312685714285711,0.16255500000000014,0.05,2020-12-01 04:27:00,POINT (-86.82379216526523 33.5633836842448),True,P3,1,P3L1
1,Spire_filter_1606822031.4,-86.82366532265002,33.56427411042177,True,2,0.4095468041131287,0.17733166666666675,0.20414083333333333,0.05,2020-12-01 04:27:11,POINT (-86.82366532265002 33.56427411042177),True,P3,2,P3L2
2,Spire_filter_1606822232.5,-86.82320604753934,33.559380781588736,True,3,20.040533916296013,1.2791618749999991,0.23609875,0.05,2020-12-01 04:30:32,POINT (-86.82320604753934 33.55938078158874),True,P3,3,P3L3
3,Spire_filter_1606822328.9,-86.82343971301323,33.55682852843423,True,2,11.787999264671502,0.7308050000000003,0.2534091666666665,0.05,2020-12-01 04:32:08,POINT (-86.82343971301323 33.55682852843423),True,P3,4,P3L4
4,Spire_filter_1606822375.1,-86.82737201044789,33.555599182490965,True,7,11.270374595095616,0.8302980000000003,0.1580125000000001,0.05,2020-12-01 04:32:55,POINT (-86.82737201044789 33.55559918249097),True,P3,5,P3L5
5,Spire_filter_1606822409.3,-86.828937280962,33.55525404004251,True,9,11.512788525661886,0.905435285714286,0.2389383571428572,0.05,2020-12-01 04:33:29,POINT (-86.82893728096199 33.55525404004251),True,P3,6,P3L6
6,Spire_filter_1606822423.3,-86.8306884766,33.5551795959,True,4,0.0,0.6443299999999983,0.14162000000000008,0.05,2020-12-01 04:33:43,POINT (-86.8306884766 33.5551795959),True,P3,7,P3L7
7,Spire_filter_1606822505.3,-86.82504929020182,33.556305434062345,True,2,1.6198443667962863,1.4519062500000006,0.21759375000000006,0.05,2020-12-01 04:35:05,POINT (-86.82504929020182 33.55630543406235),True,P3,8,P3L8
8,Spire_filter_1606822547.3,-86.8217420428985,33.55676104067054,True,8,19.92910042371831,1.963276375,0.2474308333333335,0.05,2020-12-01 04:35:47,POINT (-86.82174204289851 33.55676104067054),True,P3,9,P3L9
9,Spire_filter_1606822669.6,-86.81889981769487,33.55778276876714,False,1,21.94356928474188,1.0634774999999994,0.1659725000000003,0.05,2020-12-01 04:37:49,POINT (-86.81889981769487 33.55778276876714),True,P3,10,P3L10
10,Spire_filter_1606822684.9,-86.81883345056059,33.55625372595548,True,7,5.719199933909035,1.2527918461538459,0.2196694230769231,0.05,2020-12-01 04:38:04,POINT (-86.81883345056059 33.55625372595548),True,P3,11,P3L11
11,Spire_filter_1606822744.3,-86.81602604057463,33.55154866254896,True,7,19.451766091995985,2.152719500000001,0.2515647499999999,0.05,2020-12-01 04:39:04,POINT (-86.81602604057463 33.55154866254896),True,P3,12,P3L12
12,Spire_filter_1606822810.2,-86.81687406122887,33.54989780363913,False,1,3.8984061369027554,1.260749999999999,0.2648949999999999,0.05,2020-12-01 04:40:10,POINT (-86.81687406122887 33.54989780363913),True,P3,13,P3L13
13,Spire_filter_1606822906.2,-86.81542111916448,33.54965373853678,False,1,0.5771725639634795,1.5065549999999994,0.21181125000000015,0.05,2020-12-01 04:41:46,POINT (-86.81542111916448 33.54965373853678),True,P3,14,P3L14
14,Spire_filter_1606823141.8,-86.820284720665,33.55000120184289,True,4,15.689628759182202,0.9559929999999996,0.15780600000000006,0.05,2020-12-01 04:45:41,POINT (-86.820284720665 33.55000120184289),True,P3,15,P3L15
15,Spire_filter_1606823308.4,-86.82754091340645,33.54759044362648,True,5,8.729143134399619,2.3186684090909084,0.1977859090909092,0.05,2020-12-01 04:48:28,POINT (-86.82754091340645 33.54759044362648),True,P3,16,P3L16
16,Spire_filter_1606823430.3,-86.82806986055212,33.5493697083075,True,4,11.412913939786513,1.0737595833333338,0.17460166666666654,0.05,2020-12-01 04:50:30,POINT (-86.82806986055212 33.5493697083075),True,P3,17,P3L17
17,Spire_filter_1606823523.8,-86.82673086874527,33.5502857664613,True,2,2.37697583926888e-06,0.8165062500000002,0.1620775000000001,0.05,2020-12-01 04:52:03,POINT (-86.82673086874527 33.5502857664613),True,P3,18,P3L18
18,Spire_filter_1606823539.2,-86.8249206543,33.550838470500004,False,1,0.0,0.13320750000000015,0.1475599999999999,0.05,2020-12-01 04:52:19,POINT (-86.8249206543 33.5508384705),True,P3,19,P3L19
19,Spire_filter_1606823552.5,-86.8235473633,33.551231384299996,False,1,0.0,0.09758000000000022,0.13041000000000014,0.05,2020-12-01 04:52:32,POINT (-86.82354736329999 33.5512313843),True,P3,20,P3L20
20,Spire_filter_1606823566.8,-86.82166381180599,33.55178441091041,False,1,4.564322327535434,0.266635,0.11831749999999985,0.05,2020-12-01 04:52:46,POINT (-86.82166381180599 33.55178441091041),True,P3,21,P3L21
21,Spire_filter_1606823593.5,-86.8204933272042,33.55213538927494,True,2,24.82226989874934,4.8860725,0.3384050000000003,0.05,2020-12-01 04:53:13,POINT (-86.8204933272042 33.55213538927494),True,P3,22,P3L22
22,Spire_filter_1606823646.9,-86.81743406621989,33.552913468286384,True,4,5.709280471899303,0.5858558333333331,0.22805416666666675,0.05,2020-12-01 04:54:06,POINT (-86.81743406621989 33.55291346828638),True,P3,23,P3L23
23,Spire_filter_1606823658.2,-86.81679067379528,33.55223902006049,True,5,9.116913545122996,9.557027666666666,0.8850033333333333,0.05,2020-12-01 04:54:18,POINT (-86.81679067379528 33.55223902006049),True,P3,24,P3L24
24,Spire_filter_1606823773.1,-86.81782590262172,33.5517162108847,True,3,4.7350098517968275,1.3043933333333335,0.32285416666666666,0.05,2020-12-01 04:56:13,POINT (-86.81782590262172 33.5517162108847),True,P3,25,P3L25
25,Spire_filter_1606823926.8,-86.820548660746,33.55102735038266,False,1,17.97393599958538,11.799685,1.025476875,0.05,2020-12-01 04:58:46,POINT (-86.820548660746 33.55102735038266),True,P3,26,P3L26
