DATE,TIME,SECONDS,NANOSECONDS,VELOCITY,U,V,W,BCH4,BRSSI,TCH4,TRSSI,PRESS_MBAR,INLET,TEMPC,CH4,H20,C2H6,R,C2C1,BATTV,POWMV,CURRMA,SOCPER,LAT,LONG,bearing,U_cor,horz_length,adj_theta,totalWind,phi,raw_CH4,raw_R,U_avg,V_avg,W_avg,r_avg,theta_avg,distance,odometer
2020-12-03,10:59:03,1606993143,619000000,9.71,9.27,-2.67,1.8,1.81918,0,1.81918,0,239.91299999999998,0,-1.8558,1.81918,5809.26,6.961130000000001,0.741993,0.00228695,11991,13725,674,73,33.5644950867,-86.82355499270001,0.4181928304101902,18.98,19.16688028866461,2.808197189588324,19.251215546037606,1.5186702576682947,1.81918,0.741993,7.248753656309324,8.30007378654334,0.7889999999999995,11.01978468174046,-0.7178868080331254,20.887909927017127,529.5174690935631
2020-12-03,11:02:24,1606993344,528000000,4.69,4.54,-1.5,0.54,1.9030900000000002,0,1.9030900000000002,0,239.87599999999998,0,9.8801,1.9030900000000002,5042.52,4.54431,0.5791609999999999,-1.0,11981,13674,663,74,33.553096771199996,-86.82183074950001,2.7919693418252396,9.23,9.35109084545755,5.210488809179559,9.366669632265248,1.4642618112136554,1.9030900000000002,0.5791609999999999,-23.05143467186275,-11.356106817212558,1.5930000000000009,25.696883127630432,-1.1130523575583227,14.447653648425703,4046.7014892424763
2020-12-03,11:02:25,1606993345,552000000,2.62,2.59,0.2,0.4,1.8821700000000001,0,1.8821700000000001,0,240.173,0,7.7813,1.8821700000000001,5047.53,4.25995,0.739923,0.000930253,12045,13712,661,74,33.5530433655,-86.82180786129999,2.779488350063685,5.21,5.213837358414625,5.113650098205338,5.229158632131941,1.3813002621192636,1.8821700000000001,0.739923,-22.374820096852115,-11.005939439279702,1.5460000000000007,24.935181517438163,-1.1136581307430768,9.97894456206241,4056.6804338045386
2020-12-03,11:03:25,1606993405,251000000,6.41,6.22,-1.45,0.56,1.65363,0,1.65363,0,240.053,0,-19.266,1.65363,5014.95,2.6753,0.703371,0.0014561,12029,13724,687,74,33.5484161377,-86.8198699951,2.819811006530584,12.629999999999999,12.71296188934742,5.215122524893767,12.725289780590458,1.4922980843664466,1.65363,0.703371,-14.213464230743845,-7.479525233680837,0.8726666666666674,16.061315735639564,-1.0863870153999144,13.413738372329194,5149.512459990812
2020-12-03,11:03:56,1606993436,995000100,3.2,2.94,0.58,0.39,1.9004400000000001,0,1.9004400000000001,0,240.07,0,-7.3434,1.9004400000000001,5028.23,4.46631,0.43223900000000004,-1.0,12047,13733,689,74,33.5458526611,-86.81907653809999,4.487707099023943,6.140000000000001,6.167333297301193,6.789178829095651,6.179652093767092,1.4100506652973652,1.9004400000000001,0.43223900000000004,-13.811296278704383,-8.669778286634301,1.0300000000000016,16.306960490463855,-1.0102355842491129,15.230915288796051,5780.329338040918
2020-12-03,11:03:58,1606993438,19000000,2.61,2.58,0.21,0.31,2.13899,0,2.13899,0,239.89700000000002,0,15.1882,2.13899,4934.86,5.07908,0.38015,-1.0,11993,13766,692,74,33.545845031700004,-86.8191299438,4.542632742795002,5.1899999999999995,5.1942468173932586,6.875689166285461,5.203489213979404,1.380602642039859,2.13899,0.38015,-13.18423071991708,-8.530594204231997,0.9870000000000015,15.703342865558332,-0.9965117390278025,5.021538861994544,5785.350876902912
2020-12-03,11:09:57,1606993797,443000000,1.85,1.8,0.32,0.25,1.58633,0,1.58633,0,240.155,0,-25.2243,1.58633,5490.97,7.31882,0.76223,0.00202675,11964,13779,523,75,33.5578575134,-86.8233947754,4.4674092616593954,3.6500000000000004,3.664000545851488,6.77483538789542,3.6725195710846803,1.304359575047316,1.58633,0.76223,2.279869566928622,-13.84350583592729,0.8843333333333341,14.029984286219292,0.163223595506818,8.744545181509265,12457.53661899445
2020-12-03,11:10:48,1606993848,643000100,3.13,1.98,-2.41,0.28,1.73986,0,1.73986,0,240.055,0,-4.3048,1.73986,5505.04,7.609039999999999,0.7739090000000001,0.00209955,12000,13797,522,75,33.558418273899996,-86.82081604,2.907851977787389,5.109999999999999,5.649796456510623,5.4033443916660335,5.656730504452196,1.3956131495517219,1.73986,0.7739090000000001,-6.767415325590333,10.139670912283183,0.7593333333333335,12.19060443121819,0.5885236990506229,9.156668840420448,13061.470300969988
2020-12-03,11:14:13,1606994053,648000000,7.13,6.64,-2.43,0.84,1.60759,0,1.60759,0,240.043,0,-19.885,1.60759,5937.56,9.62792,0.8915489999999999,0.00371635,11971,13751,501,75,33.5580749512,-86.82230377200001,2.5040477347842693,13.77,13.982767966321976,4.919646663232886,14.007976299237518,1.4994012825067882,1.60759,0.8915489999999999,-7.754302453566159,2.064318722603589,0.7026666666666663,8.024376507235553,1.3106148085293026,9.501665366625966,15737.534334074111
2020-12-03,11:14:19,1606994059,792000000,8.51,8.16,-2.26,0.82,1.8725,0,1.8725,0,239.855,0,10.7857,1.8725,5723.89,12.0166,0.929522,0.00341053,12004,13722,517,75,33.5577011108,-86.8221511841,2.7868879455402307,16.67,16.822499814236885,5.1812523434241795,16.842473096312194,1.511421998891289,1.8725,0.929522,-8.362044592083988,3.624409493968945,0.6586666666666663,9.113733260304105,1.1618022328684505,16.28399080429628,15827.833088489951
