Time Stamp,Inlet Number,P (mbars),T (degC),CH4 (ppm),H2O (ppm),C2H6 (ppb),R,C2/C1,Battery Charge (V),Power Input (mV),Current (mA),SOC (%),Latitude,Longitude,U (m/sec),V (m/sec),W (m/sec),T (degC),Dir (deg),Speed (m/sec),Compass (deg)
12/02/2020 11:24:07.953,0,239.972,99.0000,3.90198,5596.52,17.8303,0,-1,12451,13313,294,91,33.5623397827,-86.8237762451,00.97 ,00.10 ,-00.31 ,06.5 ,006 ,01.02 ,206
12/02/2020 11:24:08.977,0,240.023,99.0000,3.90899,5594.86,17.4109,0,-1,12451,13313,294,91,33.5623397827,-86.8237762451,00.92 ,00.00 ,-00.29 ,06.5 ,000 ,00.97 ,205
12/02/2020 11:24:10.001,0,240.016,99.0000,3.90724,5604.05,17.7458,0,-1,12424,13220,283,91,33.5623397827,-86.8237762451,00.95 ,00.03 ,-00.27 ,06.5 ,002 ,00.99 ,206
12/02/2020 11:24:11.025,0,239.957,99.0000,3.90989,5612.44,17.8198,0,-1,12436,13296,291,91,33.5623397827,-86.8237762451,00.74 ,-00.16 ,-00.34 ,06.5 ,348 ,00.83 ,206
12/02/2020 11:24:12.049,0,239.973,99.0000,3.90532,5610.25,17.694,0,-1,12438,13248,297,91,33.5623397827,-86.8237762451,00.79 ,00.01 ,-00.37 ,06.5 ,001 ,00.87 ,206
12/02/2020 11:24:13.073,0,240.103,99.0000,3.91222,5619.58,17.7949,0,-1,12446,13284,299,91,33.5623397827,-86.8237762451,00.71 ,-00.08 ,-00.25 ,06.6 ,354 ,00.76 ,206
12/02/2020 11:24:14.097,0,239.883,99.0000,3.90425,5629.27,16.5912,0,-1,12431,13236,298,91,33.5623397827,-86.8237762451,00.59 ,-00.13 ,-00.31 ,07.0 ,347 ,00.68 ,205
12/02/2020 11:24:15.121,0,240.099,99.0000,3.90919,5632.1,16.456,0,-1,12450,13312,298,91,33.5623397827,-86.8237762451,00.31 ,-00.42 ,-00.18 ,08.6 ,307 ,00.55 ,205
12/02/2020 11:24:16.145,0,239.857,99.0000,3.91043,5643.85,16.9666,0,-1,12429,13221,291,91,33.5623397827,-86.8237762451,00.30 ,-00.29 ,-00.16 ,07.8 ,316 ,00.44 ,205
12/02/2020 11:24:17.169,0,240.039,99.0000,3.90946,5640.39,16.1608,-0.124732,-1,12446,13340,299,91,33.5623397827,-86.8237762451,00.23 ,-00.30 ,-00.17 ,07.8 ,307 ,00.42 ,206
12/02/2020 11:24:18.296,0,240.032,99.0000,3.91234,5649,16.0128,-0.309175,-1,12436,13265,291,91,33.5623397827,-86.8237762451,00.33 ,-00.21 ,-00.24 ,08.1 ,327 ,00.46 ,206
12/02/2020 11:24:19.320,0,240.001,99.0000,3.91551,5657.87,15.8661,-0.4884,-1,12440,13270,297,91,33.5623397827,-86.8237762451,00.16 ,-00.31 ,-00.26 ,08.0 ,297 ,00.44 ,206
12/02/2020 11:24:20.344,0,239.881,99.0000,3.90575,5665.36,15.6962,-0.319629,-1,12445,13364,294,91,33.5623397827,-86.8237762451,00.68 ,00.41 ,-00.18 ,07.7 ,031 ,00.81 ,205
12/02/2020 11:24:21.368,0,240.043,99.0000,3.90819,5671.82,16.0175,-0.295215,-1,12432,13230,291,91,33.5623397827,-86.8237762451,00.50 ,00.12 ,-00.27 ,07.5 ,013 ,00.58 ,205
12/02/2020 11:24:22.392,0,240.056,99.0000,3.90984,5669.87,15.8716,-0.307888,-1,12451,13337,301,91,33.5623397827,-86.8237762451,00.26 ,-00.18 ,-00.30 ,07.5 ,325 ,00.43 ,205
12/02/2020 11:24:23.416,0,240.013,99.0000,3.91177,5683.38,15.8034,-0.352455,-1,12426,13249,296,91,33.5623397827,-86.8237762451,00.44 ,00.24 ,-00.28 ,07.1 ,028 ,00.58 ,206
