,LeakName,Longitude,Latitude,Verified,TimesSeen,maxDist,mn_maxc2h6_ab,mn_maxch4_ab,threshold,First_Time,geometry,win,POLYGON,LEAKNUM,PolyLK
0,Spire_filter_1606822031.4,-86.8238344793078,33.563830197653004,True,2,5.034050082529843,0.4841899999999999,0.23491333333333345,0.05,2020-12-01 04:27:11,POINT (-86.82383447930781 33.563830197653),True,P3,1,P3L1
1,Spire_filter_1606822232.5,-86.82325409893686,33.55937942383481,True,2,20.040533916296013,1.2533487499999996,0.33592375,0.05,2020-12-01 04:30:32,POINT (-86.82325409893686 33.55937942383481),True,P3,2,P3L2
2,Spire_filter_1606822328.9,-86.82329765330067,33.556916282890064,True,2,11.787999264671502,1.0276825000000005,0.2218812499999999,0.05,2020-12-01 04:32:08,POINT (-86.82329765330067 33.55691628289006),True,P3,3,P3L3
3,Spire_filter_1606822409.3,-86.82921926018562,33.5551448882305,True,6,11.512788525661886,0.9046681250000002,0.25510390625,0.05,2020-12-01 04:33:29,POINT (-86.82921926018562 33.5551448882305),True,P3,5,P3L5
4,Spire_filter_1606822423.3,-86.82955771310688,33.555434196973216,True,5,7.182083804920483,1.3181287499999994,0.2955793749999999,0.05,2020-12-01 04:33:43,POINT (-86.82955771310688 33.55543419697322),True,P3,6,P3L6
5,Spire_filter_1606822547.3,-86.82202826380468,33.557139934614966,True,2,4.707184004671103,0.9937437499999991,0.18474375,0.05,2020-12-01 04:35:47,POINT (-86.82202826380468 33.55713993461497),True,P3,8,P3L8
6,Spire_filter_1606823141.8,-86.82004710570469,33.550087000464785,True,3,15.689628759182202,0.4457112499999999,0.13104562500000005,0.05,2020-12-01 04:45:41,POINT (-86.82004710570469 33.55008700046479),True,P3,13,P3L13
7,Spire_filter_1606823658.2,-86.81712208581176,33.55300235640556,True,2,9.116913545122996,0.6476765624999999,0.2359559375,0.05,2020-12-01 04:54:18,POINT (-86.81712208581176 33.55300235640556),True,P3,20,P3L20
8,Spire_filter_1606823773.1,-86.81782590262172,33.5517162108847,True,3,4.7350098517968275,1.3043933333333335,0.32285416666666666,0.05,2020-12-01 04:56:13,POINT (-86.81782590262172 33.5517162108847),True,P3,21,P3L21
9,Spire_filter_1606823791.5,-86.81628582582896,33.552243877715284,True,3,8.181992432019133,3.7665075000000012,0.34688083333333325,0.05,2020-12-01 04:56:31,POINT (-86.81628582582896 33.55224387771528),True,P3,22,P3L22
10,Spire_filter_1606823948.5,-86.82232548888943,33.55065119776753,True,2,14.814893660124955,0.8516083333333336,0.2488608333333333,0.05,2020-12-01 04:59:08,POINT (-86.82232548888943 33.55065119776753),True,P3,24,P3L24
11,Spire_filter_1606824008.1,-86.82800072252847,33.54895054139722,True,3,11.412913939786513,1.4807090000000007,0.237765,0.05,2020-12-01 05:00:08,POINT (-86.82800072252847 33.54895054139722),True,P3,25,P3L25
12,Spire_filter_1606824186.4,-86.81954970755852,33.55154894809511,True,4,16.277258480596842,1.3299454166666675,0.3171508333333332,0.05,2020-12-01 05:03:06,POINT (-86.81954970755852 33.55154894809511),True,P3,26,P3L26
13,Spire_filter_1606824318.9,-86.8137150895223,33.55262520822902,True,3,6.1456648344813125,2.27285,0.3366675,0.05,2020-12-01 05:05:18,POINT (-86.8137150895223 33.55262520822902),True,P3,27,P3L27
14,Spire_filter_1606824347.6,-86.81554316612265,33.551416320629265,True,2,19.451766091995985,0.9317562500000016,0.20606375,0.05,2020-12-01 05:05:47,POINT (-86.81554316612265 33.55141632062927),True,P3,28,P3L28
15,Spire_filter_1606824404.3,-86.81894352109323,33.550223288491175,True,3,15.203925421927993,1.706260000000001,0.2611115,0.05,2020-12-01 05:06:44,POINT (-86.81894352109323 33.55022328849117),True,P3,29,P3L29
16,Spire_filter_1606825199.1,-86.81734579022205,33.55414416386627,True,2,8.31960227565226,1.3662443750000004,0.3132675000000001,0.05,2020-12-01 05:19:59,POINT (-86.81734579022205 33.55414416386627),True,P3,31,P3L31
17,Spire_filter_1606825339.5,-86.82019027699394,33.55312124549849,True,3,14.447623582271538,0.5605824999999998,0.22516749999999988,0.05,2020-12-01 05:22:19,POINT (-86.82019027699394 33.55312124549849),True,P3,32,P3L32
18,Spire_filter_1606825426.8,-86.82771062026005,33.551085381865626,True,2,5.367794211686917,1.8155999999999977,0.2336675000000001,0.05,2020-12-01 05:23:46,POINT (-86.82771062026005 33.55108538186563),True,P3,34,P3L34
19,Spire_filter_1606825609.1,-86.81785674144726,33.5552725474621,True,2,4.42739275818386,0.9436775000000002,0.1382325000000001,0.05,2020-12-01 05:26:49,POINT (-86.81785674144726 33.5552725474621),True,P3,35,P3L35
20,Spire_filter_1606825737.2,-86.81941422911105,33.55475102261982,True,2,6.700641728895576,3.0375091666666663,0.2173541666666668,0.05,2020-12-01 05:28:57,POINT (-86.81941422911105 33.55475102261982),True,P3,36,P3L36
21,Spire_filter_1606825766.9,-86.822116502692,33.55397628021772,True,2,7.730964440074838,1.3981412500000021,0.2963649999999999,0.05,2020-12-01 05:29:26,POINT (-86.822116502692 33.55397628021772),True,P3,37,P3L37
22,Spire_filter_1606825795.6,-86.82667712254738,33.55258639913784,True,2,16.5021041094718,2.017475000000001,0.2998418749999999,0.05,2020-12-01 05:29:55,POINT (-86.82667712254738 33.55258639913784),True,P3,38,P3L38
23,Spire_filter_1606825894.9,-86.82491072290806,33.55305643835957,True,2,5.7694424200267775,1.5717037499999986,0.23877499999999985,0.05,2020-12-01 05:31:34,POINT (-86.82491072290806 33.55305643835957),True,P3,40,P3L40
24,Spire_filter_1606826022.9,-86.8196897769965,33.55596972194412,True,4,5.719199933909035,1.916902,0.30950350000000004,0.05,2020-12-01 05:33:42,POINT (-86.8196897769965 33.55596972194412),True,P3,42,P3L42
25,Spire_filter_1606826035.3,-86.81825323933153,33.5561120142959,True,2,5.079018004871695,0.2976224999999979,0.17254750000000008,0.05,2020-12-01 05:33:55,POINT (-86.81825323933153 33.5561120142959),True,P3,43,P3L43
26,Spire_filter_1606826050.6,-86.81648756689744,33.55619620448515,True,5,13.01061219517762,0.9754569999999996,0.2171075000000001,0.05,2020-12-01 05:34:10,POINT (-86.81648756689744 33.55619620448515),True,P3,44,P3L44
27,Spire_filter_1606826217.7,-86.82393277340425,33.554475930886944,True,2,13.503202480296444,0.864128749999999,0.28915124999999986,0.05,2020-12-01 05:36:57,POINT (-86.82393277340425 33.55447593088694),True,P3,46,P3L46
28,Spire_filter_1606826247.4,-86.82686282390135,33.55360274187523,True,4,3.6659653795906895,1.1315487499999994,0.27019125,0.05,2020-12-01 05:37:27,POINT (-86.82686282390135 33.55360274187523),True,P3,47,P3L47
29,Spire_filter_1606826463.5,-86.81757288219174,33.55745757602309,True,3,22.540353579662643,0.3959850000000003,0.2570316666666667,0.05,2020-12-01 05:41:03,POINT (-86.81757288219174 33.55745757602309),True,P3,50,P3L50
30,Spire_filter_1606826474.9,-86.81599167242564,33.55771046086744,True,3,9.848555954644302,1.5782925,0.28072666666666657,0.05,2020-12-01 05:41:14,POINT (-86.81599167242564 33.55771046086744),True,P3,51,P3L51
31,Spire_filter_1606826503.8,-86.81319118945518,33.558691656701924,True,2,1.3273878188759127,1.9722509999999998,0.3278125000000002,0.05,2020-12-01 05:41:43,POINT (-86.81319118945518 33.55869165670192),True,P3,52,P3L52
32,Spire_filter_1606826996.2,-86.82583355211942,33.55507373692375,True,2,28.29891208663493,2.677758333333333,0.35518,0.05,2020-12-01 05:49:56,POINT (-86.82583355211942 33.55507373692375),True,P3,55,P3L55
33,Spire_filter_1606827435.8,-86.81462555208994,33.55172982943437,True,3,9.178453468943678,1.0974805769230769,0.2943825,0.05,2020-12-01 05:57:15,POINT (-86.81462555208994 33.55172982943437),True,P3,57,P3L57
34,Spire_filter_1606828004.9,-86.81855844907568,33.5604706234893,True,2,12.73754166751313,1.0968162499999994,0.213035,0.05,2020-12-01 06:06:44,POINT (-86.81855844907568 33.5604706234893),True,P3,58,P3L58
35,Spire_filter_1606828075.9,-86.81743189719761,33.558297760068626,True,2,10.137479543635608,1.3524387500000006,0.19926500000000005,0.05,2020-12-01 06:07:55,POINT (-86.81743189719761 33.55829776006863),True,P3,59,P3L59
36,Spire_filter_1606828165.1,-86.81559746337228,33.553690547688696,True,2,13.605743703266555,1.255338333333334,0.2879825,0.05,2020-12-01 06:09:25,POINT (-86.81559746337228 33.5536905476887),True,P3,60,P3L60
37,Spire_filter_1606828200.9,-86.81510925290002,33.55274331969668,True,2,0.8483505728220085,0.9776200000000016,0.26468,0.05,2020-12-01 06:10:00,POINT (-86.81510925290002 33.55274331969668),True,P3,61,P3L61
38,Spire_filter_1606828215.3,-86.8143407235713,33.55283497245392,True,2,6.281353915586744,1.2985200000000008,0.2924000000000002,0.05,2020-12-01 06:10:15,POINT (-86.81434072357131 33.55283497245392),True,P3,62,P3L62
39,Spire_filter_1606828721.6,-86.81927665065109,33.55922951532274,True,2,8.847847779562773,0.6564287499999998,0.15026374999999992,0.05,2020-12-01 06:18:41,POINT (-86.81927665065109 33.55922951532274),True,P3,65,P3L65
40,Spire_filter_1606828869.8,-86.82238756032291,33.55816072143889,True,2,3.049247461185102,1.192855,0.2250514999999999,0.05,2020-12-01 06:21:09,POINT (-86.82238756032291 33.55816072143889),True,P3,67,P3L67
41,Spire_filter_1606829342.2,-86.82341445106495,33.55788440240759,True,2,10.457659778240911,1.1830641666666668,0.2361641666666669,0.05,2020-12-01 06:29:02,POINT (-86.82341445106495 33.55788440240759),True,P3,71,P3L71
42,Spire_filter_1606829467.2,-86.82153415178719,33.556272317786274,True,3,19.92910042371831,3.8809815000000003,0.44160350000000015,0.05,2020-12-01 06:31:07,POINT (-86.82153415178719 33.55627231778627),True,P3,72,P3L72
43,Spire_filter_1606829515.5,-86.82084668060014,33.554608045078076,True,2,17.929098718730575,2.227565,0.4086525000000001,0.05,2020-12-01 06:31:55,POINT (-86.82084668060014 33.55460804507808),True,P3,73,P3L73
44,Spire_filter_1606829623.2,-86.81850260736772,33.54895550417259,True,2,12.609495270561574,4.0407525,0.3222212500000001,0.05,2020-12-01 06:33:43,POINT (-86.81850260736772 33.54895550417259),True,P3,74,P3L74
45,Spire_filter_1606835269.3,-86.82614404817326,33.556019563779145,True,2,4.740345435809978,2.1725825000000007,0.1846350000000001,0.05,2020-12-01 08:07:49,POINT (-86.82614404817326 33.55601956377915),True,P3,77,P3L77
46,Spire_filter_1606835750.8,-86.82769455543848,33.55551475668986,True,4,5.6703031421189545,0.8791518750000001,0.2262631250000001,0.05,2020-12-01 08:15:50,POINT (-86.82769455543848 33.55551475668986),True,P3,79,P3L79
47,Spire_filter_1606836701.4,-86.82787294273638,33.55217115596548,True,2,18.691623232009004,1.4158616666666668,0.2644250000000001,0.05,2020-12-01 08:31:41,POINT (-86.82787294273638 33.55217115596548),True,P3,82,P3L82
48,Spire_filter_1606919196.3,-86.81930996140508,33.55394809547918,True,3,4.122357658090045,1.9043526875000003,0.30404125000000004,0.05,2020-12-02 07:26:36,POINT (-86.81930996140508 33.55394809547918),True,P3,87,P3L87
49,Spire_filter_1606923924.6,-86.82609798963814,33.55170271825642,True,2,4.853355506458482,1.7731699999999997,0.3492175000000002,0.05,2020-12-02 08:45:24,POINT (-86.82609798963814 33.55170271825642),True,P3,89,P3L89
