,min_read,overallLON,overallLAT,mnlogCH4,verified,numtimes,minDist,maxDist,mn_maxc2h6_ab,mn_maxch4_ab,geometry,recombine,em,threshold,First_Time
0,Spire_filter_1606822031.4,-86.82383447930782,33.563830197653004,-1.4518196938022498,True,2,0.4095468041131287,5.034050082529843,0.4841899999999999,0.23491333333333345,POINT (-86.82383447930782 33.563830197653),"['Spire_filter_1606822031.4', 'Spire_filter_1606822148.3', 'Spire_filter_1606909019.2']",0.07634632617738644,0.05,2020-12-01 04:27:11
1,Spire_filter_1606822060.2,-86.82251739820695,33.565629717014005,-1.1122839798253978,True,3,0.8073680252081106,5.691133365586173,2.15666875,0.33838125,POINT (-86.82251739820695 33.565629717014),"['Spire_filter_1606822060.2', 'Spire_filter_1606822092.0', 'Spire_filter_1606908991.2', 'Spire_filter_1607360952.1']",0.12047174856056438,0.05,2020-12-01 04:27:40
2,Spire_filter_1606822232.5,-86.82325409893686,33.55937942383481,-1.1890770728878237,True,2,2.021046103188473,20.040533916296013,1.2533487499999996,0.33592374999999997,POINT (-86.82325409893686 33.55937942383481),"['Spire_filter_1606822232.5', 'Spire_filter_1606829197.4']",0.108662933207131,0.05,2020-12-01 04:30:32
3,Spire_filter_1606822328.9,-86.82329004330694,33.55687840471147,-1.5588049288916785,True,3,4.575531094440684,12.079282145411096,0.9989716666666668,0.2404558333333333,POINT (-86.82329004330694 33.55687840471147),"['Spire_filter_1606822328.9', 'Spire_filter_1606834782.8', 'Spire_filter_1607348899.5']",0.06612553467894247,0.05,2020-12-01 04:32:08
4,Spire_filter_1606822375.1,-86.82693354725983,33.555764514550056,-1.809841976778819,False,1,11.270374595095616,11.270374595095616,0.14318999999999993,0.16368000000000027,POINT (-86.82693354725983 33.55576451455006),['Spire_filter_1606822375.1'],0.047196018080875306,0.05,2020-12-01 04:32:55
5,Spire_filter_1606822409.3,-86.8292345348513,33.55522589779822,-1.377014273342371,True,9,8.868468580836009e-06,11.512788525661886,1.3411260185185188,0.2615057407407408,POINT (-86.8292345348513 33.55522589779822),"['Spire_filter_1606822409.3', 'Spire_filter_1606822423.3', 'Spire_filter_1606822457.1', 'Spire_filter_1606836268.5', 'Spire_filter_1606836295.1', 'Spire_filter_1606836394.7', 'Spire_filter_1606836409.5', 'Spire_filter_1606836429.7', 'Spire_filter_1606836514.8', 'Spire_filter_1606836562.1', 'Spire_filter_1606836568.2', 'Spire_filter_1606837013.7', 'Spire_filter_1606837030.1', 'Spire_filter_1606837047.7', 'Spire_filter_1606924420.1', 'Spire_filter_1606925052.8', 'Spire_filter_1606925125.9', 'Spire_filter_1607344613.2', 'Spire_filter_1607348628.3', 'Spire_filter_1607348699.1', 'Spire_filter_1607358426.8', 'Spire_filter_1607358553.9', 'Spire_filter_1607358601.4', 'Spire_filter_1607358719.8', 'Spire_filter_1607358729.4', 'Spire_filter_1607358744.4', 'Spire_filter_1607358767.9']",0.08441745503698019,0.05,2020-12-01 04:33:29
6,Spire_filter_1606822409.3,-86.8292345348513,33.55522589779822,-1.377014273342371,True,10,8.868468580836009e-06,11.512788525661886,1.3411260185185188,0.2615057407407408,POINT (-86.8292345348513 33.55522589779822),"['Spire_filter_1606822409.3', 'Spire_filter_1606822423.3', 'Spire_filter_1606822457.1', 'Spire_filter_1606836268.5', 'Spire_filter_1606836295.1', 'Spire_filter_1606836394.7', 'Spire_filter_1606836409.5', 'Spire_filter_1606836429.7', 'Spire_filter_1606836514.8', 'Spire_filter_1606836562.1', 'Spire_filter_1606836568.2', 'Spire_filter_1606837013.7', 'Spire_filter_1606837030.1', 'Spire_filter_1606837047.7', 'Spire_filter_1606924420.1', 'Spire_filter_1606925052.8', 'Spire_filter_1606925125.9', 'Spire_filter_1607344613.2', 'Spire_filter_1607348628.3', 'Spire_filter_1607348699.1', 'Spire_filter_1607358426.8', 'Spire_filter_1607358553.9', 'Spire_filter_1607358601.4', 'Spire_filter_1607358719.8', 'Spire_filter_1607358729.4', 'Spire_filter_1607358744.4', 'Spire_filter_1607358767.9']",0.08441745503698019,0.05,2020-12-01 04:33:29
7,Spire_filter_1606822409.3,-86.8292345348513,33.55522589779822,-1.377014273342371,True,8,8.868468580836009e-06,11.512788525661886,1.3411260185185188,0.2615057407407408,POINT (-86.8292345348513 33.55522589779822),"['Spire_filter_1606822409.3', 'Spire_filter_1606822423.3', 'Spire_filter_1606822457.1', 'Spire_filter_1606836268.5', 'Spire_filter_1606836295.1', 'Spire_filter_1606836394.7', 'Spire_filter_1606836409.5', 'Spire_filter_1606836429.7', 'Spire_filter_1606836514.8', 'Spire_filter_1606836562.1', 'Spire_filter_1606836568.2', 'Spire_filter_1606837013.7', 'Spire_filter_1606837030.1', 'Spire_filter_1606837047.7', 'Spire_filter_1606924420.1', 'Spire_filter_1606925052.8', 'Spire_filter_1606925125.9', 'Spire_filter_1607344613.2', 'Spire_filter_1607348628.3', 'Spire_filter_1607348699.1', 'Spire_filter_1607358426.8', 'Spire_filter_1607358553.9', 'Spire_filter_1607358601.4', 'Spire_filter_1607358719.8', 'Spire_filter_1607358729.4', 'Spire_filter_1607358744.4', 'Spire_filter_1607358767.9']",0.08441745503698019,0.05,2020-12-01 04:33:29
8,Spire_filter_1606822423.3,-86.82959854329512,33.5553820530207,-1.374720650077898,True,10,0.783962485372049,7.182083804920483,1.3528116666666665,0.26243250000000007,POINT (-86.82959854329512 33.5553820530207),"['Spire_filter_1606822423.3', 'Spire_filter_1606822457.1', 'Spire_filter_1606836153.8', 'Spire_filter_1606836295.1', 'Spire_filter_1606836394.7', 'Spire_filter_1606836409.5', 'Spire_filter_1606836514.8', 'Spire_filter_1606836562.1', 'Spire_filter_1606836568.2', 'Spire_filter_1606837013.7', 'Spire_filter_1606837030.1', 'Spire_filter_1606837047.7', 'Spire_filter_1606924420.1', 'Spire_filter_1606925052.8', 'Spire_filter_1606925125.9', 'Spire_filter_1607344613.2', 'Spire_filter_1607348628.3', 'Spire_filter_1607348699.1', 'Spire_filter_1607358426.8', 'Spire_filter_1607358553.9', 'Spire_filter_1607358601.4', 'Spire_filter_1607358719.8', 'Spire_filter_1607358729.4', 'Spire_filter_1607358744.4', 'Spire_filter_1607358767.9']",0.08467796952560537,0.05,2020-12-01 04:33:43
9,Spire_filter_1606822423.3,-86.82959854329512,33.5553820530207,-1.374720650077898,True,4,0.783962485372049,7.182083804920483,1.3528116666666665,0.26243250000000007,POINT (-86.82959854329512 33.5553820530207),"['Spire_filter_1606822423.3', 'Spire_filter_1606822457.1', 'Spire_filter_1606836153.8', 'Spire_filter_1606836295.1', 'Spire_filter_1606836394.7', 'Spire_filter_1606836409.5', 'Spire_filter_1606836514.8', 'Spire_filter_1606836562.1', 'Spire_filter_1606836568.2', 'Spire_filter_1606837013.7', 'Spire_filter_1606837030.1', 'Spire_filter_1606837047.7', 'Spire_filter_1606924420.1', 'Spire_filter_1606925052.8', 'Spire_filter_1606925125.9', 'Spire_filter_1607344613.2', 'Spire_filter_1607348628.3', 'Spire_filter_1607348699.1', 'Spire_filter_1607358426.8', 'Spire_filter_1607358553.9', 'Spire_filter_1607358601.4', 'Spire_filter_1607358719.8', 'Spire_filter_1607358729.4', 'Spire_filter_1607358744.4', 'Spire_filter_1607358767.9']",0.08467796952560537,0.05,2020-12-01 04:33:43
10,Spire_filter_1606822423.3,-86.82959854329512,33.5553820530207,-1.374720650077898,True,9,0.783962485372049,7.182083804920483,1.3528116666666665,0.26243250000000007,POINT (-86.82959854329512 33.5553820530207),"['Spire_filter_1606822423.3', 'Spire_filter_1606822457.1', 'Spire_filter_1606836153.8', 'Spire_filter_1606836295.1', 'Spire_filter_1606836394.7', 'Spire_filter_1606836409.5', 'Spire_filter_1606836514.8', 'Spire_filter_1606836562.1', 'Spire_filter_1606836568.2', 'Spire_filter_1606837013.7', 'Spire_filter_1606837030.1', 'Spire_filter_1606837047.7', 'Spire_filter_1606924420.1', 'Spire_filter_1606925052.8', 'Spire_filter_1606925125.9', 'Spire_filter_1607344613.2', 'Spire_filter_1607348628.3', 'Spire_filter_1607348699.1', 'Spire_filter_1607358426.8', 'Spire_filter_1607358553.9', 'Spire_filter_1607358601.4', 'Spire_filter_1607358719.8', 'Spire_filter_1607358729.4', 'Spire_filter_1607358744.4', 'Spire_filter_1607358767.9']",0.08467796952560537,0.05,2020-12-01 04:33:43
11,Spire_filter_1606822505.3,-86.82536262675183,33.556250044221514,-1.0232473629130285,True,2,1.6198443667962863,2.0646611749611616,1.74943125,0.36025624999999994,POINT (-86.82536262675183 33.55625004422151),"['Spire_filter_1606822505.3', 'Spire_filter_1607358397.1']",0.13577890622207786,0.05,2020-12-01 04:35:05
12,Spire_filter_1606822505.3,-86.82536262675183,33.556250044221514,-1.0232473629130285,True,3,1.6198443667962863,2.0646611749611616,1.74943125,0.36025624999999994,POINT (-86.82536262675183 33.55625004422151),"['Spire_filter_1606822505.3', 'Spire_filter_1607358397.1']",0.13577890622207786,0.05,2020-12-01 04:35:05
13,Spire_filter_1606822547.3,-86.82159498582676,33.556509898694834,-1.3412728045539928,True,7,1.527625232711216e-05,19.92910042371831,2.5936109374999994,0.35523531250000007,POINT (-86.82159498582676 33.55650989869483),"['Spire_filter_1606822547.3', 'Spire_filter_1606829381.1', 'Spire_filter_1606909639.4', 'Spire_filter_1606909943.5', 'Spire_filter_1606909953.8', 'Spire_filter_1607357237.4', 'Spire_filter_1607358015.1', 'Spire_filter_1607361961.6']",0.08856968179997626,0.05,2020-12-01 04:35:47
14,Spire_filter_1606822669.6,-86.8188968116147,33.55794406797679,-1.3656014327358623,True,2,12.866615230166536,21.94356928474188,1.4955537499999996,0.2792262500000001,POINT (-86.81889681161471 33.55794406797679),"['Spire_filter_1606822669.6', 'Spire_filter_1607349013.8']",0.08572172612276578,0.05,2020-12-01 04:37:49
15,Spire_filter_1606822755.6,-86.81591946910262,33.550705092908885,-1.2710679040558515,True,3,1.8381114659739008,7.231019874101938,0.8600274166666658,0.2838829166666667,POINT (-86.81591946910262 33.55070509290888),"['Spire_filter_1606822755.6', 'Spire_filter_1607338526.1', 'Spire_filter_1607338538.4', 'Spire_filter_1607349435.9']",0.09732963419237456,0.05,2020-12-01 04:39:15
16,Spire_filter_1606822755.6,-86.81591946910262,33.550705092908885,-1.2710679040558515,True,5,1.8381114659739008,7.231019874101938,0.8600274166666658,0.2838829166666667,POINT (-86.81591946910262 33.55070509290888),"['Spire_filter_1606822755.6', 'Spire_filter_1607338526.1', 'Spire_filter_1607338538.4', 'Spire_filter_1607349435.9']",0.09732963419237456,0.05,2020-12-01 04:39:15
17,Spire_filter_1606822810.2,-86.81701213655334,33.549847758720674,-1.5355836738587092,True,3,0.12250695530627452,6.701111253300399,1.243903333333332,0.22676083333333322,POINT (-86.81701213655334 33.54984775872067),"['Spire_filter_1606822810.2', 'Spire_filter_1607354571.5', 'Spire_filter_1607362755.4']",0.06822087621719873,0.05,2020-12-01 04:40:10
18,Spire_filter_1606822948.2,-86.81558865245931,33.55008972284084,-1.380093625478286,True,3,0.5771725639634795,0.5771725639634795,1.0219549999999984,0.2515550000000002,POINT (-86.81558865245931 33.55008972284084),"['Spire_filter_1606822948.2', 'Spire_filter_1607338526.1', 'Spire_filter_1607338538.4', 'Spire_filter_1607349435.9']",0.08406895574649426,0.05,2020-12-01 04:42:28
19,Spire_filter_1606823141.8,-86.82022589862596,33.550043328221875,-1.8709837655159276,True,5,0.6687897898939958,15.689628759182202,1.2623916666666666,0.16194125,POINT (-86.82022589862596 33.55004332822188),"['Spire_filter_1606823141.8', 'Spire_filter_1606824419.7', 'Spire_filter_1606824425.9', 'Spire_filter_1606829738.3', 'Spire_filter_1607349481.1', 'Spire_filter_1607361208.1']",0.043474349267073706,0.05,2020-12-01 04:45:41
20,Spire_filter_1606823277.6,-86.82903519099025,33.5473923045076,-1.8211470861226458,False,1,6.977991497686488,6.977991497686488,-0.1837700000000005,0.1618400000000002,POINT (-86.82903519099025 33.5473923045076),['Spire_filter_1606823277.6'],0.04648464949895619,0.05,2020-12-01 04:47:57
21,Spire_filter_1606823308.4,-86.82770441209152,33.54822951246617,-1.3585663577357037,True,8,0.6717284300205577,33.45749185872189,2.5302407857142852,0.27757553571428567,POINT (-86.82770441209152 33.54822951246617),"['Spire_filter_1606823308.4', 'Spire_filter_1606924788.4', 'Spire_filter_1606924820.1', 'Spire_filter_1606924878.5', 'Spire_filter_1606925321.7', 'Spire_filter_1607346020.3', 'Spire_filter_1607346020.3', 'Spire_filter_1607349523.2', 'Spire_filter_1607349523.2', 'Spire_filter_1607349534.5', 'Spire_filter_1607349534.5', 'Spire_filter_1607349698.3', 'Spire_filter_1607349698.3', 'Spire_filter_1607349721.2', 'Spire_filter_1607349721.2', 'Spire_filter_1607354898.2', 'Spire_filter_1607354898.2', 'Spire_filter_1607355007.9', 'Spire_filter_1607355007.9', 'Spire_filter_1607355435.1', 'Spire_filter_1607355435.1', 'Spire_filter_1607355872.7', 'Spire_filter_1607355872.7']",0.08653572122202119,0.05,2020-12-01 04:48:28
22,Spire_filter_1606823308.4,-86.82770441209152,33.54822951246617,-1.3585663577357037,True,10,0.6717284300205577,33.45749185872189,2.5302407857142852,0.27757553571428567,POINT (-86.82770441209152 33.54822951246617),"['Spire_filter_1606823308.4', 'Spire_filter_1606924788.4', 'Spire_filter_1606924820.1', 'Spire_filter_1606924878.5', 'Spire_filter_1606925321.7', 'Spire_filter_1607346020.3', 'Spire_filter_1607346020.3', 'Spire_filter_1607349523.2', 'Spire_filter_1607349523.2', 'Spire_filter_1607349534.5', 'Spire_filter_1607349534.5', 'Spire_filter_1607349698.3', 'Spire_filter_1607349698.3', 'Spire_filter_1607349721.2', 'Spire_filter_1607349721.2', 'Spire_filter_1607354898.2', 'Spire_filter_1607354898.2', 'Spire_filter_1607355007.9', 'Spire_filter_1607355007.9', 'Spire_filter_1607355435.1', 'Spire_filter_1607355435.1', 'Spire_filter_1607355872.7', 'Spire_filter_1607355872.7']",0.08653572122202119,0.05,2020-12-01 04:48:28
