Time Stamp,Inlet Number,P (mbars),T (degC),CH4 (ppm),H2O (ppm),C2H6 (ppb),R,C2/C1,Battery Charge (V),Power Input (mV),Current (mA),SOC (%),Latitude,Longitude,U (m/sec),V (m/sec),W (m/sec),T (degC),Dir (deg),Speed (m/sec),Compass (deg)
12/01/2020 11:25:08.294,0,240.136,99.0000,3.61395,6483.88,15.1159,0,-1,12429,13409,290,90,33.5623207092,-86.8238983154,01.53 ,00.64 ,-00.13 ,03.5 ,023 ,01.66 ,221
12/01/2020 11:25:09.318,0,239.921,99.0000,3.61028,6478.54,15.0511,0,-1,12429,13409,290,90,33.5623207092,-86.8238983154,01.72 ,01.14 ,00.04 ,03.7 ,034 ,02.07 ,221
12/01/2020 11:25:10.342,0,239.815,99.0000,3.60367,6483.84,14.9876,0,-1,12431,13439,289,90,33.5623207092,-86.8238983154,01.75 ,00.54 ,-00.06 ,03.8 ,017 ,01.83 ,221
12/01/2020 11:25:11.366,0,240.042,99.0000,3.61001,6482.31,14.7915,0,-1,12427,13419,288,90,33.5623207092,-86.8238983154,01.52 ,01.02 ,00.02 ,03.9 ,034 ,01.83 ,221
12/01/2020 11:25:12.390,0,240.044,99.0000,3.6085,6484.41,14.7214,0,-1,12431,13446,296,90,33.5623207092,-86.8238983154,01.17 ,01.18 ,00.06 ,04.3 ,045 ,01.67 ,221
12/01/2020 11:25:13.414,0,240.093,99.0000,3.60496,6461.73,14.939,0,-1,12435,13464,300,90,33.5623207092,-86.8238983154,01.24 ,01.22 ,00.10 ,04.0 ,045 ,01.74 ,222
12/01/2020 11:25:14.438,0,240.026,99.0000,3.60955,6467.36,14.4422,0,-1,12435,13464,300,90,33.5623207092,-86.8238983154,00.64 ,00.72 ,00.04 ,03.9 ,048 ,00.97 ,221
12/01/2020 11:25:15.462,0,239.928,99.0000,3.60878,6461.97,13.9796,0,-1,12426,13401,290,90,33.5623207092,-86.8238983154,00.40 ,00.40 ,-00.10 ,03.9 ,045 ,00.58 ,221
12/01/2020 11:25:16.486,0,240.083,99.0000,3.61239,6447.49,14.625,0,-1,12435,13490,298,90,33.5623207092,-86.8238983154,01.06 ,00.01 ,-00.17 ,04.0 ,001 ,01.07 ,221
12/01/2020 11:25:17.510,0,239.857,99.0000,3.61021,6449.6,14.0946,-0.0751159,-1,12420,13380,294,90,33.5623207092,-86.8238983154,00.34 ,00.32 ,-00.07 ,04.2 ,044 ,00.47 ,221
12/01/2020 11:25:18.636,0,240.119,99.0000,3.60654,6448.43,13.586,0.122699,-1,12439,13471,296,90,33.5623207092,-86.8238983154,00.89 ,00.62 ,-00.14 ,04.0 ,035 ,01.09 ,222
12/01/2020 11:25:19.660,0,240.126,99.0000,3.60254,6443.81,14.2338,0.21145,-1,12415,13373,288,90,33.5623207092,-86.8238983154,01.13 ,00.52 ,-00.03 ,04.1 ,025 ,01.24 ,222
12/01/2020 11:25:20.684,0,239.92,99.0000,3.603,6444.14,13.7121,0.358703,-1,12419,13391,294,90,33.5623207092,-86.8238983154,01.12 ,-00.37 ,-00.04 ,04.2 ,342 ,01.18 ,221
12/01/2020 11:25:21.708,0,239.983,99.0000,3.60615,6458.35,13.4285,0.379437,-1,12439,13473,294,90,33.5623207092,-86.8238983154,01.70 ,-00.32 ,-00.21 ,04.0 ,349 ,01.74 ,221
12/01/2020 11:25:22.732,0,239.945,99.0000,3.60155,6468.22,13.0885,0.519535,-1,12418,13376,292,90,33.5623207092,-86.8238983154,01.53 ,-00.21 ,-00.30 ,03.9 ,352 ,01.58 ,222
12/01/2020 11:25:23.756,0,240.033,99.0000,3.6032,6461.18,13.4555,0.563212,-1,12437,13459,293,90,33.5623207092,-86.8238983154,01.11 ,-01.16 ,-00.27 ,04.0 ,314 ,01.63 ,220
12/01/2020 11:25:24.780,0,239.984,99.0000,3.61193,6470.58,13.2699,0.39787,-1,12437,13459,293,90,33.5623207092,-86.8238983154,00.46 ,-00.63 ,-00.29 ,04.0 ,306 ,00.83 ,221
12/01/2020 11:25:25.804,0,239.976,99.0000,3.60331,6462.04,13.1292,0.450475,-1,12419,13356,289,90,33.5623207092,-86.8238983154,01.03 ,-00.30 ,-00.12 ,04.1 ,344 ,01.08 ,222
12/01/2020 11:25:26.828,0,239.893,99.0000,3.60877,6455.29,13.1646,0.397693,-1,12438,13484,293,90,33.5623207092,-86.8238983154,00.33 ,-01.18 ,00.10 ,04.1 ,285 ,01.23 ,221
12/01/2020 11:25:27.852,0,239.859,99.0000,3.60832,6448.74,14.0241,0.395503,-1,12417,13383,296,90,33.5623207092,-86.8238983154,00.84 ,00.12 ,-00.09 ,04.2 ,008 ,00.85 ,221
12/01/2020 11:25:28.876,0,239.98,99.0000,3.61098,6451.32,13.4185,0.33308,-1,12416,13385,291,90,33.5623207092,-86.8238983154,01.00 ,00.02 ,-00.01 ,04.3 ,001 ,01.00 ,221
