,LeakName,Longitude,Latitude,Verified,TimesSeen,maxDist,mn_maxc2h6_ab,mn_maxch4_ab,threshold,First_Time,geometry,win,POLYGON,LEAKNUM,PolyLK
0,Spire_filter_1606822031.4,-86.8238344793078,33.563830197653004,True,2,5.034050082529843,0.4841899999999999,0.23491333333333345,0.05,2020-12-01 04:27:11,POINT (-86.82383447930781 33.563830197653),True,P3,1,P3L1
1,Spire_filter_1606822232.5,-86.82325409893686,33.55937942383481,True,2,20.040533916296013,1.2533487499999996,0.33592375,0.05,2020-12-01 04:30:32,POINT (-86.82325409893686 33.55937942383481),True,P3,2,P3L2
2,Spire_filter_1606822328.9,-86.82329004330694,33.55687840471147,True,3,12.079282145411096,0.9989716666666668,0.2404558333333333,0.05,2020-12-01 04:32:08,POINT (-86.82329004330694 33.55687840471147),True,P3,3,P3L3
3,Spire_filter_1606822375.1,-86.82693354725983,33.555764514550056,False,1,11.270374595095616,0.14318999999999993,0.16368000000000027,0.05,2020-12-01 04:32:55,POINT (-86.82693354725983 33.55576451455006),True,P3,4,P3L4
4,Spire_filter_1606822409.3,-86.82923453485131,33.555225897798216,True,10,11.512788525661886,1.3411260185185188,0.2615057407407408,0.05,2020-12-01 04:33:29,POINT (-86.82923453485131 33.55522589779822),True,P3,5,P3L5
5,Spire_filter_1606822423.3,-86.82959854329512,33.5553820530207,True,10,7.182083804920483,1.3528116666666663,0.2624325000000001,0.05,2020-12-01 04:33:43,POINT (-86.82959854329512 33.5553820530207),True,P3,6,P3L6
6,Spire_filter_1606822505.3,-86.82536262675183,33.556250044221514,True,3,2.0646611749611616,1.74943125,0.36025624999999994,0.05,2020-12-01 04:35:05,POINT (-86.82536262675183 33.55625004422151),True,P3,7,P3L7
7,Spire_filter_1606822547.3,-86.82159498582676,33.556509898694834,True,7,19.92910042371831,2.5936109374999994,0.3552353125000001,0.05,2020-12-01 04:35:47,POINT (-86.82159498582676 33.55650989869483),True,P3,8,P3L8
8,Spire_filter_1606822669.6,-86.8188968116147,33.55794406797679,True,2,21.94356928474188,1.4955537499999996,0.2792262500000001,0.05,2020-12-01 04:37:49,POINT (-86.81889681161471 33.55794406797679),True,P3,9,P3L9
9,Spire_filter_1606822755.6,-86.81591946910262,33.550705092908885,True,5,7.231019874101938,0.8600274166666658,0.2838829166666667,0.05,2020-12-01 04:39:15,POINT (-86.81591946910262 33.55070509290888),True,P3,10,P3L10
10,Spire_filter_1606822810.2,-86.81701213655334,33.549847758720674,True,3,6.7011112533003985,1.243903333333332,0.2267608333333332,0.05,2020-12-01 04:40:10,POINT (-86.81701213655334 33.54984775872067),True,P3,11,P3L11
11,Spire_filter_1606822948.2,-86.81558865245931,33.55008972284084,True,3,0.5771725639634795,1.0219549999999984,0.2515550000000002,0.05,2020-12-01 04:42:28,POINT (-86.81558865245931 33.55008972284084),True,P3,12,P3L12
12,Spire_filter_1606823141.8,-86.82022589862595,33.550043328221875,True,5,15.689628759182202,1.2623916666666666,0.16194125,0.05,2020-12-01 04:45:41,POINT (-86.82022589862595 33.55004332822188),True,P3,13,P3L13
13,Spire_filter_1606823308.4,-86.82770441209152,33.54822951246617,True,10,33.45749185872189,2.530240785714285,0.2775755357142857,0.05,2020-12-01 04:48:28,POINT (-86.82770441209152 33.54822951246617),True,P3,14,P3L14
14,Spire_filter_1606823326.8,-86.82743916744225,33.54727927967011,True,8,0.7896208174158836,0.6751524999999998,0.2538075,0.05,2020-12-01 04:48:46,POINT (-86.82743916744225 33.54727927967011),True,P3,15,P3L15
15,Spire_filter_1606823430.3,-86.82799359302565,33.549934197316354,False,1,5.230413275237167,0.62469,0.15052999999999972,0.05,2020-12-01 04:50:30,POINT (-86.82799359302565 33.54993419731635),True,P3,16,P3L16
16,Spire_filter_1606823523.8,-86.8268538092858,33.55014665768768,True,2,8.883409380116131,1.4027049999999999,0.21081666666666665,0.05,2020-12-01 04:52:03,POINT (-86.82685380928579 33.55014665768768),True,P3,17,P3L17
17,Spire_filter_1606823566.8,-86.82166381180599,33.55178441091041,False,1,4.564322327535434,0.266635,0.11831749999999985,0.05,2020-12-01 04:52:46,POINT (-86.82166381180599 33.55178441091041),True,P3,18,P3L18
18,Spire_filter_1606823593.5,-86.82008887116766,33.55245928946363,True,7,24.82226989874934,4.404519583333333,0.4785416666666666,0.05,2020-12-01 04:53:13,POINT (-86.82008887116766 33.55245928946363),True,P3,19,P3L19
19,Spire_filter_1606823658.2,-86.81718037242439,33.55305123360556,True,4,9.132365446012225,0.64910875,0.22263175,0.05,2020-12-01 04:54:18,POINT (-86.81718037242439 33.55305123360556),True,P3,20,P3L20
20,Spire_filter_1606823773.1,-86.81762552020193,33.55186313447493,True,5,17.00600546105884,3.175145,0.4345833333333333,0.05,2020-12-01 04:56:13,POINT (-86.81762552020193 33.55186313447493),True,P3,21,P3L21
21,Spire_filter_1606823791.5,-86.81645107596924,33.55220059531005,True,4,12.892923487712293,4.7685755,0.376274,0.05,2020-12-01 04:56:31,POINT (-86.81645107596924 33.55220059531005),True,P3,22,P3L22
22,Spire_filter_1606823926.8,-86.82038757542482,33.55105149967923,True,6,17.97393599958538,7.7198135714285705,0.7190685714285713,0.05,2020-12-01 04:58:46,POINT (-86.82038757542482 33.55105149967923),True,P3,23,P3L23
23,Spire_filter_1606823948.5,-86.82232548888943,33.55065119776753,True,2,14.814893660124955,0.8516083333333336,0.2488608333333333,0.05,2020-12-01 04:59:08,POINT (-86.82232548888943 33.55065119776753),True,P3,24,P3L24
24,Spire_filter_1606824008.1,-86.8279035883883,33.548848059763586,True,8,3.0854693467195613,1.255575000000001,0.2693,0.05,2020-12-01 05:00:08,POINT (-86.8279035883883 33.54884805976359),True,P3,25,P3L25
25,Spire_filter_1606824186.4,-86.81955240066186,33.55152990964963,True,6,10.143039166039038,1.848465000000002,0.3941083333333333,0.05,2020-12-01 05:03:06,POINT (-86.81955240066186 33.55152990964963),True,P3,26,P3L26
26,Spire_filter_1606824318.9,-86.8137150895223,33.55262520822902,True,3,6.1456648344813125,2.27285,0.3366675,0.05,2020-12-01 05:05:18,POINT (-86.8137150895223 33.55262520822902),True,P3,27,P3L27
27,Spire_filter_1606824347.6,-86.81554316612265,33.551416320629265,True,4,19.451766091995985,0.9317562500000016,0.20606375,0.05,2020-12-01 05:05:47,POINT (-86.81554316612265 33.55141632062927),True,P3,28,P3L28
28,Spire_filter_1606824404.3,-86.81896251461023,33.55024902756144,True,6,15.203925421927993,1.4297200000000003,0.2276867857142857,0.05,2020-12-01 05:06:44,POINT (-86.81896251461023 33.55024902756144),True,P3,29,P3L29
29,Spire_filter_1606824698.7,-86.82655874553284,33.54811391935445,True,8,17.827095980117072,5.048719999999999,0.4026099999999997,0.05,2020-12-01 05:11:38,POINT (-86.82655874553284 33.54811391935445),True,P3,30,P3L30
30,Spire_filter_1606825199.1,-86.81736247768472,33.554177545253125,True,4,8.31960227565226,1.3353535000000003,0.2939660000000001,0.05,2020-12-01 05:19:59,POINT (-86.81736247768472 33.55417754525313),True,P3,31,P3L31
31,Spire_filter_1606825339.5,-86.82027612139757,33.553466572063044,True,4,5.094438202529074,0.24105624999999956,0.13065249999999995,0.05,2020-12-01 05:22:19,POINT (-86.82027612139757 33.55346657206304),True,P3,32,P3L32
32,Spire_filter_1606825384.6,-86.82188226325067,33.55284389769713,True,2,12.202491498670444,1.5506799999999998,0.2997225,0.05,2020-12-01 05:23:04,POINT (-86.82188226325067 33.55284389769713),True,P3,33,P3L33
33,Spire_filter_1606825426.8,-86.8275962965574,33.55118513611199,True,3,18.11956079692116,1.427294999999999,0.24995625,0.05,2020-12-01 05:23:46,POINT (-86.8275962965574 33.55118513611199),True,P3,34,P3L34
34,Spire_filter_1606825609.1,-86.81786618418883,33.55515868721798,True,3,4.42739275818386,0.8438953333333336,0.26939833333333324,0.05,2020-12-01 05:26:49,POINT (-86.81786618418883 33.55515868721798),True,P3,35,P3L35
35,Spire_filter_1606825737.2,-86.8193490295735,33.55424820580313,True,5,6.700641728895576,2.17229153125,0.2447731250000001,0.05,2020-12-01 05:28:57,POINT (-86.8193490295735 33.55424820580313),True,P3,36,P3L36
36,Spire_filter_1606825766.9,-86.822116502692,33.55397628021772,True,2,7.730964440074838,1.3981412500000021,0.2963649999999999,0.05,2020-12-01 05:29:26,POINT (-86.822116502692 33.55397628021772),True,P3,37,P3L37
37,Spire_filter_1606825795.6,-86.82667712254738,33.55258639913784,True,2,16.5021041094718,2.017475000000001,0.2998418749999999,0.05,2020-12-01 05:29:55,POINT (-86.82667712254738 33.55258639913784),True,P3,38,P3L38
38,Spire_filter_1606825809.9,-86.82924072619366,33.55197820031149,True,3,21.48489465275321,1.6699008333333338,0.31406999999999996,0.05,2020-12-01 05:30:09,POINT (-86.82924072619366 33.55197820031149),True,P3,39,P3L39
39,Spire_filter_1606825894.9,-86.8249491050595,33.55307391063545,True,3,5.7694424200267775,1.487166666666666,0.2152991666666666,0.05,2020-12-01 05:31:34,POINT (-86.8249491050595 33.55307391063545),True,P3,40,P3L40
40,Spire_filter_1606825909.2,-86.8226912943762,33.55368776412978,False,1,0.8071839100231273,0.7777149999999997,0.2093299999999998,0.05,2020-12-01 05:31:49,POINT (-86.8226912943762 33.55368776412978),True,P3,41,P3L41
41,Spire_filter_1606826022.9,-86.81989587642862,33.556260615751576,True,7,12.888320608420816,1.7167179999999995,0.29615525000000004,0.05,2020-12-01 05:33:42,POINT (-86.81989587642862 33.55626061575158),True,P3,42,P3L42
42,Spire_filter_1606826035.3,-86.81826055756254,33.55610181909327,True,3,14.055476022635178,0.7032483333333328,0.2420216666666667,0.05,2020-12-01 05:33:55,POINT (-86.81826055756254 33.55610181909327),True,P3,43,P3L43
43,Spire_filter_1606826050.6,-86.81628759573992,33.555656421580096,True,8,25.41163835278043,1.0570006428571428,0.24511999999999998,0.05,2020-12-01 05:34:10,POINT (-86.81628759573992 33.5556564215801),True,P3,44,P3L44
44,Spire_filter_1606826189.1,-86.82244448506304,33.55490771789918,True,2,11.572990869079788,0.9886462500000004,0.33068875,0.05,2020-12-01 05:36:29,POINT (-86.82244448506304 33.55490771789918),True,P3,45,P3L45
45,Spire_filter_1606826217.7,-86.82393277340425,33.554475930886944,True,2,13.503202480296444,0.864128749999999,0.28915124999999986,0.05,2020-12-01 05:36:57,POINT (-86.82393277340425 33.55447593088694),True,P3,46,P3L46
46,Spire_filter_1606826247.4,-86.82684078596998,33.55363336482639,True,6,22.583478731346393,1.0169539285714284,0.2617317857142857,0.05,2020-12-01 05:37:27,POINT (-86.82684078596998 33.55363336482639),True,P3,47,P3L47
47,Spire_filter_1606826384.7,-86.82121676218675,33.55524201572905,True,5,18.783973773435388,1.216536875,0.23181,0.05,2020-12-01 05:39:44,POINT (-86.82121676218675 33.55524201572905),True,P3,48,P3L48
48,Spire_filter_1606826402.1,-86.82062645985302,33.555403387793085,True,3,2.283661877291184,0.8524099999999999,0.25888,0.05,2020-12-01 05:40:02,POINT (-86.82062645985302 33.55540338779308),True,P3,49,P3L49
49,Spire_filter_1606826463.5,-86.81728866347086,33.557601131828626,True,7,22.540353579662643,0.9919924999999998,0.2563538888888889,0.05,2020-12-01 05:41:03,POINT (-86.81728866347086 33.55760113182863),True,P3,50,P3L50
50,Spire_filter_1606826474.9,-86.81590415466411,33.55771260880318,True,5,19.314011309823336,3.2159025000000003,0.366175,0.05,2020-12-01 05:41:14,POINT (-86.81590415466411 33.55771260880318),True,P3,51,P3L51
51,Spire_filter_1606826503.8,-86.81319118945518,33.558691656701924,True,2,1.3273878188759127,1.9722509999999998,0.3278125000000002,0.05,2020-12-01 05:41:43,POINT (-86.81319118945518 33.55869165670192),True,P3,52,P3L52
52,Spire_filter_1606826615.8,-86.81173349010977,33.55898622103647,True,3,16.966654464681582,1.997301,0.3412645,0.05,2020-12-01 05:43:35,POINT (-86.81173349010977 33.55898622103647),True,P3,53,P3L53
53,Spire_filter_1606826713.4,-86.81154513216178,33.559668786219696,True,3,2.96502816523369,1.33786,0.29552,0.05,2020-12-01 05:45:13,POINT (-86.81154513216178 33.5596687862197),True,P3,54,P3L54
54,Spire_filter_1606826996.2,-86.82581934947098,33.555005964151576,True,3,28.29891208663493,3.180388,0.34736300000000003,0.05,2020-12-01 05:49:56,POINT (-86.82581934947098 33.55500596415158),True,P3,55,P3L55
55,Spire_filter_1606827145.7,-86.81842776515848,33.55715842566199,True,3,30.201307765725,1.6886016666666663,0.3573599999999999,0.05,2020-12-01 05:52:25,POINT (-86.81842776515848 33.55715842566199),True,P3,56,P3L56
56,Spire_filter_1606827435.8,-86.8146538495112,33.55178001228293,True,5,19.718520680057498,1.0616429411764707,0.2756205882352941,0.05,2020-12-01 05:57:15,POINT (-86.8146538495112 33.55178001228293),True,P3,57,P3L57
57,Spire_filter_1606828004.9,-86.81883481714928,33.5604530033424,True,3,12.73754166751313,1.5365608333333332,0.25784,0.05,2020-12-01 06:06:44,POINT (-86.81883481714928 33.5604530033424),True,P3,58,P3L58
