,min_read,overallLON,overallLAT,mnlogCH4,verified,numtimes,minDist,maxDist,mn_maxc2h6_ab,mn_maxch4_ab,geometry,recombine,em,threshold,First_Time
0,Spire_filter_1606822031.4,-86.82377400292721,33.56399260606699,-1.7500149358987218,True,3,0.0,0.6673215135397079,0.13021959999999977,0.17620239999999993,POINT (-86.82377400292721 33.56399260606699),"['Spire_filter_1606822031.4', 'Spire_filter_1606822148.3', 'Spire_filter_1606908939.5', 'Spire_filter_1606909019.2', 'Spire_filter_1607360601.1']",0.05114586847053335,0.05,2020-12-01 04:27:11
1,Spire_filter_1606822060.2,-86.82253531334244,33.565614535434946,-1.625150152887706,True,3,0.0,5.691133365586173,0.94305,0.19983299999999996,POINT (-86.82253531334244 33.56561453543495),"['Spire_filter_1606822060.2', 'Spire_filter_1606822092.0', 'Spire_filter_1606822105.3', 'Spire_filter_1606908963.6', 'Spire_filter_1606908991.2', 'Spire_filter_1607360953.1']",0.06048686292119872,0.05,2020-12-01 04:27:40
2,Spire_filter_1606822132.9,-86.82359313959999,33.5644302368,-2.394305722947836,True,3,0.0,0.0,0.27374399999999977,0.0912360000000001,POINT (-86.82359313959999 33.5644302368),"['Spire_filter_1606822132.9', 'Spire_filter_1606908939.5', 'Spire_filter_1606909019.2', 'Spire_filter_1607360601.1']",0.021523290383744446,0.05,2020-12-01 04:28:52
3,Spire_filter_1606822232.5,-86.82323446296932,33.55936295202881,-1.7117135346920074,True,2,0.0,20.040533916296013,0.9249093333333338,0.21647266666666667,POINT (-86.82323446296932 33.55936295202881),"['Spire_filter_1606822232.5', 'Spire_filter_1606829102.9', 'Spire_filter_1606829197.4']",0.053846433250160745,0.05,2020-12-01 04:30:32
4,Spire_filter_1606822340.2,-86.82321345745763,33.556851746785185,-1.2568472164581337,True,4,0.0,12.079282145411096,0.6972954999999996,0.28868849999999996,POINT (-86.82321345745763 33.55685174678518),"['Spire_filter_1606822340.2', 'Spire_filter_1606834782.8', 'Spire_filter_1607348899.5', 'Spire_filter_1607358007.9']",0.09920691394176143,0.05,2020-12-01 04:32:20
5,Spire_filter_1606822409.3,-86.82905862670574,33.55534432857485,-1.6998003037327272,True,11,0.0,9.506322224595248,0.9584376470588235,0.1985413529411765,POINT (-86.82905862670574 33.55534432857485),"['Spire_filter_1606822409.3', 'Spire_filter_1606822423.3', 'Spire_filter_1606822457.1', 'Spire_filter_1606822477.7', 'Spire_filter_1606835750.8', 'Spire_filter_1606836086.1', 'Spire_filter_1606836268.5', 'Spire_filter_1606836283.9', 'Spire_filter_1606836295.1', 'Spire_filter_1606836394.7', 'Spire_filter_1606836409.5', 'Spire_filter_1606836429.7', 'Spire_filter_1606836470.8', 'Spire_filter_1606836514.8', 'Spire_filter_1606836562.1', 'Spire_filter_1606836568.2', 'Spire_filter_1606837014.7', 'Spire_filter_1606837030.1', 'Spire_filter_1606837047.7', 'Spire_filter_1606924422.2', 'Spire_filter_1607344601.9', 'Spire_filter_1607344613.2', 'Spire_filter_1607345035.2', 'Spire_filter_1607348628.3', 'Spire_filter_1607348699.1', 'Spire_filter_1607348820.2', 'Spire_filter_1607358426.8', 'Spire_filter_1607358553.9', 'Spire_filter_1607358601.4', 'Spire_filter_1607358609.2', 'Spire_filter_1607358736.2', 'Spire_filter_1607358744.4']",0.05471514304046498,0.05,2020-12-01 04:33:29
6,Spire_filter_1606822409.3,-86.82905862670574,33.55534432857485,-1.6998003037327272,True,10,0.0,9.506322224595248,0.9584376470588235,0.1985413529411765,POINT (-86.82905862670574 33.55534432857485),"['Spire_filter_1606822409.3', 'Spire_filter_1606822423.3', 'Spire_filter_1606822457.1', 'Spire_filter_1606822477.7', 'Spire_filter_1606835750.8', 'Spire_filter_1606836086.1', 'Spire_filter_1606836268.5', 'Spire_filter_1606836283.9', 'Spire_filter_1606836295.1', 'Spire_filter_1606836394.7', 'Spire_filter_1606836409.5', 'Spire_filter_1606836429.7', 'Spire_filter_1606836470.8', 'Spire_filter_1606836514.8', 'Spire_filter_1606836562.1', 'Spire_filter_1606836568.2', 'Spire_filter_1606837014.7', 'Spire_filter_1606837030.1', 'Spire_filter_1606837047.7', 'Spire_filter_1606924422.2', 'Spire_filter_1607344601.9', 'Spire_filter_1607344613.2', 'Spire_filter_1607345035.2', 'Spire_filter_1607348628.3', 'Spire_filter_1607348699.1', 'Spire_filter_1607348820.2', 'Spire_filter_1607358426.8', 'Spire_filter_1607358553.9', 'Spire_filter_1607358601.4', 'Spire_filter_1607358609.2', 'Spire_filter_1607358736.2', 'Spire_filter_1607358744.4']",0.05471514304046498,0.05,2020-12-01 04:33:29
7,Spire_filter_1606822409.3,-86.82905862670574,33.55534432857485,-1.6998003037327272,True,8,0.0,9.506322224595248,0.9584376470588235,0.1985413529411765,POINT (-86.82905862670574 33.55534432857485),"['Spire_filter_1606822409.3', 'Spire_filter_1606822423.3', 'Spire_filter_1606822457.1', 'Spire_filter_1606822477.7', 'Spire_filter_1606835750.8', 'Spire_filter_1606836086.1', 'Spire_filter_1606836268.5', 'Spire_filter_1606836283.9', 'Spire_filter_1606836295.1', 'Spire_filter_1606836394.7', 'Spire_filter_1606836409.5', 'Spire_filter_1606836429.7', 'Spire_filter_1606836470.8', 'Spire_filter_1606836514.8', 'Spire_filter_1606836562.1', 'Spire_filter_1606836568.2', 'Spire_filter_1606837014.7', 'Spire_filter_1606837030.1', 'Spire_filter_1606837047.7', 'Spire_filter_1606924422.2', 'Spire_filter_1607344601.9', 'Spire_filter_1607344613.2', 'Spire_filter_1607345035.2', 'Spire_filter_1607348628.3', 'Spire_filter_1607348699.1', 'Spire_filter_1607348820.2', 'Spire_filter_1607358426.8', 'Spire_filter_1607358553.9', 'Spire_filter_1607358601.4', 'Spire_filter_1607358609.2', 'Spire_filter_1607358736.2', 'Spire_filter_1607358744.4']",0.05471514304046498,0.05,2020-12-01 04:33:29
8,Spire_filter_1606822423.3,-86.82943132275481,33.555270394936734,-1.685234418194178,True,11,0.0,7.182083804920483,0.6279452000000001,0.19934880000000005,POINT (-86.82943132275481 33.55527039493673),"['Spire_filter_1606822423.3', 'Spire_filter_1606822457.1', 'Spire_filter_1606830294.3', 'Spire_filter_1606836135.4', 'Spire_filter_1606836153.8', 'Spire_filter_1606836268.5', 'Spire_filter_1606836283.9', 'Spire_filter_1606836295.1', 'Spire_filter_1606836394.7', 'Spire_filter_1606836409.5', 'Spire_filter_1606836429.7', 'Spire_filter_1606836514.8', 'Spire_filter_1606836562.1', 'Spire_filter_1606836568.2', 'Spire_filter_1606837014.7', 'Spire_filter_1606837030.1', 'Spire_filter_1606837047.7', 'Spire_filter_1606924422.2', 'Spire_filter_1607344601.9', 'Spire_filter_1607344613.2', 'Spire_filter_1607345035.2', 'Spire_filter_1607348628.3', 'Spire_filter_1607348699.1', 'Spire_filter_1607348820.2', 'Spire_filter_1607358426.8', 'Spire_filter_1607358553.9', 'Spire_filter_1607358601.4', 'Spire_filter_1607358609.2', 'Spire_filter_1607358736.2', 'Spire_filter_1607358744.4']",0.05579634983188023,0.05,2020-12-01 04:33:43
9,Spire_filter_1606822423.3,-86.82943132275481,33.555270394936734,-1.685234418194178,True,5,0.0,7.182083804920483,0.6279452000000001,0.19934880000000005,POINT (-86.82943132275481 33.55527039493673),"['Spire_filter_1606822423.3', 'Spire_filter_1606822457.1', 'Spire_filter_1606830294.3', 'Spire_filter_1606836135.4', 'Spire_filter_1606836153.8', 'Spire_filter_1606836268.5', 'Spire_filter_1606836283.9', 'Spire_filter_1606836295.1', 'Spire_filter_1606836394.7', 'Spire_filter_1606836409.5', 'Spire_filter_1606836429.7', 'Spire_filter_1606836514.8', 'Spire_filter_1606836562.1', 'Spire_filter_1606836568.2', 'Spire_filter_1606837014.7', 'Spire_filter_1606837030.1', 'Spire_filter_1606837047.7', 'Spire_filter_1606924422.2', 'Spire_filter_1607344601.9', 'Spire_filter_1607344613.2', 'Spire_filter_1607345035.2', 'Spire_filter_1607348628.3', 'Spire_filter_1607348699.1', 'Spire_filter_1607348820.2', 'Spire_filter_1607358426.8', 'Spire_filter_1607358553.9', 'Spire_filter_1607358601.4', 'Spire_filter_1607358609.2', 'Spire_filter_1607358736.2', 'Spire_filter_1607358744.4']",0.05579634983188023,0.05,2020-12-01 04:33:43
