OP_NUM,OP_EPOCHSTART,OB_EPOCH,OB_DATETIME,OB_CH4,OB_LON,OB_LAT,OB_CH4_BASELINE,OB_CH4_THRESHOLD,OP_PEAK_DIST_M,OP_PEAK_CH4,OB_TCH4,OB_C2H6,OB_C2C1,OB_R,OB_C2H6_BASELINE,OB_PERIOD5MIN,ODOMETER,OB_U_AVG,OB_V_AVG,OB_W_AVG,OB_R_AVG,OB_THETA_AVG,OP_DISTANCE,Frequency,minElevated,OB_CH4_AB,OB_C2H6_AB
Spire_filter_1606908913.2,1606908913.2,1606908913.2,20201202113513,1.75847,-86.82369995120001,33.5627784729,1.6241640000000002,1.7053722000000002,0.0,0.0,1.75847,2.6633400000000003,-1.0,0.548349,2.414044,8563630,9.865949837009305,0.548349,13.384319970244146,9.74377109043034,0.9346666666666664,16.555394774169002,4.760318381681179,2,1,0.13430599999999981,0.24929600000000018
Spire_filter_1606908913.2,1606908913.2,1606908915.2,20201202113515,1.69294,-86.8237457275,33.5628890991,1.603258,1.6834209,13.011781755619971,1.1669226114075109,1.69294,2.80946,-1.0,0.5997399999999999,2.358504,8563630,14.626268218690484,0.5997399999999999,13.489622611610562,8.91068411735357,0.9083333333333332,16.166948062109068,4.760318381681179,2,1,0.08968199999999982,0.45095600000000013
Spire_filter_1606908939.5,1606908939.5,1606908939.5,20201202113539,1.81087,-86.8236160278,33.5643730164,1.603258,1.6834209,0.0,0.0,1.81087,2.37251,0.000803454,0.8492930000000001,2.358504,8563631,16.934959325722886,0.8492930000000001,7.703144385420978,10.167759352495509,0.6709999999999998,12.756244105256947,0.0,1,1,0.2076119999999999,0.014006000000000185
Spire_filter_1606908950.3,1606908950.3,1606908950.3,20201202113550,1.90136,-86.82325744629999,33.564956665,1.69294,1.7775869999999998,0.0,0.0,1.90136,2.61197,0.000932252,0.8543219999999999,2.58018,8563631,12.047828185713403,0.8543219999999999,5.225796799920186,13.749301628320268,0.6706666666666664,14.708917276964558,0.0,1,1,0.20842000000000005,0.031789999999999985
Spire_filter_1606908963.6,1606908963.6,1606908963.6,20201202113603,1.90894,-86.822517395,33.5656318665,1.719152,1.8051096000000002,0.0,0.0,1.90894,2.66548,0.000728751,0.829044,2.500476,8563632,11.70078921205043,0.829044,1.9078269388847957,16.30117224235088,0.8096666666666662,16.412434923055304,0.0,1,1,0.18978800000000007,0.16500400000000015
Spire_filter_1606908991.2,1606908991.2,1606908991.2,20201202113631,1.87452,-86.8226394653,33.5655250549,1.7264160000000002,1.8127368,0.0,0.0,1.87452,2.67842,-1.0,0.521389,2.386924,8563633,10.405040219646688,0.521389,0.0650195550981001,1.3682913863856778,0.2863333333333331,1.369835340689674,0.7938818988768279,2,1,0.1481039999999998,0.291496
Spire_filter_1606908991.2,1606908991.2,1606908992.2,20201202113632,1.84048,-86.8226776123,33.5654907227,1.7264160000000002,1.8127368,5.202519655077008,0.5934202019367025,1.84048,2.70691,-1.0,0.595877,2.386924,8563633,11.198922118523516,0.595877,0.11462911234606048,0.5291784876233687,0.2769999999999998,0.5414514799689826,0.7938818988768279,2,1,0.11406399999999972,0.3199860000000001
Spire_filter_1606909019.2,1606909019.2,1606909019.2,20201202113659,1.88791,-86.82376861569998,33.5640640259,1.7525099999999998,1.8401355,0.0,0.0,1.88791,2.09957,0.0007107939999999999,0.788684,2.412636,8563633,14.846668801704345,0.788684,0.08260341878322643,-8.708105902846643,0.3176666666666664,8.708497674110456,0.4095468041131287,2,1,0.1354000000000002,-0.31306600000000007
Spire_filter_1606909019.2,1606909019.2,1606909020.4,20201202113700,1.848,-86.8237915039,33.564002990700004,1.7525099999999998,1.8401355,7.110424250558619,0.678974411685843,1.848,2.31878,0.000725324,0.807855,2.412636,8563633,14.437121997591216,0.807855,-0.17718110399487738,-8.76598129394333,0.3016666666666664,8.767771734561594,0.4095468041131287,2,1,0.0954900000000003,-0.09385600000000016
Spire_filter_1606909089.6,1606909089.6,1606909089.6,20201202113809,1.81501,-86.8230743408,33.5610275269,1.6708759999999998,1.7544198,0.0,0.0,1.81501,2.48003,-1.0,0.551871,2.4558419999999996,8563636,5.564608572665699,0.551871,-9.419759376007251,-6.921365632274429,0.6283333333333333,11.689190259274001,0.0,1,1,0.1441340000000002,0.024188000000000542
