Time Stamp,Inlet Number,P (mbars),T (degC),CH4 (ppm),H2O (ppm),C2H6 (ppb),R,C2/C1,Battery Charge (V),Power Input (mV),Current (mA),SOC (%),Latitude,Longitude,U (m/sec),V (m/sec),W (m/sec),T (degC),Dir (deg),Speed (m/sec),Compass (deg)
12/07/2020 10:51:27.244,0,240.019,-27.9583,1.63576,6973.24,3.38227,0,-1,11925,12767,705,67,33.5458030701,-86.8151702881,-00.11 ,-02.41 ,-00.16 ,06.1 ,268 ,02.42 ,163
12/07/2020 10:51:28.268,0,240.034,-27.8890,1.64026,6978.15,3.61246,0,-1,11842,12761,686,67,33.5458030701,-86.8151702881,-00.24 ,-03.09 ,-00.26 ,06.1 ,266 ,03.11 ,163
12/07/2020 10:51:29.292,0,240.027,-27.8071,1.63977,6983.49,3.68921,0,-1,11915,12758,690,67,33.5458030701,-86.8151702881,-00.47 ,-03.16 ,-00.35 ,06.4 ,262 ,03.22 ,164
12/07/2020 10:51:30.316,0,239.924,-27.7237,1.63865,6999.76,4.1546,0,-1,11879,12752,693,67,33.5458030701,-86.8151702881,00.05 ,-02.90 ,-00.59 ,06.0 ,271 ,02.96 ,163
12/07/2020 10:51:31.340,0,239.995,-27.6524,1.63996,6997.88,3.86916,0,-1,11927,12736,693,67,33.5458030701,-86.8151626587,00.02 ,-02.29 ,-00.46 ,06.0 ,270 ,02.34 ,163
12/07/2020 10:51:32.364,0,240.051,-27.5717,1.64005,7005.87,4.16192,0,-1,11904,12750,708,67,33.5458030701,-86.8151626587,-00.03 ,-01.97 ,-00.36 ,06.1 ,269 ,02.00 ,163
12/07/2020 10:51:33.388,0,239.943,-27.5010,1.63916,7014.48,4.24642,0,-1,11929,12765,724,67,33.5458030701,-86.8151626587,-00.07 ,-02.38 ,-00.39 ,06.1 ,268 ,02.41 ,163
12/07/2020 10:51:34.412,0,239.979,-27.4268,1.63771,7006.5,4.45791,0,-1,11924,12754,706,67,33.5458030701,-86.8151626587,00.08 ,-01.98 ,-00.42 ,06.3 ,272 ,02.02 ,163
12/07/2020 10:51:35.436,0,240.068,-27.3499,1.63849,6995.98,4.29153,0,-1,11878,12721,689,67,33.5458030701,-86.8151626587,00.13 ,-01.16 ,-00.36 ,06.2 ,276 ,01.22 ,164
12/07/2020 10:51:36.460,0,240.007,-27.2735,1.63766,6987.93,4.53035,-0.00864949,-1,11878,12721,689,67,33.5458030701,-86.8151626587,00.27 ,-01.68 ,-00.32 ,06.2 ,279 ,01.73 ,163
12/07/2020 10:51:37.484,0,239.97,-27.2002,1.64053,6989.99,4.39887,0.0988828,-1,11880,12751,712,67,33.5458030701,-86.8151626587,-00.06 ,-02.24 ,-00.37 ,06.1 ,268 ,02.27 ,163
12/07/2020 10:51:38.508,0,239.988,-27.1225,1.63825,6990.67,4.61605,0.0354674,-1,11899,12726,687,67,33.5458030701,-86.8151626587,-00.02 ,-02.99 ,-00.57 ,06.2 ,270 ,03.05 ,163
