OBJECTID_1,FID_spireM,OBJECTID,LEAKSURVEY,LEAKSURV_1,LASTSURVEY,LEAKSURV_2,SURVEYAREA,TARGETMONT,COMMENTS,SURVEYCYCL,HCA,SHAPE_Leng,Polygon,FID_techFi,OBJECTID__,Survey_Typ,Leak_Locat,Leak_Grade,Marked_Fla,Leak_Loc_1,Probable_S,Gas_In,Surface_Ty,CGI_Test_G,CGI_Test_L,CGI_Test_P,Detected_B,Meter_Numb,Confirm_Me,House_Numb,Street,Street_2,Apt_Suite,City,Comments_1,Survey_Yea,Survey_Con,Grade_1_No,PRESSURETY,CreationDa,Creator,EditDate,Editor,NOTIFICATI,REPORTNUMB,NOTSTATUS,Work_Locat,X,Y,geometry
1,10,16,OPE 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22664.9371603,16,206,23814,3 Year,Underground,Grade 1,Yes,<Null>,Main,<10' FRM Building,Unsurfaced,2,<Null>,<Null>,CGI,<Null>,<Null>,907,S Seale Road,<Null>,<Null>,Phenix City,<Null>,2020,Southern Cross,<Null>,<Null>,2020-05-08,joshua.stroud1,2020-05-08,joshua.stroud1,0,9200023814,<Null>,<Null>,-85.013708,32.428341,"c(-85.013708, 32.428341)"
2,11,15,OPE 3YR A,NA,NA,NA,NA,NA,NA,NA,N,31072.574880700002,15,202,23406,5 Year,Underground,Grade 3,Yes,Service Riser,Service,<Null>,Unsurfaced,<Null>,<Null>,50,Soap,BA376390,BA376390,0,10TH AVE S,<Null>,<Null>,Phoenix city,<Null>,2020,Southern Cross,<Null>,<Null>,2020-04-28,Quentin.Seawright1,2020-04-28,Quentin.Seawright1,10582269,9200023406,<Null>,<Null>,-85.004269,32.444871,"c(-85.004269, 32.444871)"
3,11,15,OPE 3YR A,NA,NA,NA,NA,NA,NA,NA,N,31072.574880700002,15,201,23405,3 Year,Underground,Grade 3,Yes,Service Riser,Service,<Null>,Unsurfaced,<Null>,<Null>,50,Soap,BA381129,BA381129,101,10th Ave S,<Null>,44A,Phoenix city,Apt/Suite 44A,2020,Southern Cross,<Null>,<Null>,2020-04-28,Quentin.Seawright1,2020-04-28,Quentin.Seawright1,10582268,9200023405,<Null>,<Null>,-85.003932,32.445216,"c(-85.003932, 32.4452160000001)"
4,11,15,OPE 3YR A,NA,NA,NA,NA,NA,NA,NA,N,31072.574880700002,15,205,23771,3 Year,Underground,Grade 1,<Null>,<Null>,Main,Foundation,Concrete,<Null>,<Null>,50,Odor,no meter,<Null>,314,11th,<Null>,<Null>,Phoenix city,<Null>,2020,Southern Cross,<Null>,<Null>,2020-05-07,Quentin.Seawright1,2020-05-07,Quentin.Seawright1,0,9200023771,<Null>,<Null>,-85.008487,32.451727,"c(-85.0084869999999, 32.4517270000001)"
5,12,14,OPE 3YR A,NA,NA,NA,NA,NA,NA,NA,N,47142.777993,14,207,23884,3 Year,Underground,Grade 2,Yes,<Null>,Main,Curb,Unsurfaced,8,<Null>,<Null>,CGI,<Null>,<Null>,100,28th Ave,<Null>,<Null>,<Null>,<Null>,2020,Southern Cross,<Null>,<Null>,2020-05-12,joshua.stroud1,2020-05-12,joshua.stroud1,10582836,9200023884,<Null>,<Null>,-85.03306,32.464396,"c(-85.03306, 32.4643960000001)"
6,12,14,OPE 3YR A,NA,NA,NA,NA,NA,NA,NA,N,47142.777993,14,203,23422,3 Year,Underground,Grade 3,Yes,Service Cock,Service,<Null>,Unsurfaced,<Null>,<Null>,50,Soap,BA692708,BA692708,1114,16th Ave,<Null>,<Null>,Phenix City,<Null>,2020,Southern Cross,<Null>,<Null>,2020-04-28,joshua.stroud1,2020-04-28,joshua.stroud1,10582271,9200023422,<Null>,<Null>,-85.014959,32.468157,"c(-85.014959, 32.4681570000001)"
7,13,13,OPE 3YR A,NA,NA,NA,NA,NA,NA,NA,N,26957.3052458,13,183,22847,3 Year,Underground,Grade 2,Yes,<Null>,Main,Curb,Unsurfaced,12,<Null>,<Null>,CGI,<Null>,<Null>,1979,20TH AVE,<Null>,<Null>,Phenix City,<Null>,2020,Southern Cross,<Null>,<Null>,2020-04-16,joshua.stroud1,2020-04-16,joshua.stroud1,10581705,9200022847,<Null>,<Null>,-85.020289,32.480381,"c(-85.0202889999999, 32.4803810000001)"
8,13,13,OPE 3YR A,NA,NA,NA,NA,NA,NA,NA,N,26957.3052458,13,185,22870,3 Year,Underground,Grade 2,Yes,<Null>,Main,Curb,Unsurfaced,15,<Null>,<Null>,CGI,<Null>,<Null>,1339,22ND AVE,<Null>,<Null>,Phenix City,Intersection of 22nd & 24th,2020,Southern Cross,<Null>,<Null>,2020-04-17,joshua.stroud1,2020-04-17,joshua.stroud1,10581711,9200022870,<Null>,<Null>,-85.024474,32.484158,"c(-85.0244739999999, 32.484158)"
9,13,13,OPE 3YR A,NA,NA,NA,NA,NA,NA,NA,N,26957.3052458,13,184,22869,3 Year,Underground,Grade 1,Yes,<Null>,Service,10' - 20' FRM Building,Unsurfaced,3,<Null>,<Null>,CGI,<Null>,<Null>,2201,25th St,<Null>,<Null>,Phenix City,<Null>,2020,Southern Cross,<Null>,<Null>,2020-04-17,joshua.stroud1,2020-04-17,joshua.stroud1,0,9200022869,<Null>,<Null>,-85.024998,32.484852,"c(-85.024998, 32.484852)"
10,16,10,BGH 5YR 3,NA,NA,NA,NA,NA,NA,NA,N,67173.2974505,10,225,25969,5 Year,Underground,Grade 3,Yes,Service Riser,Service,<10' FRM Building,Unsurfaced,<Null>,2,<Null>,Flame Pack,BA697499,BA697499,3941,BUTLER SPRINGS WAY,<Null>,<Null>,<Null>,2% LEL,2020,Southern Cross,<Null>,<Null>,2020-07-15,Elix.Motley1,2020-07-15,Elix.Motley1,0,9200025969,<Null>,<Null>,-86.887748,33.392967,"c(-86.887748, 33.3929670000001)"
